time,band,flux,flux_err,zp,zpsys
2458167.0148727,p48g,929.2178906740173,21.213811460444283,26.1614295,ab
2458167.0313426,p48g,943.4840425925602,21.132276382946664,26.174682,ab
2458167.0527199,p48g,922.1932622884561,22.590686781561118,26.159613999999998,ab
2458170.9695949,p48g,738.3707685611063,19.968188957333705,25.131057000000002,ab
2458202.8719329,p48g,287.21328138995807,28.2260665447655,26.187229000000002,ab
2458202.8791782,p48g,317.58471809324993,26.530452772253597,26.15109099,ab
2458202.8801389,p48g,239.2609498834343,26.011924136503154,26.13908901,ab
2458203.8590625,p48g,271.99892418979925,37.95113220733741,26.16536,ab
2458203.8841667,p48g,277.69495940304444,35.560124921724025,26.13304199,ab
2458203.9137037,p48g,296.1491848383271,30.20766604099957,26.150335,ab
2458204.8898148,p48g,204.40175863280032,42.85704100647688,26.160480999999997,ab
2458204.9008218,p48g,230.17941978524033,41.900350207306964,26.185503999999998,ab
2458204.9186111,p48g,254.2284230330842,39.88743825009725,26.21023999,ab
2458204.9387963,p48g,261.2083307945797,36.85708477019429,26.19473,ab
2458204.9602315,p48g,262.21946022021564,29.374702304529954,26.21693201,ab
2458205.883912,p48g,106.31484437742982,64.65977274433598,25.879125000000002,ab
2458205.9068634,p48g,175.12458201597158,55.90853375540007,25.945395,ab
2458205.9191898,p48g,209.90795038360676,69.33656587310104,25.550936999999998,ab
2458205.9201273,p48g,179.05970619746878,68.39996023339086,25.612379,ab
2458205.938669,p48g,276.4517737794814,51.211578283021105,26.14815,ab
2458205.9596991,p48g,265.4802974592575,45.02191173964429,26.144754,ab
2458205.984838,p48g,268.33517574338464,37.734346771341805,26.1570285,ab
2458205.985787,p48g,227.89389925505148,36.94185987132346,26.15570899,ab
2458206.8108565,p48g,194.6087560964184,66.17550454842053,26.266315,ab
2458206.8223495,p48g,343.4577939637717,65.1871267338804,26.26548,ab
2458206.8408912,p48g,213.31256010991618,63.85994886935512,26.277654,ab
2458206.8637037,p48g,243.93223921752997,61.726469979220916,26.281976,ab
2458206.8846065,p48g,207.68957780686478,60.541886607034606,26.274461000000002,ab
2458206.9011574,p48g,245.61870435287463,59.24889393152373,26.28395,ab
2458206.936713,p48g,216.43408746223395,57.892717257457406,26.2707935,ab
2458207.8192361,p48g,269.67567125497953,83.83282528109106,26.16552551,ab
2458207.847963,p48g,135.1589316845455,79.02284251348249,26.209468,ab
2458207.8595023,p48g,283.5448457511611,77.90449873896202,26.234242,ab
2458207.8887037,p48g,373.82123203255316,74.21855834025891,26.219526000000002,ab
2458207.9020023,p48g,307.93770590180736,73.0233823511791,26.23333,ab
2458207.9370139,p48g,209.93182037384503,72.213623254115,26.219246499999997,ab
2458208.8648148,p48g,106.8474964215557,105.8049789486115,26.077104,ab
2458208.8829745,p48g,182.0000412987133,130.35761988756127,25.759999,ab
2458208.8839236,p48g,70.72124292143263,125.37970424868341,25.815995,ab
2458208.903287,p48g,200.03745658238864,126.41217336336707,25.757691,ab
2458208.9389236,p48g,304.66042073397324,97.92638526392714,26.06680051,ab
2458209.0042593,p48g,117.7345630312831,100.22782800757999,25.943811999999998,ab
2458210.858206,p48g,69.43899865232329,77.02796140204686,25.99535049,ab
2458210.8865046,p48g,207.83341777394867,80.70463712064544,26.0285225,ab
2458210.9166898,p48g,246.39481596511837,71.25897223029654,26.121014,ab
2458210.9230556,p48g,233.41806595151303,69.55432983225501,26.169474,ab
2458210.9395023,p48g,179.0806286063672,69.48875447590105,26.123877,ab
2458223.8268287,p48g,161.93442425091152,22.5293691467705,26.194999000000003,ab
2458227.8312384,p48g,147.6360949186536,21.2415063656619,26.08506401,ab
2458227.8434375,p48g,128.0865803184211,20.910369885832342,26.0266295,ab
2458229.7953356,p48g,142.066720577272,24.66047417805028,26.231891,ab
2458229.8227778,p48g,153.16999952970716,22.317634635842328,26.261912,ab
2458229.8483796,p48g,199.14978005507885,21.980781306498383,26.283579500000002,ab
2458229.8493171,p48g,138.91788225304418,22.10659136383593,26.292211,ab
2458229.8502546,p48g,166.58514039644191,21.926610611454272,26.282126,ab
2458230.8656019,p48g,110.26525173083623,23.809935352495966,25.858584,ab
2458230.8665162,p48g,106.50600628641428,23.99355131515978,25.673644,ab
2458230.8933796,p48g,96.35837155669098,23.703937151772468,26.054724,ab
2458230.9161343,p48g,110.24026171714044,23.42057087002176,26.225637,ab
