time,band,flux,flux_err,zp,zpsys
2458425.0146528,p48g,664.3188024139374,34.41145614882144,26.192327000000002,ab
2458426.038287,p48g,535.1729599836227,31.325502742731484,26.096866990000002,ab
2458426.9949421,p48g,598.394918287219,27.771204845641787,26.1725575,ab
2458426.9958565,p48g,529.1885509971926,27.828866082788874,26.172935,ab
2458429.0450231,p48g,526.5084657494117,32.76045284813307,26.125113,ab
2458429.9858102,p48g,449.92150410235115,22.884112814667564,26.100312000000002,ab
2458429.9959722,p48g,403.6451312319191,22.881340793898577,26.112111000000002,ab
2458431.0185764,p48g,416.64329151157017,21.503238334674805,26.2026935,ab
2458432.9928935,p48g,364.8492820302,26.659624456069754,26.149284989999998,ab
2458432.9956713,p48g,335.67399889742524,26.57538164728658,26.12340399,ab
2458438.9887153,p48g,281.9355951698781,25.8353799573361,26.208306999999998,ab
2458438.9957755,p48g,257.73612637485985,25.917479220848048,26.1806625,ab
2458440.9954282,p48g,180.8162450038362,25.96433043215906,25.257951000000002,ab
2458442.0141204,p48g,65.47234451322294,25.03361520315543,26.003455,ab
2458442.0150463,p48g,48.56555438467685,25.036189226795326,26.058113499999997,ab
2458443.0163542,p48g,111.448471616223,25.01539742608356,25.4552965,ab
2458444.034838,p48g,168.19971000227008,24.02431598189025,26.233425,ab
2458450.9950347,p48g,-20.989663662203455,51.159621109689986,26.197642,ab
2458450.9968866,p48g,217.9469546312976,51.235142640315246,26.214926,ab
2458461.9623727,p48g,78.15767828382522,30.18723164498323,25.356451999999997,ab
2458461.9745949,p48g,84.30529453210988,28.259942976436776,25.833585499999998,ab
2458462.9759722,p48g,14.660531749564946,29.043289484058295,24.5003,ab
2458464.9827315,p48g,173.65657251312854,21.773088649314055,26.234969,ab
2458464.9836574,p48g,186.24506816602224,21.83555866058352,26.233526,ab
2458467.9493287,p48g,-28.742262409594403,28.519366210878797,23.640520000000002,ab
2458468.9562616,p48g,109.74977135427942,25.0329512767419,26.2064125,ab
2458470.0127546,p48g,243.5979332533147,22.259411571538315,26.283072999999998,ab
2458473.0123611,p48g,92.36748099158291,30.822308591480482,26.16934149,ab
2458476.0371181,p48g,116.23134039680907,79.20031527503717,26.27218,ab
2458480.9947685,p48g,54.480288242019384,40.48261916632743,26.133363,ab
2458487.0273727,p48g,43.338748539433084,24.797561801583967,26.15971201,ab
2458491.9672801,p48g,24.01578538328812,27.11919373078625,25.64516101,ab
