time,band,flux,flux_err,zp,flags,zpsys
2458230.8436111,p48g,2995.8027321202926,25.14382940531558,26.106451489999998,2050.0,ab
2458244.7219676,p48g,944.7443382953734,23.72383578433,26.124111999999997,2050.0,ab
2458236.822581,p48g,1361.594709676568,73.95433908501334,25.90078051,2050.0,ab
2458202.8420602,p48g,2422.10359405845,32.698608078972846,26.05956299,2050.0,ab
2458267.679537,p48g,480.48689992535157,69.22279237840513,25.94422899,2050.0,ab
2458282.7628704,p48g,333.02966276804483,23.39343115300822,26.038372499999998,2050.0,ab
2458235.8194907,p48g,1874.343796528716,64.20680252193178,26.072882009999997,2050.0,ab
2458281.7896412,p48g,362.9688584342228,24.71828513021834,26.025413,2050.0,ab
2458258.6827662,p48g,514.4002583760046,26.216891270499275,26.0914875,2050.0,ab
2458208.800544,p48g,5865.8282564536685,117.21229091950288,25.80050499,2050.0,ab
2458237.7272685,p48g,1326.5908803451518,76.9095708972677,25.997774,2050.0,ab
2458208.8730208,p48g,5439.011309040263,116.62377515495035,25.78259899,2050.0,ab
2458236.6755324,p48g,1574.809521475206,76.37783595696347,26.047388499999997,2050.0,ab
2458236.8429051,p48g,1483.9993017493243,74.77474615943372,25.92671449,2050.0,ab
2458236.6930903,p48g,1660.829966144375,75.29464866761457,26.02867499,2050.0,ab
2458230.8426968,p48g,3109.3160824670404,25.376419229031907,26.1156205,2050.0,ab
2458202.795,p48g,2397.2025575785783,36.13851133602058,26.0475745,2050.0,ab
2458208.8739352,p48g,5633.877548755625,111.2825530149739,25.827693,2050.0,ab
2458237.7411806,p48g,1450.8628136509203,76.96704705658999,25.990197000000002,2050.0,ab
2458269.7601157,p48g,410.5751971988813,66.17171101037772,25.8633135,2050.0,ab
2458223.8187963,p48g,5433.702222717615,23.665036421013202,26.0991335,2050.0,ab
2458208.8905671,p48g,4979.522329770358,124.01834468150112,25.6451575,2050.0,ab
2458247.8326852,p48g,755.6981389437444,21.548416444433673,26.06458799,2050.0,ab
2458246.7989931,p48g,709.0120494974517,23.03197767785,26.03283601,2050.0,ab
2458236.8234954,p48g,1345.1442909687973,73.85805283154323,25.93632599,2050.0,ab
2458203.8661574,p48g,3445.1634234096523,39.829753128358426,26.110297,2050.0,ab
2458204.8561921,p48g,4448.590821942141,47.708345063584964,26.10984899,2050.0,ab
2458227.8048148,p48g,3328.3940268589363,22.152333472242578,25.928077010000003,2050.0,ab
2458202.7959606,p48g,2359.2975138231504,36.12700746474407,26.04434901,2050.0,ab
2458237.6734144,p48g,1325.5418489635053,80.22704295304375,26.070068,2050.0,ab
2458269.757037,p48g,317.1109363086189,61.44480209518731,26.02417,2050.0,ab
2458272.724838,p48g,431.5599489313744,23.992423596238222,26.059338999999998,2050.0,ab
2458245.7894907,p48g,326.4875670054037,25.981256588491693,24.843887,2050.0,ab
2458229.8111574,p48g,3364.7753801498666,23.487500940255828,26.143401500000003,2050.0,ab
2458263.7688773,p48g,1478.1571535141243,92.90480639688803,27.17139049,2050.0,ab
2458247.704375,p48g,710.8248083176245,22.082450177248305,26.12564949,2050.0,ab
2458237.6752662,p48g,1559.6236953015416,79.67951916045051,26.06355,2050.0,ab
2458248.6906019,p48g,872.715971398081,23.849846857201463,26.1507435,2050.0,ab
2458238.6777431,p48g,1215.683958185224,81.59919669430306,26.03089001,2050.0,ab
2458262.7271875,p48g,981.4462160599659,67.2031198469384,26.766392,2050.0,ab
2458230.8269907,p48g,2589.167531765347,29.21285531451902,25.944156,2050.0,ab
2458247.800625,p48g,753.4202662530624,21.33864594127436,26.0802805,2050.0,ab
2458206.7955093,p48g,6414.214345285094,67.63872786829438,26.175083,2050.0,ab
2458202.8411458,p48g,2366.804510894951,32.7205647686445,26.064877510000002,2050.0,ab
2458230.8725579,p48g,2717.841976414769,24.926074892251183,26.03168,2050.0,ab
2458273.7465741,p48g,508.7095469374884,23.52132059721132,26.10145901,2050.0,ab
2458210.8794676,p48g,6368.851357024369,78.39309150330709,25.822885,2050.0,ab
2458206.876331,p48g,6582.905384816739,65.51524843547061,26.164594,2050.0,ab
2458244.7464352,p48g,672.7582533653081,26.52941717747078,25.842301,2050.0,ab
2458206.8156713,p48g,6472.604847471941,67.11957323520377,26.175797499999998,2050.0,ab
2458276.7432523,p48g,522.6514161470733,22.772469065740697,26.1428025,2050.0,ab
2458248.6824306,p48g,815.2708110640365,24.12934648760192,26.155725,2050.0,ab
2458278.7043287,p48g,337.00773928684197,24.060431774411562,25.984795000000002,2050.0,ab
2458236.7177199,p48g,1575.0639150817601,73.21014811030119,25.975174,2050.0,ab
2458270.7454514,p48g,376.4872839248242,46.2079003765223,25.987619,2050.0,ab
2458247.8020718,p48g,733.1343982431497,21.309884256029118,26.1029665,2050.0,ab
2458272.7351852,p48g,427.43187228525335,23.992604004780183,26.077534,2050.0,ab
2458210.8115278,p48g,7563.298901017007,69.5085371592489,25.969727,2050.0,ab
2458249.6783681,p48g,157.1741295394188,30.84079433988883,24.1752295,2050.0,ab
2458267.7284375,p48g,460.44179863073316,73.34380734774795,26.086951,2050.0,ab
2458202.8632639,p48g,2398.3236559263137,30.290141561226402,26.055491,2050.0,ab
2458272.7239236,p48g,460.71605179731665,24.039338300567533,26.048968,2050.0,ab
2458269.7476968,p48g,501.14839087932535,56.72399825458104,26.048941000000003,2050.0,ab
2458288.7031366,p48g,360.1163945877387,30.278833342750563,26.036081,2050.0,ab
2458234.6977315,p48g,1987.203613190652,58.338095008611695,26.078087,2050.0,ab
2458259.6822801,p48g,51.31514929064339,50.298492611804384,24.445293000000003,2050.0,ab
2458279.7232639,p48g,482.110883172101,23.662784305903568,26.127028,2050.0,ab
2458205.8570023,p48g,3832.8140550446433,68.8137448139549,25.740296,2050.0,ab
2458278.7170602,p48g,403.71953381307065,24.017256281904768,26.05742501,2050.0,ab
2458249.6959144,p48g,671.3070268868404,22.614991598793146,25.9789745,2050.0,ab
2458267.6961458,p48g,468.97033044581724,71.38063649059782,26.038770500000002,2050.0,ab
2458255.7280093,p48g,690.1252196565249,23.535905039831725,26.096644490000003,2050.0,ab
2458203.8481944,p48g,3414.9430778130895,39.65351587130865,26.090132,2050.0,ab
2458255.6796528,p48g,671.3182584058837,24.27409277368323,26.122598999999997,2050.0,ab
2458204.8945139,p48g,4473.3794622562855,47.00291680520795,26.1037275,2050.0,ab
2458244.7210532,p48g,1000.0621269437553,23.844082282581194,26.1259285,2050.0,ab
2458205.8360648,p48g,5049.882426410444,58.92609932718741,26.05233801,2050.0,ab
2458210.7877894,p48g,6061.318767746926,76.2442903617192,25.72657299,2050.0,ab
2458236.8216667,p48g,1596.4102293340843,73.74734370536125,25.91255301,2050.0,ab
2458214.7879051,p48g,1983.8323205320116,29.5047623036324,24.480208,2050.0,ab
2458234.7532292,p48g,1562.198101083521,73.99757814896648,25.69006901,2050.0,ab
2458243.7627894,p48g,959.5281810078011,22.674782556349303,26.133869,2050.0,ab
2458278.8434838,p48g,454.75014257281987,26.48152986172014,26.018763009999997,2050.0,ab
2458206.7757523,p48g,6347.395585513953,68.1201946246893,26.148219,2050.0,ab
2458272.6991667,p48g,433.14299135654323,24.097996882795854,26.060038,2050.0,ab
2458248.7219792,p48g,746.7977105215076,22.739144875056027,26.074592000000003,2050.0,ab
2458232.7581134,p48g,1738.8968318674833,53.10591699922975,25.72517201,2050.0,ab
2458210.8162963,p48g,7301.09616507511,72.68024689741986,25.917914,2050.0,ab
2458273.7580787,p48g,431.78208712329916,23.4796830193181,26.11243599,2050.0,ab
2458205.7956944,p48g,5429.74627528278,58.674940269748326,26.125281,2050.0,ab
2458269.7238657,p48g,473.3821285775333,52.025487304703184,25.919042010000002,2050.0,ab
2458248.7237963,p48g,699.5341680204086,22.976070614774628,26.050152999999998,2050.0,ab
2458255.7079514,p48g,566.228415887722,23.861661920753846,26.066593989999998,2050.0,ab
2458205.8233796,p48g,5411.577730665744,57.84027324795648,26.109077999999997,2050.0,ab
2458246.8323958,p48g,678.4664174033819,23.496382428444598,25.991200000000003,2050.0,ab
2458205.8527778,p48g,3545.6446388545505,69.56299397685586,25.683414,2050.0,ab
2458210.7677894,p48g,7841.026051520492,66.29155161764551,26.013496500000002,2050.0,ab
2458205.8579167,p48g,3712.8754615056505,71.5395002091587,25.71145749,2050.0,ab
2458206.8716319,p48g,6353.914899253556,65.79816259898355,26.169947999999998,2050.0,ab
2458208.8014815,p48g,5572.079460099169,119.69930525155064,25.724598,2050.0,ab
2458202.7885301,p48g,2263.6585271326708,36.220306979256456,26.01859049,2050.0,ab
2458248.7228819,p48g,793.9034384539117,23.04611517323201,26.101672,2050.0,ab
2458206.8357176,p48g,6368.068433490162,66.5788249989877,26.158376999999998,2050.0,ab
2458233.7422685,p48g,2287.723200933665,50.21583196030456,26.12927701,2050.0,ab
2458202.8174653,p48g,2358.6556845606065,34.30055651363554,26.020874489999997,2050.0,ab
2458236.7413426,p48g,1424.2151394405873,72.91927371322396,26.0073555,2050.0,ab
2458246.8009028,p48g,677.2062842416551,23.20544496329518,26.066963010000002,2050.0,ab
2458255.707037,p48g,582.5782189035574,23.751480788675096,26.05954749,2050.0,ab
2458231.781875,p48r,2994.7575442651796,36.59392120360622,25.960892,2050.0,ab
2458227.7783102,p48r,2717.6920109147413,29.786421323798766,25.823301999999998,2050.0,ab
2458199.8171644,p48r,63.4722027628838,35.71033154484899,25.3660885,2050.0,ab
2458248.7621412,p48r,1290.7039607123604,27.580873588255447,25.944057,2050.0,ab
2458242.7940278,p48r,2232.5155844524124,36.615978312972,26.0264695,2050.0,ab
2458219.7958218,p48r,3088.1160731203663,42.11256043807782,25.260467,2050.0,ab
2458248.7603241,p48r,1537.3248824613868,27.629873191870484,25.94359601,2050.0,ab
2458218.8097569,p48r,5810.549790421754,29.24297842128498,25.947476010000003,2050.0,ab
2458254.6826736,p48r,1218.2764996765952,29.47655172908417,26.0294225,2050.0,ab
2458242.7653125,p48r,1911.4377661389653,32.20783664506854,26.02627,2050.0,ab
2458224.7581366,p48r,2489.9674692243066,34.33941568873271,25.623866,2050.0,ab
2458247.7290162,p48r,1161.8051250182598,27.084829486166083,25.970466,2050.0,ab
2458219.8353009,p48r,5463.154210735012,28.262492281933685,25.94038799,2050.0,ab
2458198.874213,p48r,204.317826379443,33.210676054925344,25.908718,2050.0,ab
2458245.7017593,p48r,791.2949787481452,43.25943134888167,24.547746489999998,2050.0,ab
2458217.8143866,p48r,6177.052658730012,29.487989428473455,25.96982849,2050.0,ab
2458248.7751505,p48r,1317.7678227527495,27.815948543618518,25.92011101,2050.0,ab
2458218.7852315,p48r,5611.898530606924,30.849852729302516,25.902966,2050.0,ab
2458227.7657986,p48r,2082.9830227426514,32.10927934604749,25.569925,2050.0,ab
2458218.8106713,p48r,5527.857184960081,29.34136998008209,25.951628000000003,2050.0,ab
2458224.7166551,p48r,1434.1283219772572,41.65304910578536,24.889833,2050.0,ab
2458198.8828009,p48r,246.0355463153502,35.34953673180403,25.854803,2050.0,ab
2458226.7864699,p48r,3101.88120043898,29.837738631685887,25.96951299,2050.0,ab
2458224.827963,p48r,1208.770581973059,40.17836830925186,24.825950000000002,2050.0,ab
2458217.788206,p48r,5856.860283335234,31.958962019012404,25.896172999999997,2050.0,ab
2458247.7553125,p48r,1592.195354375874,26.55850138492569,25.951923,2050.0,ab
2458198.9077199,p48r,423.44345639130574,29.529731760175846,26.071836,2.0,ab
2458254.7020486,p48r,1387.8716528982497,28.645559362131184,26.00944801,2050.0,ab
2458231.8444907,p48r,2635.8971772916802,35.1474411581036,25.914115000000002,2050.0,ab
2458233.7037269,p48r,2978.645652785017,51.130724474566215,26.046882,2050.0,ab
2458247.7423495,p48r,1784.5859079314068,27.11872862191278,25.9876035,2050.0,ab
2458243.8069329,p48r,1988.435431499759,34.69767729899954,25.970813,2050.0,ab
2458219.8579745,p48r,5199.631432513216,28.07373408994828,25.90878549,2050.0,ab
