time,band,flux,flux_err,zp,flags,zpsys
2458295.6741551,p48g,170.7449947143345,69.21990986187141,26.1378115,2.0,ab
2458280.7339931,p48g,155.02217818144598,26.77089100315846,26.10737899,2050.0,ab
2458270.7393634,p48g,174.72176486437775,47.34018761808296,26.031514,2050.0,ab
2458269.7324769,p48g,188.0878641317242,56.88542003229521,26.0925185,2050.0,ab
2458210.7996296,p48g,191.5368741732769,87.82954754122477,25.940749,2050.0,ab
2458230.8346065,p48g,2261.705200282936,30.705049428451336,26.168029,2050.0,ab
2458242.7303356,p48g,1022.3530891546283,26.927047870074084,26.177008,2050.0,ab
2458262.7647222,p48g,245.81909887233013,68.48182970645922,26.009959,2050.0,ab
2458301.7567824,p48g,162.05885913506307,48.47504659681089,26.002211,2.0,ab
2458210.821169,p48g,278.2502956562215,108.94302159250621,25.870036990000003,2.0,ab
2458234.7499421,p48g,1414.773999710849,90.86406725097294,25.877262,2050.0,ab
2458205.805544,p48g,-29.762828114912224,63.081904081649014,26.08584999,2.0,ab
2458262.7656597,p48g,324.47658306198815,69.11921055869212,26.0070635,2.0,ab
2458202.8106366,p48g,43.76599145900495,36.59454680058558,26.025919,2.0,ab
2458277.7151042,p48g,163.9821623960262,27.14422351272629,26.02877999,2050.0,ab
2458286.7149884,p48g,143.62872227190465,24.953360494214916,26.025798509999998,2050.0,ab
2458205.8185417,p48g,-68.7027653456871,63.09638382753414,26.09592099,2.0,ab
2458258.6867477,p48g,321.59861786553097,30.536093663067465,26.108380999999998,2050.0,ab
2458202.8355903,p48g,28.98262684681663,34.73696895136676,26.04004199,2.0,ab
2458274.728831,p48g,155.59153907547417,24.5134634328965,26.11415401,2050.0,ab
2458270.7403356,p48g,145.19664017357826,47.48821561306495,26.009491989999997,2050.0,ab
2458248.7108681,p48g,619.4965650007448,25.391081760298814,26.102656,2050.0,ab
2458289.67625,p48g,139.52404441282715,54.53194265903858,26.132502000000002,2.0,ab
2458304.6950926,p48g,118.16933331793065,28.378788712365935,26.025026,2.0,ab
2458236.7316667,p48g,1292.4813680529912,107.95469108796391,25.981877,2050.0,ab
2458283.7488889,p48g,180.32460378641736,28.79158671020443,26.117572,2050.0,ab
2458217.7830324,p48r,1342.252450763047,33.88842441910376,26.085729,2050.0,ab
2458217.8025463,p48r,1020.0310572511682,37.82180980325809,25.7882315,2050.0,ab
2458218.7573611,p48r,1370.1686942243311,33.25817573670666,26.01737799,2050.0,ab
2458224.7350579,p48r,1961.7699942666595,32.09254271517975,26.045443000000002,2050.0,ab
2458226.7408102,p48r,2302.4158414979515,34.17534997950631,26.136706,2050.0,ab
2458230.7334028,p48r,1044.9391808389537,54.262952437956606,25.467558,2050.0,ab
2458231.773912,p48r,1913.218396522878,39.18538859314823,26.073979,2050.0,ab
2458242.7720486,p48r,1232.4724800685872,37.68789816999326,26.12479,2050.0,ab
2458245.6910069,p48r,356.63949886127455,50.46686459606448,24.9612775,2050.0,ab
2458255.7329514,p48r,1022.2509592265126,32.2300406167006,26.194255,2050.0,ab
2458257.7090625,p48r,851.8763291572097,31.107247775214105,26.067511999999997,2050.0,ab
2458258.7100694,p48r,747.3075091861592,31.447126783032825,26.049647,2050.0,ab
2458267.7915625,p48r,569.2355958965722,78.60614007969414,26.092926,2050.0,ab
2458270.668125,p48r,452.10862141607873,36.49432845955128,26.129783,2050.0,ab
2458270.6690394,p48r,439.96159616752124,35.327906181629885,26.109633,2050.0,ab
2458272.6877315,p48r,453.72611225933406,33.22019456504366,26.118095,2050.0,ab
2458274.6942708,p48r,384.85089160437303,30.524109412286546,26.127758,2050.0,ab
2458277.7558333,p48r,321.8916537636338,34.09944037277105,26.08216,2050.0,ab
2458280.7065278,p48r,384.7603082830889,31.63201493567834,26.123667,2050.0,ab
2458283.6935995,p48r,300.31269729941783,33.15170562005624,26.142651,2050.0,ab
2458286.7818866,p48r,266.00627008447987,29.566120110189456,26.061455000000002,2050.0,ab
2458289.7170602,p48r,220.6466470711793,51.051677010156396,26.035227,2050.0,ab
2458292.7348032,p48r,212.58504831810015,55.83497947107751,26.1223825,2050.0,ab
2458295.7338426,p48r,258.20824665737587,58.38197450506433,26.084792999999998,2050.0,ab
2458298.756169,p48r,186.6934783475309,62.209117090024414,26.047393999999997,2.0,ab
2458301.6756019,p48r,206.407022060531,42.938145166428185,26.059043,2.0,ab
