time,band,flux,flux_err,zp,flags,zpsys
2458234.7300347,p48g,740.919403594104,80.0923530699074,26.130173499999998,2050.0,ab
2458202.774213,p48g,51.02886300404534,40.98020336183067,26.04803098,2.0,ab
2458237.7102083,p48g,391.4868429463393,80.81171719166467,26.08011801,2050.0,ab
2458210.7734954,p48g,541.9318181488608,70.15560118898516,25.97926,2050.0,ab
2458210.7654745,p48g,597.483207976829,71.1546470052955,26.022641999999998,2050.0,ab
2458248.7045718,p48g,253.67364769331385,28.58570857675366,26.151899,2050.0,ab
2458207.7615278,p48g,147.511901306394,103.32033578396043,26.155952499999998,2.0,ab
2458202.767338,p48g,-19.33080121504922,42.13656422513452,26.07392051,2.0,ab
2458245.7261458,p48g,196.7839121463076,31.902176947682925,25.86038701,2050.0,ab
2458230.8084722,p48g,346.901835249236,47.057971218856814,25.194239,2050.0,ab
2458237.7097338,p48g,259.00053562059554,79.29259803018499,25.98659799,2048.0,ab
2458207.8141551,p48g,-48.06278793125909,141.41147489697593,25.854966,0.0,ab
2458210.7664005,p48g,560.2544310943331,68.33707523020465,25.91386349,2050.0,ab
2458245.7266204,p48g,171.19257523205363,31.666616353033742,25.196394,2050.0,ab
2458234.8032407,p48g,418.12163624763855,104.42053731500766,25.84283251,2050.0,ab
2458207.7938194,p48g,277.8846587458668,101.43054412117972,26.136718010000003,2048.0,ab
2458248.7285532,p48g,183.9034986701312,25.993877028961005,26.12569301,2050.0,ab
2458204.7130787,p48g,108.54769556566725,65.76603792768412,26.097284000000002,0.0,ab
2458224.6818171,p48r,1053.8982225528057,37.164902840497675,25.724906999999998,2050.0,ab
2458263.7124306,p48r,818.004776539131,102.53395882878189,27.234745999999998,2050.0,ab
2458289.721875,p48r,177.80061844107465,60.943693172754124,25.95965899,2.0,ab
2458217.7569213,p48r,1139.8819766444456,35.38255589254025,26.011451,2050.0,ab
2458245.6541088,p48r,700.1094741211098,41.005548533234126,25.9776395,2050.0,ab
2458284.6734375,p48r,171.91120752547067,50.81020215595499,25.958776,2.0,ab
2458262.6890625,p48r,832.3962295660567,89.4680225576276,26.8871165,2050.0,ab
2458217.7030787,p48r,1151.1424322807293,37.611505497529436,25.966359999999998,2050.0,ab
2458227.7472685,p48r,1286.0271455386905,31.00956186687981,26.11068599,2050.0,ab
2458231.6685185,p48r,1154.9193600174294,49.143341771810384,26.183071,2050.0,ab
2458257.7276157,p48r,371.46780090816833,34.787179138253556,26.057555989999997,2050.0,ab
2458224.6918403,p48r,1016.505226169962,37.7444011192326,25.711619,2050.0,ab
2458248.6619097,p48r,806.6836411908013,33.38600773973339,26.172853,2050.0,ab
2458283.6972801,p48r,246.0563158514288,39.71399837175467,26.1225205,2050.0,ab
2458254.6873611,p48r,506.9019247627477,32.25454697496177,26.096693,2050.0,ab
2458224.6822801,p48r,925.0024635238794,36.04278511102165,25.606808500000003,2050.0,ab
2458219.7138194,p48r,1262.2207845066846,31.4447953060915,25.976824,2050.0,ab
2458248.6605093,p48r,677.5935086401191,33.18892658259787,26.09695149,2050.0,ab
2458217.7578472,p48r,1017.2093079294104,36.396421844560656,25.865467000000002,2050.0,ab
2458218.7603935,p48r,1040.204944246624,36.06183513443211,25.864633,2050.0,ab
2458257.7133796,p48r,404.297534407538,33.52946501342346,26.007546989999998,2050.0,ab
2458224.6973843,p48r,726.8063606314404,41.17841013397946,25.235313,2050.0,ab
2458217.7035532,p48r,1057.8882435266905,36.611117393864404,25.900198,2050.0,ab
2458224.7325116,p48r,1008.1902219306099,34.43618403535397,25.747691,2050.0,ab
2458289.7209606,p48r,106.9563400218793,59.4863147757311,25.977621,2050.0,ab
2458262.6915046,p48r,972.9406244927823,88.33862153030915,26.7549355,2050.0,ab
2458227.7462963,p48r,1228.0164256461367,29.79276842341304,26.022115499999998,2050.0,ab
2458256.7794097,p48r,391.42538709862094,32.808751686356324,25.93318199,2050.0,ab
2458292.7389583,p48r,207.13023401154712,66.80077728560683,25.941776,2.0,ab
2458266.7341435,p48r,271.25750445447477,67.92394181170225,26.01768999,2050.0,ab
2458269.6841088,p48r,279.6123317386435,44.516711573309706,26.010764,2050.0,ab
2458245.687581,p48r,297.4821646568913,48.4776565951114,25.277434,2050.0,ab
2458272.6668403,p48r,243.31099529787832,46.672925711799564,26.115623000000003,2050.0,ab
