time,band,flux,flux_err,zp,zpsys
99.0,p48g,99.0,99.0,99.0,ab
99.0,p48g,99.0,99.0,99.0,ab
99.0,p48g,99.0,99.0,99.0,ab
99.0,p48g,99.0,99.0,99.0,ab
99.0,p48g,99.0,99.0,99.0,ab
99.0,p48g,99.0,99.0,99.0,ab
99.0,p48g,99.0,99.0,99.0,ab
99.0,p48g,99.0,99.0,99.0,ab
99.0,p48g,99.0,99.0,99.0,ab
99.0,p48g,99.0,99.0,99.0,ab
99.0,p48g,99.0,99.0,99.0,ab
99.0,p48g,99.0,99.0,99.0,ab
99.0,p48g,99.0,99.0,99.0,ab
99.0,p48g,99.0,99.0,99.0,ab
99.0,p48g,99.0,99.0,99.0,ab
99.0,p48g,99.0,99.0,99.0,ab
99.0,p48g,99.0,99.0,99.0,ab
99.0,p48g,99.0,99.0,99.0,ab
99.0,p48g,99.0,99.0,99.0,ab
99.0,p48g,99.0,99.0,99.0,ab
99.0,p48g,99.0,99.0,99.0,ab
99.0,p48g,99.0,99.0,99.0,ab
99.0,p48g,99.0,99.0,99.0,ab
99.0,p48g,99.0,99.0,99.0,ab
99.0,p48g,99.0,99.0,99.0,ab
99.0,p48g,99.0,99.0,99.0,ab
99.0,p48g,99.0,99.0,99.0,ab
99.0,p48g,99.0,99.0,99.0,ab
99.0,p48g,99.0,99.0,99.0,ab
99.0,p48g,99.0,99.0,99.0,ab
99.0,p48g,99.0,99.0,99.0,ab
99.0,p48g,99.0,99.0,99.0,ab
99.0,p48g,99.0,99.0,99.0,ab
99.0,p48g,99.0,99.0,99.0,ab
99.0,p48g,99.0,99.0,99.0,ab
99.0,p48g,99.0,99.0,99.0,ab
2458202.7778241,p48g,1867.7529105398553,40.90692876226608,25.98475249,ab
2458205.7521181,p48g,2318.6472684469327,70.22266127814308,26.11653749,ab
2458206.7706134,p48g,2427.8202548359086,74.695544706931,26.124477,ab
2458208.7932292,p48g,1737.0593402127265,106.53850097887548,25.863345,ab
2458227.691794,p48g,443.21163525297345,25.603256912643534,26.033395000000002,ab
2458229.6579167,p48g,285.6641248925886,32.52966830450658,26.147102,ab
2458229.658831,p48g,302.91775421252964,31.89983729830134,26.1542675,ab
2458233.720625,p48g,213.28845750124208,59.20808508764266,26.118304,ab
2458234.6754051,p48g,119.38599891296039,63.858207488566336,26.046983,ab
