time,band,flux,flux_err,zp,zpsys
2458205.8157755,p48g,-55.620424424864595,69.629601941903,26.11148399,ab
2458230.7953819,p48g,347.321508745305,39.992572811743855,25.569761,ab
2458233.7141204,p48g,711.3570163991342,64.37029489908876,26.1879,ab
2458236.6869213,p48g,592.1687219713604,99.06346650472805,26.020077009999998,ab
2458236.7109144,p48g,420.8063395064279,98.31070931244557,26.050234,ab
2458248.7099421,p48g,317.149709684919,24.55574818813343,26.11761451,ab
2458267.6912731,p48g,21.71424277365251,76.88336474993423,26.1643005,ab
2458274.7256134,p48g,8.572495269548488,24.4963890422476,25.9841315,ab
2458277.7160417,p48g,55.006444306705816,27.630350995904497,26.045561,ab
2458280.7282176,p48g,42.178191383439156,27.100839498341443,26.139934999999998,ab
2458283.7364468,p48g,73.86197066717783,28.19974421455028,26.102918000000003,ab
2458286.7172917,p48g,57.62702364637526,25.305582570667426,26.088943999999998,ab
2458290.6911111,p48g,40.888622410241574,58.122574751691985,26.004946999999998,ab
2458293.6765046,p48g,37.90246170880734,65.7519973216683,26.1227745,ab
2458204.8014236,p48g,-69.18141208384968,55.66865083648751,26.190939,ab
2458207.8014236,p48g,88.18960607827712,111.19979054955014,26.21936,ab
2458207.8530787,p48g,153.50142491007986,115.56035574042278,26.212003,ab
2458210.7865856,p48g,146.46013359198548,100.02111739173264,25.582741,ab
2458210.8042593,p48g,169.51393197748004,82.73647341951077,25.962756000000002,ab
2458229.7728935,p48g,616.4199957660512,29.489107119749082,26.209031500000002,ab
2458230.8170486,p48g,569.2071828391129,37.5773821798671,25.771008000000002,ab
2458230.8326389,p48g,664.6986994650349,31.618529259664918,26.188568500000002,ab
2458233.7326157,p48g,780.3307003260879,66.47990958699593,26.199752,ab
2458233.7340856,p48g,758.6221289057911,66.14756473251948,26.2040965,ab
2458234.7444329,p48g,448.1550212136431,110.0435454112945,25.938015500000002,ab
2458234.7448843,p48g,631.6902695415469,97.80440998816367,26.0304795,ab
2458235.6728241,p48g,751.3909081976711,89.73049179709598,26.194593,ab
2458235.7253125,p48g,711.1106849774301,86.01535522865586,26.192499010000002,ab
2458235.7257639,p48g,838.5994944959821,86.0621275105026,26.19109701,ab
2458236.6712153,p48g,645.1104147382844,99.37421259067398,26.125848,ab
2458236.6859954,p48g,495.60046848457114,97.91242002499797,26.09500649,ab
2458236.7104514,p48g,494.89675617273684,96.65935708779196,26.128022,ab
2458236.7113657,p48g,631.4599051452971,96.88719770269437,26.10145651,ab
2458237.6866898,p48g,695.2175622076364,93.36136678281538,26.148461,ab
2458238.6705903,p48g,554.858776000168,90.32350830261004,26.126911,ab
2458247.6925347,p48g,310.21732833928104,24.775594646450756,26.20642,ab
2458248.7059838,p48g,278.33647104355396,25.526860562897514,26.16958799,ab
2458248.7074537,p48g,257.5068506008544,25.512207718841672,26.1583925,ab
2458254.7145255,p48g,163.6732853287917,27.020926410627947,26.22993,ab
2458254.7149884,p48g,115.18665824224293,26.512356284082994,26.223673,ab
2458254.7154398,p48g,147.5820290731391,26.55118752594538,26.230361000000002,ab
2458254.7158912,p48g,222.29393797705217,26.614958892905047,26.226498,ab
2458254.7163542,p48g,151.45126799386097,26.338654113886133,26.231896000000003,ab
2458254.7168056,p48g,173.5588747085994,26.408386434794927,26.23124,ab
2458254.7172685,p48g,182.68273217095157,26.252931348838967,26.228946,ab
2458254.7177199,p48g,118.31086661685616,26.276535870413408,26.234292,ab
2458254.7181829,p48g,148.69941380983343,26.320334125544477,26.227879,ab
2458254.7186343,p48g,166.64544180575132,26.174650411085185,26.227026499999997,ab
2458254.7190972,p48g,141.05032555499523,26.239266794041416,26.23701801,ab
2458254.7195486,p48g,142.47432945258365,26.02130673906774,26.227414999999997,ab
2458254.7200116,p48g,127.55793695778314,26.218419337306994,26.143900000000002,ab
2458254.720463,p48g,155.19822040726174,26.29511928666084,26.1274865,ab
2458254.7209259,p48g,136.44407147879477,26.04705980789531,26.14100851,ab
2458254.7213773,p48g,202.2999517597413,26.146844620176854,26.14395999,ab
2458254.7218287,p48g,100.43955375951283,26.13320378913964,26.138500009999998,ab
2458254.7222917,p48g,142.43450993283716,26.274301236630055,26.13692399,ab
2458254.7227431,p48g,167.06492898064545,26.23291896317299,26.140232490000002,ab
2458254.723206,p48g,123.21980235086994,26.0730182537367,26.12609849,ab
2458254.7236574,p48g,105.17843948654864,26.056740827303408,26.139464989999997,ab
2458254.7241204,p48g,133.5759737198115,26.136031727912435,26.132464,ab
2458254.7245718,p48g,146.2635945517962,26.137514315344212,26.12967801,ab
2458254.7250231,p48g,163.47232993415986,25.948177134631358,26.115786,ab
