time,band,flux,flux_err,zp,zpsys
2458202.8030093,p48g,-17.027178692406068,38.88414964969335,26.201787500000002,ab
2458202.8179398,p48g,-41.88325335184612,37.59514759655359,26.157872,ab
2458202.8406713,p48g,38.62805742566073,36.025993097375625,26.232305,ab
2458202.8425231,p48g,-6.525164990724276,35.70094680205245,26.211581,ab
2458202.8607986,p48g,1.4958793170375948,33.84212989264864,26.195118,ab
2458202.8637384,p48g,-41.23637297433309,33.691344127269396,26.218253999999998,ab
2458203.8477315,p48g,-14.230705426484988,43.06636993118983,26.212148000000003,ab
2458203.8637731,p48g,-65.36499409450495,42.62326804672327,26.223119,ab
2458203.8884259,p48g,13.99443908546358,40.392592541281836,26.1426505,ab
2458203.9084491,p48g,-2.669405350267098,36.763856140692006,26.159406,ab
2458204.8585185,p48g,129.62280603294914,51.180869691636836,26.214873,ab
2458204.8935764,p48g,-6.319532486292424,50.05314854086257,26.19092501,ab
2458205.7961574,p48g,22.693190150363435,61.858803461210506,26.2222345,ab
2458205.8272454,p48g,-101.2096903981618,61.80438531034927,26.188529,ab
2458205.8365278,p48g,-5.7428124344765425,62.24315226846236,26.136221,ab
2458205.8523032,p48g,-47.1342997209626,74.58779013765951,25.73549249,ab
2458205.8736111,p48g,60.740461938206906,64.9857941077239,26.105157000000002,ab
2458205.874537,p48g,51.42312346568935,64.7032153562774,26.096556,ab
2458205.8958102,p48g,57.833706977993586,70.80009856868652,25.85892101,ab
2458206.7762269,p48g,-59.9889898806435,71.53447572769245,26.266044,ab
2458206.7950347,p48g,1.017108941136378,71.19118511664229,26.299426,ab
2458206.8272222,p48g,49.11344126951329,70.05967820625239,26.272460499999998,ab
2458206.8380324,p48g,-18.19514006639325,70.05425201217683,26.275297,ab
2458206.8735069,p48g,-5.903595958352611,68.50208583737593,26.2744075,ab
2458207.8080324,p48g,78.95249304901755,83.2870225509665,26.244653,ab
2458207.8288194,p48g,41.151086497364716,111.44744796040854,25.743607500000003,ab
2458207.8359491,p48g,-105.8093067540151,106.29310459691186,25.844488499999997,ab
2458207.8742708,p48g,160.83568679573068,81.68337633238485,26.2278005,ab
2458207.8771875,p48g,97.67047001565619,81.08620773874154,26.224531,ab
2458207.8978125,p48g,-50.80239774321372,80.20098961951469,26.221361,ab
2458208.8010185,p48g,-165.1892060962906,116.26464631463368,25.895110000000003,ab
2458210.7682523,p48g,-34.26361386251945,70.83178839974661,26.092667010000003,ab
2458210.8119907,p48g,42.23480511015394,76.0278239717981,26.018839,ab
2458210.8167708,p48g,-140.64144286190555,76.48131949337835,25.999073990000003,ab
2458210.8813657,p48g,-27.799486581033264,80.81769396311515,25.91601,ab
2458211.8369213,p48g,-64.85908936231479,62.97973674793373,26.051911,ab
