time,band,flux,flux_err,zp,zpsys
2458235.8233218,p48g,5.6445816818398455,61.35527713130434,26.034419999999997,ab
2458236.6935648,p48g,-141.4060757821814,73.33827200207749,26.02113601,ab
2458236.7181829,p48g,13.682014679168265,71.23810214552066,26.012403,ab
2458236.7972106,p48g,30.417439186317395,70.92526388872501,25.977558000000002,ab
2458236.8172569,p48g,-17.9277006178981,71.07477898155473,25.946075,ab
2458236.8181713,p48g,-13.414352445622171,71.38665208161983,25.987243,ab
2458236.8419676,p48g,-62.14292058124899,71.7067921889098,25.939956000000002,ab
2458236.8725,p48g,10.161291693917732,72.21862208769652,25.934244,ab
2458237.6738773,p48g,-223.1263140226082,78.56705371376738,26.08343449,ab
2458237.6747917,p48g,0.53421343580262,78.07766992916189,26.08159749,ab
2458237.7407176,p48g,53.64206615277088,75.55503849081794,26.007846999999998,ab
2458237.8118634,p48g,111.12880409131839,85.23678497050875,25.86288551,ab
2458237.9355208,p48g,-23.831281215689792,83.64820769725657,25.91372999,ab
2458238.6772801,p48g,-38.98810127142083,80.24743504570763,26.08367201,ab
2458238.6782176,p48g,-69.31282678307386,80.3650463368456,26.0235895,ab
2458238.6796991,p48g,95.64159682643516,80.63188838374211,26.052073,ab
2458242.7173843,p48g,326.241942628889,22.624970647040175,26.190011000000002,ab
2458242.7456713,p48g,305.5178155618735,22.75150069672139,26.174163,ab
2458242.7465856,p48g,311.9948191572895,23.017191275028292,26.182483,ab
2458242.7475231,p48g,303.32351583890136,23.1811771986878,26.165896,ab
2458243.7202778,p48g,449.68474456752165,22.465058899177578,26.1654565,ab
2458243.7437384,p48g,511.1698727411391,22.139964832355414,26.166743,ab
2458243.7456366,p48g,495.8066527061178,22.016711074623128,26.1653135,ab
2458243.7638079,p48g,482.0850358295012,21.9080813651164,26.1906135,ab
2458244.7205903,p48g,687.0495552061786,23.36958489002944,26.169563,ab
2458244.7445718,p48g,376.9367567333562,27.93018191100862,25.543518,ab
2458244.7454861,p48g,457.3956808730966,26.550391782133527,25.773380500000002,ab
2458244.7607292,p48g,421.52835472257664,26.494844278926397,25.673232000000002,ab
2458246.8027546,p48g,978.3088646964685,22.110055752684445,26.01535299,ab
2458246.8041667,p48g,978.4430557532319,22.081727591389747,25.991361,ab
2458247.703912,p48g,1270.719072115317,21.17236125989074,26.144333,ab
2458247.8048264,p48g,1222.464111634486,20.124394845729324,26.065633,ab
2458247.805787,p48g,1192.7781194227089,20.135345447273814,26.077872990000003,ab
2458247.8317593,p48g,1256.9143005334117,20.326303187680985,26.06407151,ab
2458248.6910648,p48g,1503.5058147603063,22.75853775987832,26.165271999999998,ab
2458248.7196875,p48g,1438.4046486675657,22.182415652954923,26.126915,ab
2458248.7206019,p48g,1440.2135258658454,22.04672585069877,26.127268,ab
2458248.7215046,p48g,1418.479092484419,22.058650597661913,26.07978901,ab
2458248.8325,p48g,1376.0006753411287,21.716391572166323,26.013607999999998,ab
2458249.6963773,p48g,1400.580860776879,21.61514304749388,25.959141,ab
2458255.6791898,p48g,2063.616081788398,23.688934048637112,26.151742,ab
2458255.7065741,p48g,2054.3441877077726,23.046760750422923,26.154417,ab
2458255.7257176,p48g,2101.4803827280284,22.573606918286504,26.159979,ab
2458255.7266319,p48g,2068.9229626440983,22.613189238472845,26.161542999999998,ab
2458258.6823032,p48g,1878.3016561316947,25.532439485317994,26.133593,ab
2458258.7795255,p48g,1727.4445414941183,21.67629885070804,26.00248899,ab
2458258.7883796,p48g,1729.6725301241863,20.692600222919385,25.996496,ab
2458258.789294,p48g,1717.7259947822404,20.641536160253818,25.99017699,ab
2458258.805544,p48g,1626.496495047087,19.14537627647832,25.954184,ab
2458267.6975116,p48g,1004.2635135920966,70.63264570049782,26.035731509999998,ab
2458269.7486343,p48g,714.3742642577508,55.61086511838319,26.00108001,ab
2458269.7634028,p48g,684.7831307911536,64.73938942312459,25.84718151,ab
2458269.7643171,p48g,675.4352160274848,61.23911367818462,25.92036301,ab
2458270.7477662,p48g,620.9804283814794,45.573906050595646,25.974754,ab
2458272.7189352,p48g,604.8644136519612,23.170462939753847,26.088843,ab
2458272.7207523,p48g,624.3084207825318,23.214459305244628,26.0691105,ab
2458272.7365972,p48g,586.2971210325811,23.247724936212258,26.100072,ab
2458273.7484144,p48g,548.9856383827123,22.63287986839994,26.119048,ab
2458273.7590278,p48g,545.6546344184079,22.562798724793762,26.1199155,ab
2458274.7419213,p48g,528.788453865927,20.357012170330137,26.128394,ab
2458274.7620023,p48g,493.20410686603077,20.225903335477835,26.117418999999998,ab
2458274.7794676,p48g,526.7140134805459,20.057475876688958,26.150164,ab
2458279.7253009,p48g,349.7055224440265,22.68811278755196,26.158960999999998,ab
2458281.7891667,p48g,270.37022076404094,23.696515919457884,26.041943,ab
2458282.7658218,p48g,224.20779897665008,22.757604910345677,26.060861000000003,ab
2458288.7046065,p48g,159.97093423374784,29.398564921203803,26.049746,ab
2458293.6814815,p48g,91.92463294772256,49.9503651430509,26.074781,ab
2458293.7125579,p48g,37.39610561250781,48.209217257681615,26.007276,ab
2458294.6805671,p48g,191.13264410860035,52.52901081696421,26.126481,ab
2458295.6843866,p48g,219.96564804345203,54.2763461499948,25.996356000000002,ab
2458295.6984259,p48g,101.51257772341674,53.434521351113,26.016625989999998,ab
2458295.7246181,p48g,37.104786580400855,55.635806807548754,25.967230999999998,ab
2458243.6775347,p48r,359.5497789339894,31.46153574605182,26.131063,ab
2458243.7786574,p48r,428.3184488804863,31.17015567222914,26.151683,ab
2458243.7795718,p48r,402.6841697334306,30.86457553369096,26.147308000000002,ab
2458243.805081,p48r,386.40983253769906,35.59499321620802,26.138706,ab
2458244.6766088,p48r,553.8357072278313,32.31799777241991,26.107730999999998,ab
2458244.8022338,p48r,437.90797232573027,36.07402157796865,25.88482199,ab
2458244.8179167,p48r,566.757114277903,31.702329345149245,26.096721000000002,ab
2458245.7012963,p48r,106.10416279101881,44.5246115388734,24.650214000000002,ab
2458247.7428125,p48r,1043.2899796101906,26.830246694666116,26.1218885,ab
2458247.7446875,p48r,1074.9920886015946,27.007619239117965,26.113947999999997,ab
2458247.7571644,p48r,1070.4161566346968,26.64703157353519,26.10016799,ab
2458254.7025116,p48r,1756.4201628110545,29.219096057166343,26.137212,ab
2458255.7899074,p48r,1696.5476236598415,28.966649539309426,26.060205500000002,ab
2458256.7679398,p48r,1648.9198499804993,26.365705260111522,26.103105000000003,ab
2458256.7693403,p48r,1685.3329238488602,26.712761303057764,26.1322865,ab
2458257.7176736,p48r,1648.073559208209,28.548432966219433,26.0646055,ab
2458257.7472222,p48r,1530.6482997389116,28.74012405094535,26.012634,ab
2458257.7598958,p48r,1638.4508876468342,27.399504699910466,26.04959899,ab
2458257.7608796,p48r,1607.1837051487469,27.216791814266085,26.05498349,ab
2458257.7858102,p48r,1543.2978803615633,26.74427507496373,26.038416,ab
2458258.7010532,p48r,1570.4386199053488,29.902203170463462,26.045552999999998,ab
2458258.7191204,p48r,1612.3007040994953,29.526212153665274,26.040811,ab
2458258.7200347,p48r,1577.4782567966781,29.389572004896305,26.046892,ab
2458258.7227778,p48r,1553.0661782542652,29.315249334442424,26.030173,ab
2458260.7087384,p48r,1482.779613684308,37.29847842359083,26.053017,ab
2458266.7459028,p48r,996.4688689138904,59.53765410481224,26.07074401,ab
2458266.7614699,p48r,900.2753909004373,59.6417190531777,26.05735901,ab
2458266.7684606,p48r,1053.5844759565384,61.272798418269886,26.111127,ab
2458266.7785069,p48r,1014.4381160492155,60.4343799556647,26.070487,ab
2458267.8030903,p48r,997.7754805455298,66.14028417042749,26.09374,ab
2458269.6979861,p48r,792.1642550068541,41.918572769491426,26.073932499999998,ab
2458270.8093981,p48r,852.4850906002714,49.920946991330375,26.11048,ab
2458270.8279514,p48r,856.3022552884194,53.55371743471694,26.080873,ab
2458271.6747685,p48r,809.533495376453,32.87975281580256,26.124270499999998,ab
2458274.7067593,p48r,792.1648629399756,28.243286392680243,26.128362,ab
2458274.8073611,p48r,840.2016427405761,28.17829870953215,26.144613500000002,ab
2458281.7052431,p48r,627.3659587333367,28.882553660915608,26.09834549,ab
2458281.7258449,p48r,649.6416571653078,30.638347236108704,26.127446,ab
2458281.8219676,p48r,669.2228557250655,32.35495610914558,26.1182495,ab
2458288.7605556,p48r,404.8659114486661,33.84094633074025,26.14654,ab
2458291.7423843,p48r,385.39842887966955,43.20295558128537,26.107927999999998,ab
2458293.7426852,p48r,323.5841024062137,44.65269838098348,26.029538,ab
2458293.7679051,p48r,353.3371515840024,46.25797082549866,26.082178000000003,ab
2458293.7909028,p48r,220.58718296084015,47.777589091759914,26.089188500000002,ab
2458294.7399769,p48r,354.1739556664402,48.57843093661708,26.126662,ab
