time,band,flux,flux_err,zp,zpsys
2458229.8155208,p48g,-46.02942954359203,24.55936663583956,26.213178000000003,ab
2458235.8352315,p48g,153.3224018632273,69.58375439575205,26.05013499,ab
2458236.7913889,p48g,92.52297133940581,94.10514892086654,26.00489699,ab
2458236.8298611,p48g,-17.34660113399186,91.59101879658192,25.98264999,ab
2458236.8303125,p48g,143.50826605868923,91.89246846479543,25.974744,ab
2458237.7978472,p48g,135.5343392208913,128.03141400583806,25.9829745,ab
2458242.8779398,p48g,605.8662600057017,46.7960755302429,26.21702101,ab
2458245.7930903,p48g,390.5132515263404,26.163740598523482,25.229879,ab
2458248.8157292,p48g,1074.1594805456357,23.01447707751838,26.10286399,ab
2458255.8379398,p48g,997.2356423524168,23.771474333493032,26.129241999999998,ab
2458267.7150463,p48g,252.39605778012304,100.52968827908649,26.05263749,ab
2458273.7527778,p48g,132.26030865315607,23.874642023761456,26.1754,ab
2458273.7537616,p48g,148.52058845237391,23.94836401056123,26.174614,ab
2458274.773287,p48g,104.37080625723598,21.148939269485016,26.2117925,ab
2458275.7675463,p48g,130.17538277501072,21.564814110640178,26.1484435,ab
2458276.7560648,p48g,114.5784914380908,22.738714483714862,26.223551999999998,ab
2458276.7569792,p48g,125.81675070033451,22.99384965949836,26.232866,ab
2458279.7955556,p48g,120.1101917826877,24.284019729480978,26.20073,ab
2458279.8123495,p48g,149.00522301087193,25.588557097330558,26.01425449,ab
2458280.7737963,p48g,89.64379362257044,24.044134392264038,26.203922000000002,ab
2458282.7887037,p48g,117.8247314819565,23.79406151418541,26.011195,ab
2458282.7896181,p48g,35.88583701320066,23.857964177236244,25.96531551,ab
2458283.7731481,p48g,100.73852101928316,23.693384805320395,26.230382,ab
2458284.7324884,p48g,77.80578808745814,24.296583262327847,26.153132,ab
2458288.7130903,p48g,158.2241534253457,30.781750577553172,26.161389,ab
2458294.6906597,p48g,123.53954391110743,65.10233181454242,26.175762499999998,ab
2458300.6918519,p48g,58.97368926539507,23.494530034829573,26.193018000000002,ab
2458303.7120949,p48g,39.697078465807,23.81833545167322,26.14678401,ab
2458306.7156597,p48g,-16.478240211215244,22.507651100897295,26.016455999999998,ab
2458312.7557986,p48g,36.950125501390744,25.89287112676615,25.951142,ab
2458316.6699537,p48g,50.88048754347317,45.97056614482902,26.018767500000003,ab
2458327.6629977,p48g,78.0033526375372,77.95769322049071,26.111197999999998,ab
2458329.7094907,p48g,158.56303713310243,129.51219222015638,27.829699,ab
2458242.8346412,p48r,505.16937564947705,45.178154952985764,26.101078,ab
2458255.7728588,p48r,941.53218798077,30.186317977869013,25.987717,ab
2458258.7483218,p48r,778.538070996218,28.56867479058747,25.9595515,ab
2458270.7999421,p48r,574.9139169413326,53.388951604146456,26.05833,ab
2458276.7770833,p48r,370.79816521660246,29.525263362706966,26.10913,ab
2458276.7779977,p48r,352.1391319492306,29.83812858747431,26.114376999999998,ab
2458277.7740046,p48r,269.70602622528986,31.330217086238502,26.085294,ab
2458279.7342708,p48r,321.1801951055618,30.467905304988793,26.0873,ab
2458279.7351852,p48r,342.9034557853991,30.809638797484542,26.100405000000002,ab
2458280.6893403,p48r,372.18075472318924,30.073895252283574,26.061981510000003,ab
2458281.7107639,p48r,256.4085020957,30.157892112786804,26.092582,ab
2458282.7112963,p48r,231.68189618660503,31.51933933064165,26.100256,ab
2458288.7558912,p48r,139.7043584966451,34.33019854663728,26.101271,ab
2458227.8776273,p48i,19.694273605538314,29.130196148852324,25.35561199,ab
2458254.8813542,p48i,384.4985969950806,28.18607995318839,25.434775000000002,ab
2458272.8368171,p48i,250.54050403022197,37.457181015670635,25.431837499999997,ab
2458277.6688773,p48i,152.9912279234784,38.990047578783475,25.431339,ab
2458281.6866551,p48i,112.21028475525348,31.53872222200762,25.468524000000002,ab
2458286.6911343,p48i,98.2007080126973,29.421472607539876,25.422224500000002,ab
2458295.8269792,p48i,-2.963622854516892,49.9738022870511,25.436207,ab
2458299.7950463,p48i,26.565023353543786,44.26247710570332,25.3882055,ab
2458320.7115394,p48i,21.22918167094892,45.56494543063447,25.379317,ab
