time,band,flux,flux_err,zp,flags,zpsys
2458227.684537,p48g,7938.118767955607,33.10707270535011,26.1014005,2050.0,ab
2458231.6983333,p48g,9269.591895878919,57.59401373980343,26.168922000000002,2050.0,ab
2458234.6514699,p48g,8647.141693212876,68.86275360778743,26.132876,2050.0,ab
2458234.7132176,p48g,8230.8082916019,71.43909222855345,26.066793999999998,2050.0,ab
2458237.6934259,p48g,7625.408747508556,85.32390925007057,26.05931899,2050.0,ab
2458244.7056366,p48g,4687.129404736064,38.93198638659733,26.011682,2050.0,ab
2458247.6765046,p48g,3989.3450070301633,35.41459922699546,26.06124151,2050.0,ab
2458223.650463,p48r,5608.650811041942,39.789116756790925,26.207235,2050.0,ab
2458223.6710532,p48r,5684.984071194615,40.317765852420365,26.2097125,2050.0,ab
2458227.6459028,p48r,7988.898538954561,44.4444936568038,26.184347000000002,2050.0,ab
2458231.6635648,p48r,9546.405097039913,62.30484915012139,26.235477,2050.0,ab
2458244.6615625,p48r,5560.549214153209,47.446008486027885,26.156894,2050.0,ab
2458247.7216898,p48r,4594.042027299918,53.056754886642025,26.103161,2050.0,ab
2458263.6631481,p48r,10154.817377020485,147.03298964155292,27.307178999999998,2050.0,ab
