time,band,flux,flux_err,zp,flags,zpsys
2458284.715625,p48g,99.77794902570321,34.35042830285345,25.96486301,2.0,ab
2458255.6885995,p48g,567.7764980349866,27.832701020974742,26.168754,2050.0,ab
2458248.7050579,p48g,325.27414322202316,26.25554547379454,26.11768,2050.0,ab
2458245.7289583,p48g,48.83799952013486,32.98524453255809,25.09994801,2048.0,ab
2458272.6911458,p48g,166.0123599200355,30.15263662372333,26.105663,2050.0,ab
2458230.8094097,p48g,56.506497070816124,46.049815615210036,25.307543,0.0,ab
2458293.677419,p48g,59.71117122735039,71.59800582653115,26.11484751,0.0,ab
2458290.6934144,p48g,81.73818719549563,60.27639101773316,25.96739699,2048.0,ab
2458269.7114352,p48g,220.52907147421462,61.09961412783464,26.05058501,2050.0,ab
2458238.6496181,p48g,12.387970542734706,77.04023806217077,26.088215,0.0,ab
2458235.671331,p48g,-11.875315308416074,81.9627416585253,26.09331199,0.0,ab
2458235.719294,p48g,-131.69699395165995,78.9253335701364,26.025552,0.0,ab
2458235.7215856,p48g,87.55317088455564,79.20973653001265,26.055383010000003,0.0,ab
2458277.7346991,p48r,395.40230139736263,44.11263170184186,26.0089595,2050.0,ab
2458262.7427894,p48r,1289.4633572528264,109.34079463898031,26.679728,2050.0,ab
2458227.7429861,p48r,24.662193052759775,31.465706768284353,26.0130495,2.0,ab
2458218.7148727,p48r,34.34690462459743,34.051363815708406,25.98854099,2.0,ab
2458224.7241782,p48r,-5.070815982412146,36.25705991495098,25.76151901,2.0,ab
2458266.7323032,p48r,695.0538431766189,70.47763763562304,26.001624999999997,2050.0,ab
2458218.7425116,p48r,-27.356587888688658,34.30360327490959,26.024045,2050.0,ab
2458224.6969329,p48r,-13.110983630333017,42.77383690947585,25.177802500000002,2048.0,ab
2458262.6923032,p48r,1369.1535949676672,99.50161957625428,26.71756251,2050.0,ab
2458248.6600579,p48r,419.79566673965326,34.37654206723068,26.089917999999997,2050.0,ab
2458284.672963,p48r,251.91641229394162,50.568945789412744,25.96012,2050.0,ab
2458263.7183102,p48r,2323.0395058241334,107.34131644200784,27.195652,2050.0,ab
