time,band,flux,flux_err,zp,zpsys
2458300.7282639,p48g,70.38395107613613,40.733041996198004,25.9894275,ab
2458279.7133796,p48g,423.88654138616175,26.136404202824878,26.06284251,ab
2458276.7574421,p48g,525.1050653355314,24.278920927638328,26.105610990000002,ab
2458273.7369792,p48g,757.2966673077758,24.93406629770993,26.11866701,ab
2458267.7141319,p48g,1004.5798185743198,90.19974799323549,25.93899099,ab
2458288.715,p48g,82.38220202186177,31.95210577522403,26.068633010000003,ab
2458303.6972106,p48g,110.76175973709444,25.23992191526788,26.05383,ab
2458258.7753588,p48g,1108.2750157380597,24.78542964658578,25.928293009999997,ab
2458294.6737616,p48g,67.97778730489526,69.73157762561681,26.109518,ab
2458282.7546759,p48g,302.01434175989726,24.160755399338555,25.976348010000002,ab
2458300.7272801,p48g,43.72648913377308,38.272743210431614,25.992185000000003,ab
2458303.698287,p48g,34.88536816646012,24.635301286724932,26.038372,ab
2458279.7157407,p48g,415.90409362506205,23.9611563287818,26.089176,ab
2458276.7360069,p48g,562.2187823184885,24.16342488706646,26.123341,ab
2458288.7159259,p48g,99.53094838855927,30.138609224583362,26.043083,ab
2458262.7766435,p48g,1286.8047454347989,52.55318959720873,26.006504,ab
2458248.817581,p48g,77.68932159736512,22.519158873114602,26.0327715,ab
2458273.7543403,p48g,683.938870272596,23.578905848899904,26.077856,ab
2458255.7135417,p48g,890.7565006873099,24.06493941787134,26.023699,ab
2458294.6747222,p48g,110.32822859072618,64.31368348094327,26.07551101,ab
2458282.7556019,p48g,236.79280193413194,24.043264184388335,26.038628,ab
2458255.760625,p48r,828.0331945748812,30.972477315686504,25.88261199,ab
2458291.7371412,p48r,537.3776227044896,54.6067309488412,25.908806499999997,ab
2458258.7506713,p48r,977.2214400457108,28.65086213637053,25.779649,ab
2458270.8004051,p48r,1132.6327908719713,49.98867861490625,25.920852,ab
2458294.7500463,p48r,400.7256428474859,55.83300567094441,25.944588,ab
2458276.6942593,p48r,832.263143176395,30.063958735109093,25.966592000000002,ab
2458279.7556019,p48r,814.1088208822058,30.32942124039453,25.953391,ab
2458282.7154167,p48r,793.6675096492634,28.81265793328977,25.915561,ab
2458300.6774421,p48r,363.8379933057954,35.08694650712233,25.919559,ab
2458267.8125463,p48r,1304.460044839295,75.32981989905892,25.915274,ab
2458288.7356829,p48r,681.8379188531871,34.47033201470704,25.93234,ab
2458297.7705556,p48r,354.0481981405846,66.13667120525932,25.889388,ab
2458272.6685417,p48r,1112.8915783265784,36.54171773064004,26.00032,ab
2458270.8018056,p48r,1194.5348194329313,48.24754747491218,25.980203,ab
2458282.7163426,p48r,795.7728900498614,28.266524725471,25.998391,ab
2458288.7361574,p48r,659.5837662773976,32.57206306723816,25.963651010000003,ab
2458300.6783681,p48r,348.0258367180977,32.64049345939722,25.962407,ab
2458267.8106829,p48r,1465.8849933937026,74.049003863956,25.982666000000002,ab
2458294.7520486,p48r,440.00773325382744,53.62071966443549,25.994359,ab
2458271.6911574,p48r,968.4995746010428,29.642971404472533,25.892844999999998,ab
2458270.8008681,p48r,1119.9457186261168,47.851864096915705,25.960747,ab
2458279.7384028,p48r,850.6048436870919,28.20593707349716,25.922608999999998,ab
2458297.7681944,p48r,311.44449006253257,63.95568395774822,25.932831,ab
2458267.8097338,p48r,1303.0544879320296,75.88349466496898,25.99328001,ab
2458276.6947222,p48r,888.5230495260896,27.97228164366156,26.004251,ab
