time,band,flux,flux_err,zp,flags,zpsys
2458271.7803935,p48g,755.7980503425847,48.75746986592062,26.013143,2050.0,ab
2458279.7171759,p48g,633.6965242266701,26.889117347807446,26.203125999999997,2050.0,ab
2458271.739375,p48g,747.020089578338,32.84711695186133,26.060053,2050.0,ab
2458307.7274653,p48g,47.924116142661475,30.409075724572336,25.939571,2050.0,ab
2458271.7366319,p48g,727.1047450528611,31.321514585653823,26.06822149,2050.0,ab
2458271.7425694,p48g,793.6479209391275,34.69862142853217,26.085177,2050.0,ab
2458271.7357176,p48g,749.7946355002739,30.66981343102889,26.095887,2050.0,ab
2458258.777662,p48g,412.1742710150327,24.925611900345967,26.051989,2050.0,ab
2458271.759375,p48g,724.2419863015017,42.061343805434724,26.072056,2050.0,ab
2458271.7689583,p48g,818.9459761778558,45.739968851432955,26.083104,2050.0,ab
2458271.7671412,p48g,847.3229396679731,45.31132401231806,26.120149,2050.0,ab
2458271.7598264,p48g,809.4925472996647,42.17865999684829,26.08486849,2050.0,ab
2458271.7070255,p48g,741.6806937014525,26.395740362510104,26.01888799,2050.0,ab
2458271.7024537,p48g,739.724166708121,26.449821453506278,26.057659,2050.0,ab
2458271.7511458,p48g,814.050006520469,39.17134703040526,26.14169399,2050.0,ab
2458269.7526505,p48g,832.0513195363116,64.41525370101895,26.036459009999998,2050.0,ab
2458271.7808449,p48g,768.161112923884,48.51768943809415,26.006847999999998,2050.0,ab
2458271.7497801,p48g,772.0035677700113,38.49276418177525,26.03873199,2050.0,ab
2458271.7703356,p48g,765.7474532941419,46.010950407233025,26.080914,2050.0,ab
2458271.7493287,p48g,798.9870061499576,38.45998430437727,26.055611,2050.0,ab
2458271.7320718,p48g,815.1076049386215,29.199210027591906,26.081077,2050.0,ab
2458271.7398264,p48g,816.083171302248,32.96123272664495,26.142194,2050.0,ab
2458271.7412037,p48g,729.4968122804696,33.64511747264571,25.99241599,2050.0,ab
2458271.7653125,p48g,798.4319502945589,44.335293990581256,26.082409,2050.0,ab
2458271.738912,p48g,744.6211246465983,32.39157746304137,26.024658510000002,2050.0,ab
2458271.7630324,p48g,717.4628273169797,43.372258428323725,26.10763199,2050.0,ab
2458271.7776505,p48g,783.1575109943049,48.14463572961467,26.02277301,2050.0,ab
2458271.7065625,p48g,697.074841663693,26.744879145887925,26.02728498,2050.0,ab
2458271.727037,p48g,850.4828313737287,28.16621185959829,26.142421000000002,2050.0,ab
2458271.7621181,p48g,824.0499980463819,42.55137318715374,26.118381000000003,2050.0,ab
2458271.7488657,p48g,789.8379019920642,38.419450319154045,26.123001499999997,2050.0,ab
2458271.700625,p48g,814.4936503880626,26.46052119848392,26.103238989999998,2050.0,ab
2458271.7338889,p48g,700.457888784334,29.897575003169695,26.038833999999998,2050.0,ab
2458271.7579977,p48g,855.6383641920354,41.64091413396504,26.1762895,2050.0,ab
2458271.7125,p48g,707.7666338720537,26.439731972953755,26.010558489999998,2050.0,ab
2458271.7685069,p48g,826.4427497714391,45.78250279733524,26.116366,2050.0,ab
2458271.7516088,p48g,713.0510924570772,39.39717957812897,26.08160751,2050.0,ab
2458271.7306944,p48g,841.4076762086049,28.69761936168723,26.09779399,2050.0,ab
2458282.7594213,p48g,407.4232224715643,26.6037425930199,26.145168,2050.0,ab
2458271.6997106,p48g,743.4002015980168,26.498266350386057,26.092111990000003,2050.0,ab
2458271.7666782,p48g,750.6332878176873,45.104170148231226,26.09150599,2050.0,ab
2458271.7781019,p48g,707.5607688603884,47.895204574383115,25.98257251,2050.0,ab
2458271.7020023,p48g,746.2525563097843,26.492680495602407,26.077233,2050.0,ab
2458271.6992593,p48g,818.7236834012283,26.339065191285982,26.10642799,2050.0,ab
2458276.7121181,p48g,691.9903737245136,26.41503606770828,26.264783,2050.0,ab
2458271.7402894,p48g,747.8385059817368,33.16043204983276,26.08984399,2050.0,ab
2458271.7648495,p48g,744.6573578091875,44.2972216147628,26.080722010000002,2050.0,ab
2458271.7334375,p48g,812.3293132850984,29.763768884080214,26.0748955,2050.0,ab
2458271.7352662,p48g,768.258610362823,30.48829011290051,26.084000999999997,2050.0,ab
2458271.6978819,p48g,786.6402976802813,26.471223462010506,26.15528049,2050.0,ab
