time,band,flux,flux_err,zp,zpsys
2458246.7937037,p48g,-83.02333645326686,31.490643577057497,26.005749,ab
99.0,p48g,99.0,99.0,99.0,ab
99.0,p48g,99.0,99.0,99.0,ab
99.0,p48g,99.0,99.0,99.0,ab
99.0,p48g,99.0,99.0,99.0,ab
99.0,p48g,99.0,99.0,99.0,ab
99.0,p48g,99.0,99.0,99.0,ab
99.0,p48g,99.0,99.0,99.0,ab
99.0,p48g,99.0,99.0,99.0,ab
99.0,p48g,99.0,99.0,99.0,ab
99.0,p48g,99.0,99.0,99.0,ab
99.0,p48g,99.0,99.0,99.0,ab
99.0,p48g,99.0,99.0,99.0,ab
99.0,p48g,99.0,99.0,99.0,ab
99.0,p48g,99.0,99.0,99.0,ab
2458345.6782639,p48g,-43.212279925889945,44.73723268048728,25.87066151,ab
99.0,p48g,99.0,99.0,99.0,ab
2458255.8365625,p48g,15.466576900863192,28.72218514034927,26.119799,ab
2458258.7735185,p48g,122.97096707798994,27.278304946546235,26.004614,ab
2458267.7132176,p48g,730.6013322874162,120.1117079804661,26.01063251,ab
2458270.7899074,p48g,1102.5672011172787,61.87611746224092,26.042514,ab
2458273.7532755,p48g,1384.2994712097502,29.61356910298177,26.14366901,ab
2458276.7550926,p48g,1478.6027869471588,28.305807150613884,26.196679,ab
2458279.7950694,p48g,1217.863666447066,28.555593790708965,26.192047000000002,ab
2458288.71125,p48g,613.773599412059,34.90869571744563,26.117393,ab
2458294.6915741,p48g,247.7705049905535,77.2141961076938,26.147661,ab
2458297.7501389,p48g,270.4571299206651,90.97736030551641,26.088290500000003,ab
2458304.6923032,p48g,171.4183266336073,29.66191616334769,26.130966,ab
2458312.7539583,p48g,109.87041029562764,30.071999136231923,25.93556,ab
2458334.6760648,p48g,72.81129438943888,32.39363740827732,25.911938,ab
2458337.6706829,p48g,35.27458586550129,33.50094935005576,26.00769201,ab
99.0,p48g,99.0,99.0,99.0,ab
99.0,p48r,99.0,99.0,99.0,ab
99.0,p48r,99.0,99.0,99.0,ab
99.0,p48r,99.0,99.0,99.0,ab
99.0,p48r,99.0,99.0,99.0,ab
99.0,p48r,99.0,99.0,99.0,ab
99.0,p48r,99.0,99.0,99.0,ab
99.0,p48r,99.0,99.0,99.0,ab
99.0,p48r,99.0,99.0,99.0,ab
2458291.7531366,p48r,41.41113210849181,61.565141185997376,26.092772999999998,ab
99.0,p48r,99.0,99.0,99.0,ab
99.0,p48r,99.0,99.0,99.0,ab
99.0,p48r,99.0,99.0,99.0,ab
99.0,p48r,99.0,99.0,99.0,ab
99.0,p48r,99.0,99.0,99.0,ab
99.0,p48r,99.0,99.0,99.0,ab
99.0,p48r,99.0,99.0,99.0,ab
2458258.7515856,p48r,163.18083343558442,31.252184683920646,25.978297989999998,ab
2458270.817037,p48r,1270.144576588333,60.470623523243724,26.12697149,ab
2458273.8157176,p48r,1449.2245028695002,39.48504788066336,26.136368,ab
2458282.7098958,p48r,1261.4420785990972,33.550915706939804,26.155645,ab
2458288.7535532,p48r,842.5279500347015,38.4229604413882,26.150342000000002,ab
99.0,p48r,99.0,99.0,99.0,ab
2458300.6737269,p48r,637.1906191957715,45.86981840073158,26.046615,ab
2458304.6758796,p48r,491.2559529331373,41.38405017649177,26.140464,ab
2458312.6906829,p48r,337.9431247376433,34.1306362684465,26.016457,ab
2458331.6613657,p48r,153.57417104016437,51.22828383363937,26.044576,ab
2458337.6906944,p48r,89.27083058669467,39.13368678212228,26.04874849,ab
