time,band,flux,flux_err,zp,zpsys
2458272.6977778,p48g,-12.437024635716874,26.25930057125476,26.131698999999998,ab
2458274.7237153,p48g,87.68954323075675,23.24161991009459,26.169760999999998,ab
2458276.7205093,p48g,140.09232915293703,25.202951226421817,26.2304675,ab
2458276.7214468,p48g,160.14559463178543,25.234151531764542,26.223278,ab
2458277.6948843,p48g,198.45368560947315,26.075975917819118,26.11414199,ab
2458278.7029051,p48g,232.579601843212,26.14105910503026,26.07825249,ab
2458279.6919792,p48g,367.1089303773395,26.097619908071756,26.197374,ab
2458279.7033333,p48g,324.55181145910905,25.752531548438313,26.184497,ab
2458280.738125,p48g,418.26323037038986,26.523133543882036,26.207138,ab
2458282.7463542,p48g,610.4709495263018,26.180405800263014,26.12199301,ab
2458283.7557755,p48g,677.2661014537028,27.617826673376737,26.186256009999997,ab
2458284.7227083,p48g,673.2249477128389,27.908671358672265,26.107298,ab
2458288.7188889,p48g,894.0911319863908,36.20044529043212,26.1873555,ab
2458292.7019213,p48g,1042.6387752218718,53.00615093528335,26.138111,ab
2458295.6953935,p48g,920.5566869054414,61.63674175128702,26.092277,ab
2458298.6816319,p48g,953.2370266601467,61.1772714390284,26.160800000000002,ab
2458304.6977431,p48g,624.8874747624448,27.835341549493403,26.08518,ab
2458336.6796065,p48g,12.203581394764976,37.217938438260504,25.87025401,ab
2458348.6582407,p48g,66.33862150336714,57.987262132536664,25.705876999999997,ab
2458266.7497338,p48r,-22.43339721890903,67.06995059829313,26.1843,ab
2458267.7873958,p48r,-88.99317608009345,75.81559568261032,26.163531,ab
2458272.6797222,p48r,3.0508466709037876,33.70944852246394,26.210303,ab
2458272.6806597,p48r,-31.212218199731662,33.93612687334439,26.210979,ab
2458274.7017708,p48r,65.85247901305897,31.439696176135943,26.194739000000002,ab
2458276.7033333,p48r,204.56707378314442,32.041726964562635,26.255108,ab
2458277.7416898,p48r,218.93197658629384,35.94603941282002,26.168165,ab
2458278.7474653,p48r,260.17587128764484,34.915099460699786,26.144938,ab
2458279.6743519,p48r,311.7788679504824,34.81893064696586,26.201535,ab
2458279.6846875,p48r,267.7889719798976,32.63417980896957,26.184711999999998,ab
2458280.6955903,p48r,380.7933978209853,32.507629290845166,26.2214895,ab
2458281.7033565,p48r,451.7701642186102,32.71850310258322,26.205063000000003,ab
2458282.6970139,p48r,497.700122019381,32.645319837857514,26.2102445,ab
2458282.697963,p48r,517.5017260472844,32.794893856635376,26.235872,ab
2458283.6996065,p48r,568.3052590758105,34.72585634626608,26.244225,ab
2458284.7020949,p48r,598.6557130790967,36.10903077350538,26.190382000000003,ab
2458288.7489815,p48r,846.2178323177188,42.922997619142684,26.197934999999998,ab
2458292.7371065,p48r,937.2484409935757,52.96720957213037,26.170767,ab
2458295.7399653,p48r,934.5936994680828,60.15875019118362,26.181559,ab
2458298.7584954,p48r,782.7117318933005,70.39055864234481,26.143963,ab
2458301.6779282,p48r,951.0374667177904,43.32655827156365,26.168053,ab
2458304.6815741,p48r,792.6237531019215,39.21270453343447,26.173369,ab
2458319.7114005,p48r,494.10267201094825,57.89869843458069,26.044558000000002,ab
2458336.7019213,p48r,231.39429472753915,56.81333034390412,26.047074,ab
