time,band,flux,flux_err,zp,zpsys
2458229.7995833,p48g,22.33418589710237,28.400187255946527,26.259279000000003,ab
2458229.8257755,p48g,4.030863041248706,26.11193092897011,26.239793000000002,ab
2458229.8272106,p48g,29.959347642251547,26.354263344443382,26.2434685,ab
2458229.8281944,p48g,17.698080356904274,26.26318085398723,26.244854,ab
2458229.8460185,p48g,8.502462890760981,25.917913610766078,26.21428601,ab
2458230.8511574,p48g,-22.8164405989232,27.675043197299694,26.241696,ab
2458230.8520718,p48g,0.0633855408993389,27.585533494678057,26.236477,ab
2458230.8674421,p48g,0.8997645960206508,27.44734906509737,26.225079,ab
2458230.8924653,p48g,-0.8511747558434024,28.67567019284286,26.009666999999997,ab
2458231.8878819,p48g,-7.4083652332502545,25.92257177469857,26.1311345,ab
2458231.8887963,p48g,-34.72766718214983,25.63999207047745,26.142456,ab
2458231.9133681,p48g,33.69861942888059,24.91219384640183,26.120385,ab
2458231.9348958,p48g,5.837047413339889,26.00412818969217,26.13305801,ab
2458232.7666319,p48g,103.99105082684589,50.218809090525795,25.96940799,ab
2458232.7695602,p48g,-34.936985623815815,46.734876680583234,26.162965,ab
2458232.7705208,p48g,48.702420055381126,46.38042645258502,26.16813299,ab
2458232.7826852,p48g,42.22672833805391,45.00418148093922,26.17596949,ab
2458233.7988426,p48g,6.9494833287623194,52.018798908553016,26.213065,ab
2458233.8063889,p48g,-27.313473331343317,51.75261384543511,26.218024,ab
2458234.807338,p48g,-95.72897682751092,64.15771058467607,26.07014049,ab
2458234.8288889,p48g,-6.5369714233183664,62.49547860466256,26.065502509999998,ab
2458234.8298032,p48g,42.68855036666382,63.865514210960924,26.041189000000003,ab
2458234.8538889,p48g,113.7748222445949,69.0468044391163,25.826094,ab
2458234.8861574,p48g,102.96971857349048,70.39704835650886,25.817585490000003,ab
2458234.8870718,p48g,101.16694338411268,68.56028904685371,25.86457599,ab
2458234.9129861,p48g,18.605573296346975,71.25273225624979,25.68975401,ab
2458234.9339699,p48g,43.338671040192814,53.647289148861844,26.03001601,ab
2458235.8103472,p48g,6.822797367416719,67.20546978843377,26.15635901,ab
2458235.811794,p48g,-19.92905575945319,66.90591933234784,26.149918,ab
2458235.8247685,p48g,196.42674043607013,66.8993496563582,26.106141,ab
2458235.8427199,p48g,6.674109351825528,67.09377003044067,26.11676949,ab
2458235.8436343,p48g,59.339974660622886,66.69697135203997,26.119393,ab
2458235.8445486,p48g,-105.4373469634613,66.47644601746246,26.10509451,ab
2458235.8732523,p48g,-45.314918983194275,67.26309009234691,26.10033501,ab
2458236.7375579,p48g,-78.77327064788318,81.03257268328103,26.057593999999998,ab
2458236.8376852,p48g,111.21342140874691,77.32750085893446,26.005716990000003,ab
2458236.8663079,p48g,5.464481891155172,76.57679007633811,26.03686599,ab
2458236.8916667,p48g,-18.182973308468917,76.63881697832508,26.02510151,ab
2458236.9511574,p48g,-45.08075303438124,76.26625096634841,26.08250749,ab
2458236.9696644,p48g,25.570432205997818,73.81522893803725,26.03022499,ab
2458236.9705787,p48g,-55.666247137978914,74.38338175500547,26.025504,ab
2458237.8099306,p48g,-21.26498627394484,93.9497262433568,25.94857,ab
2458237.8415625,p48g,-12.126557906099983,85.60206675490349,26.084085490000003,ab
2458237.8424769,p48g,74.28345522404327,84.91548160515094,26.056266009999998,ab
2458237.8746296,p48g,-55.425371891868394,84.72996234288577,26.0749545,ab
2458237.9566667,p48g,50.37517778611094,86.70113593655825,26.08711899,ab
2458237.9637384,p48g,-84.79757879602545,87.74314135309531,26.080436,ab
2458237.966088,p48g,45.551368521425545,88.20773203976373,26.059735,ab
