time,band,flux,flux_err,zp,zpsys
2458282.7594213,p48g,34.3777566854571,25.711157797277508,26.13721,ab
2458288.6951157,p48g,265.44242001325586,35.19490837570033,26.180414,ab
2458283.7547454,p48g,-29.365485266995986,26.894909980954004,26.18458,ab
2458284.7133102,p48g,-2.5319206555763536,26.315042445294463,26.151468010000002,ab
2458333.6828588,p48g,123.8854798214233,31.72533759611081,25.825718000000002,ab
2458292.6934606,p48g,589.7807308530588,54.6354012970408,26.157097,ab
2458295.6756019,p48g,904.7267086875395,66.66976609350617,26.196112,ab
2458307.7274653,p48g,757.519860013768,28.627184314706437,25.937848,ab
2458336.6773032,p48g,73.25822038153024,33.02515740861665,25.998106999999997,ab
2458301.7572454,p48g,978.9234649366445,46.63733238855327,26.126587999999998,ab
2458304.6986921,p48g,987.7753067157068,27.232473307778246,26.120172999999998,ab
2458282.7585069,p48g,14.566086567660394,25.654298479281383,26.141261,ab
2458295.734294,p48r,655.2778088183434,56.17648004475081,26.07953251,ab
2458284.7067824,p48r,94.91941916115846,33.53637937657738,26.082587,ab
2458282.6919097,p48r,22.364614673694845,31.292621729723407,26.071731,ab
2458282.6928472,p48r,-33.172604081380356,30.805085021949452,26.10155451,ab
2458283.712662,p48r,28.09309733357867,32.51398118674183,26.1404505,ab
2458292.7352546,p48r,394.02413766899645,52.486479625049476,26.0657625,ab
2458307.6752662,p48r,695.5023593392873,41.28481089661597,26.007506000000003,ab
2458301.6765394,p48r,885.6208723043314,40.094162671660406,26.053633490000003,ab
2458336.6991782,p48r,316.47041476565425,44.56427433033215,26.058142,ab
2458298.755706,p48r,868.4145972936603,59.23501026909858,26.048201499999998,ab
2458319.7104745,p48r,412.6017606091468,56.11484260784653,25.92585501,ab
2458304.6796412,p48r,900.6898419919735,36.6441966833504,26.088642999999998,ab
