time,band,flux,flux_err,zp,flags,zpsys
2458588.8086806,p48g,-97.61903028153213,70.92382358418533,25.631104,2050.0,ab
2458612.8123264,p48g,-7.080700818084935,18.8002483023889,26.1297575,2050.0,ab
2458670.6947222,p48g,-4.413791885904466,27.599804157095747,25.99826401,2050.0,ab
2458588.7845718,p48g,-91.49050721503056,69.52629185479795,25.820238,2050.0,ab
2458585.7561806,p48g,35.718412326458875,34.72823475428684,26.147783,2050.0,ab
2458580.8039583,p48g,-8.029207457578691,24.461894042237713,26.145895,2050.0,ab
2458572.8428704,p48g,34.49644662855417,28.835150469960897,25.667771000000002,2050.0,ab
2458288.7041088,p48g,40.81030852049046,31.53905145493451,26.133982,2050.0,ab
2458673.6781134,p48g,7.366825716470718,41.36853828088031,26.143359,2050.0,ab
2458296.6783449,p48g,-62.596054567526444,64.31649816213948,26.106408000000002,2050.0,ab
2458337.6734722,p48g,102.76624743122517,28.027299825826745,26.093583,2050.0,ab
2458596.6935069,p48g,3.0275777243595847,25.946058064492487,26.085083,2050.0,ab
2458596.7143981,p48g,-83.5899630788548,24.99806518359554,26.1095815,2050.0,ab
2458580.9039468,p48g,32.91317752687984,26.2950177665803,26.022262,2050.0,ab
2458316.6723611,p48g,1005.3192879141507,43.21385090118891,26.032652,2050.0,ab
2458652.6918866,p48g,42.81744633691866,57.97520330161594,26.096346,2050.0,ab
2458573.8328704,p48g,-22.865751712681387,25.545878941029258,26.04790301,2050.0,ab
2458616.7603009,p48g,-33.831804960251766,45.293831356307415,26.086637500000002,2050.0,ab
2458300.7252431,p48g,-3.247579567834614,39.919308213152036,26.142288999999998,2050.0,ab
2458649.6940162,p48g,-105.9302347836881,68.52182793575926,26.06622599,2050.0,ab
2458651.6790394,p48g,68.25305621422298,78.26344480668119,26.099503,2050.0,ab
2458649.8440741,p48g,26.247156692531156,81.86628077968456,25.978859,2050.0,ab
2458295.7002894,p48g,-78.91127943653747,58.035645116267474,26.12496,2050.0,ab
2458591.7493403,p48g,-52.69280879483316,88.42532898723569,26.176485,2050.0,ab
2458298.6821875,p48g,-15.977481390492972,53.05976882286919,26.201801,2050.0,ab
2458644.701412,p48g,7.698487764420619,36.94270963074243,26.1070195,2050.0,ab
2458574.8498264,p48g,-86.5113265554553,28.64935903897078,25.379745500000002,2050.0,ab
2458586.9038426,p48g,-16.93205075530016,27.344472482734766,26.10962201,2050.0,ab
2458606.884456,p48g,14.76015658982601,21.440620943859603,26.090443,2050.0,ab
2458653.7982986,p48g,47.11914778203271,63.95016106407242,26.0577785,2050.0,ab
