time,band,flux,flux_err,zp,zpsys
2458306.7147454,p48g,-35.4114092596408,23.024496839646478,25.98568,ab
2458312.7544097,p48g,511.70849517889167,25.871555414660374,25.918102,ab
2458315.6702083,p48g,1028.1425849243028,46.34452713755425,25.926655,ab
2458328.667037,p48g,3754.090925727105,51.81441941826898,26.081193,ab
2458328.7436574,p48g,18556.94891250307,185.88157610833758,27.839259,ab
2458331.7733796,p48g,2531.0873895941654,62.48860346581642,25.7427575,ab
2458334.6765278,p48g,2979.7516230229708,28.055291358907695,26.05724,ab
2458337.6829398,p48g,2533.362912983775,27.801266225701823,26.0855715,ab
2458347.6988079,p48g,969.8841292387813,49.58166991028517,25.919705,ab
2458363.6560185,p48g,281.2618891815016,30.42502799323045,25.820802,ab
2458303.67375,p48r,70.00683455906938,39.33439371903743,25.963052,ab
2458312.6911343,p48r,457.9776844686725,31.02135673075629,25.933413499999997,ab
2458331.6875463,p48r,2850.501375662612,34.47033304700227,25.944429,ab
2458337.7029514,p48r,2345.914687166188,35.12238258272045,25.9818575,ab
2458344.6796065,p48r,1661.9852894550809,37.14759433571105,25.952087000000002,ab
2458302.6714005,p48i,-54.52203017158128,44.78720873760074,25.36112701,ab
2458320.7106134,p48i,497.6611095816667,48.67623694503943,25.334539499999998,ab
