time,band,flux,flux_err,zp,zpsys
2458292.7259491,p48g,35.45829403645879,44.22166658817362,26.08428601,ab
2458292.841794,p48g,-17.752244772972038,46.254072067227334,25.9933355,ab
2458293.6829051,p48g,15.065558793201232,47.753984411424995,26.07841999,ab
2458293.6953241,p48g,-33.09341859734104,46.890739762198386,26.027876,ab
2458293.7134954,p48g,0.9710632750723445,46.81059989507975,26.028894,ab
2458294.6860648,p48g,-26.602904403257305,52.23590660811307,26.141098,ab
2458294.7031134,p48g,-62.11353400627026,51.24212903631709,26.102414500000002,ab
2458294.7040394,p48g,47.7000707594954,51.165220678126886,26.12616899,ab
2458294.7265972,p48g,67.97897015173527,52.09382081145503,26.1194085,ab
2458295.6857986,p48g,108.06374081985322,54.94209537550055,26.083209999999998,ab
2458295.7016782,p48g,17.590682420031953,54.805955453633196,26.066287,ab
2458295.7241319,p48g,14.204189334854206,55.23359843849391,25.9948935,ab
2458296.6978125,p48g,-15.956376763283899,59.529882938187015,26.08118451,ab
2458298.6840509,p48g,-76.9124057133634,51.13627316250191,26.122304999999997,ab
2458298.7058565,p48g,4.642823891657116,54.53648770048127,26.104875999999997,ab
2458298.7262037,p48g,31.23628893223119,57.50334512784141,26.121806,ab
2458300.6995833,p48g,32.40091351223392,23.115806499082687,26.096058999999997,ab
2458303.7072454,p48g,43.43996667295041,22.90811926524556,26.070764999999998,ab
2458306.7260185,p48g,139.657698591094,21.50407323873708,25.9073615,ab
2458313.8210995,p48g,437.63260888289193,28.010875078762034,25.749778999999997,ab
2458316.6742477,p48g,510.7746628434988,35.66741749122557,25.88784451,ab
2458321.6990741,p48g,533.9299314082059,46.717965175064165,25.792022990000003,ab
2458331.7757292,p48g,336.7340196266083,51.603289758129016,25.7361845,ab
2458337.6753588,p48g,243.948913785959,24.651008724788536,25.998859,ab
99.0,p48g,99.0,99.0,99.0,ab
2458347.7025694,p48g,89.52734293484713,34.12865419053191,25.88176,ab
2458351.7430208,p48g,5.2351360010415,50.969033404843735,25.9531195,ab
2458352.6551505,p48g,119.82751288951506,52.52267135866657,25.9693515,ab
2458352.6751157,p48g,-66.2225736074362,53.123174166538604,25.939826,ab
2458352.6935417,p48g,80.2498204664076,54.68218597189294,25.954390999999998,ab
2458359.6409838,p48g,12.846107003583505,44.593190104808144,25.0693095,ab
2458362.6935301,p48g,75.34728264797596,32.170492675480844,25.79727551,ab
2458366.7063889,p48g,-4.678189686980437,26.41485742788987,25.943586000000003,ab
99.0,p48g,99.0,99.0,99.0,ab
99.0,p48g,99.0,99.0,99.0,ab
99.0,p48g,99.0,99.0,99.0,ab
99.0,p48g,99.0,99.0,99.0,ab
99.0,p48g,99.0,99.0,99.0,ab
99.0,p48g,99.0,99.0,99.0,ab
99.0,p48g,99.0,99.0,99.0,ab
99.0,p48g,99.0,99.0,99.0,ab
99.0,p48g,99.0,99.0,99.0,ab
99.0,p48g,99.0,99.0,99.0,ab
99.0,p48g,99.0,99.0,99.0,ab
99.0,p48g,99.0,99.0,99.0,ab
99.0,p48g,99.0,99.0,99.0,ab
99.0,p48g,99.0,99.0,99.0,ab
99.0,p48g,99.0,99.0,99.0,ab
99.0,p48g,99.0,99.0,99.0,ab
99.0,p48g,99.0,99.0,99.0,ab
99.0,p48g,99.0,99.0,99.0,ab
99.0,p48g,99.0,99.0,99.0,ab
99.0,p48g,99.0,99.0,99.0,ab
99.0,p48g,99.0,99.0,99.0,ab
99.0,p48g,99.0,99.0,99.0,ab
99.0,p48g,99.0,99.0,99.0,ab
99.0,p48g,99.0,99.0,99.0,ab
99.0,p48g,99.0,99.0,99.0,ab
2458344.666412,p48g,64.27251836255567,32.66597078370936,25.954960500000002,ab
99.0,p48g,99.0,99.0,99.0,ab
99.0,p48g,99.0,99.0,99.0,ab
99.0,p48g,99.0,99.0,99.0,ab
99.0,p48g,99.0,99.0,99.0,ab
99.0,p48g,99.0,99.0,99.0,ab
99.0,p48g,99.0,99.0,99.0,ab
99.0,p48g,99.0,99.0,99.0,ab
99.0,p48g,99.0,99.0,99.0,ab
2458291.7607639,p48r,21.534671362727316,40.50600712941074,26.112824,ab
2458291.761713,p48r,70.67340708583582,40.637551972618525,26.120198000000002,ab
2458291.7785301,p48r,26.230078759157646,41.02390160471987,26.1113225,ab
2458292.7446991,p48r,104.58432563571795,41.924823289116134,26.091896000000002,ab
2458292.7571296,p48r,22.152739496346822,42.08861649265698,26.139136999999998,ab
2458292.7841435,p48r,-44.31732655726929,42.61637548919152,26.115712499999997,ab
2458293.7421991,p48r,29.799874106792608,43.4303840736864,26.058609,ab
2458293.767419,p48r,17.06145997201918,44.77460735789339,26.111887000000003,ab
2458293.7904167,p48r,20.414086822946466,45.52302232767731,26.050206000000003,ab
2458294.7408912,p48r,-6.80205179938104,47.604885360083074,26.132397,ab
2458294.7559144,p48r,-55.907602348053025,47.86752940543547,26.124914,ab
2458294.7654051,p48r,45.06534824555282,47.932545195185284,26.1099495,ab
2458294.7781829,p48r,-11.073383552735276,47.826605153291105,26.13047,ab
2458295.7436921,p48r,22.015067339171484,48.8902107534242,26.140446,ab
2458295.7581944,p48r,-51.922515671945945,49.29011347384477,26.142184,ab
2458295.778588,p48r,-45.80570601921896,51.04664038675093,26.130683,ab
2458296.7427546,p48r,19.40716434545029,52.11041846787121,26.154014500000002,ab
2458296.7778935,p48r,37.35841638738778,54.75900004193729,26.1457075,ab
2458297.7621181,p48r,40.305995504920546,61.59447653557232,26.107168,ab
2458297.7630324,p48r,12.531118995368194,61.93219537721707,26.102686000000002,ab
2458297.785787,p48r,-29.511311988395107,62.67984073470253,26.060292009999998,ab
2458297.8,p48r,-61.84902035657169,64.43373753333802,26.055351,ab
2458298.7608565,p48r,26.32751839872745,51.91942536005783,26.109159000000002,ab
2458298.7818519,p48r,-6.7546022445910605,53.55709637981846,26.080678,ab
2458298.8088889,p48r,85.00349833200303,56.4857296002893,25.98190051,ab
2458300.6879051,p48r,40.884871103079945,29.567168991685545,26.098876,ab
2458306.680463,p48r,98.1567224023451,31.314082458132514,25.86433501,ab
2458312.7019097,p48r,180.331776123795,36.12147238326847,24.921689,ab
2458313.7261806,p48r,436.412950823271,31.52996241130413,26.015725999999997,ab
2458316.7370486,p48r,576.0107781008332,33.926734005157826,25.966722500000003,ab
2458316.757419,p48r,195.09637208072462,37.845077285231596,24.58711599,ab
2458319.7240278,p48r,533.347780623991,39.11769365677912,25.94717201,ab
2458319.7249421,p48r,619.2812493016664,39.2742727779368,25.967116,ab
2458319.7325116,p48r,600.5480617672786,39.42152562085566,25.98540901,ab
2458319.7589815,p48r,617.2821208397187,40.949068686004765,26.086926000000002,ab
2458321.7172917,p48r,637.7461348136027,44.54595769033347,26.071212,ab
2458321.7386111,p48r,639.3008263123932,45.407237953797626,26.116992,ab
2458321.7593634,p48r,591.8848131971523,46.82145333888435,26.081487,ab
2458331.6823148,p48r,377.60614635153036,33.139338955742694,26.072433,ab
2458334.6612037,p48r,317.44324455357093,46.378829084553615,26.090368,ab
2458337.6987384,p48r,316.29016329537694,32.57148963992785,26.1102905,ab
99.0,p48r,99.0,99.0,99.0,ab
2458351.6487037,p48r,240.48551838310192,46.85819051993073,26.151605,ab
2458352.7241667,p48r,225.92848676365065,56.06131086643414,26.025331509999997,ab
2458362.6440972,p48r,44.553707720226335,46.116903327786446,25.898211,ab
2458369.6321991,p48r,93.39677843106267,44.265043415793194,26.081717,ab
2458377.6404861,p48r,111.24258543926197,43.78389643265915,26.09884,ab
2458382.6198958,p48r,-26.09749687631888,57.31501255032719,26.121486,ab
99.0,p48r,99.0,99.0,99.0,ab
99.0,p48r,99.0,99.0,99.0,ab
99.0,p48r,99.0,99.0,99.0,ab
99.0,p48r,99.0,99.0,99.0,ab
99.0,p48r,99.0,99.0,99.0,ab
99.0,p48r,99.0,99.0,99.0,ab
99.0,p48r,99.0,99.0,99.0,ab
99.0,p48r,99.0,99.0,99.0,ab
99.0,p48r,99.0,99.0,99.0,ab
99.0,p48r,99.0,99.0,99.0,ab
99.0,p48r,99.0,99.0,99.0,ab
99.0,p48r,99.0,99.0,99.0,ab
99.0,p48r,99.0,99.0,99.0,ab
99.0,p48r,99.0,99.0,99.0,ab
99.0,p48r,99.0,99.0,99.0,ab
99.0,p48r,99.0,99.0,99.0,ab
99.0,p48r,99.0,99.0,99.0,ab
99.0,p48r,99.0,99.0,99.0,ab
99.0,p48r,99.0,99.0,99.0,ab
99.0,p48r,99.0,99.0,99.0,ab
99.0,p48r,99.0,99.0,99.0,ab
99.0,p48r,99.0,99.0,99.0,ab
99.0,p48r,99.0,99.0,99.0,ab
99.0,p48r,99.0,99.0,99.0,ab
99.0,p48r,99.0,99.0,99.0,ab
99.0,p48r,99.0,99.0,99.0,ab
99.0,p48r,99.0,99.0,99.0,ab
99.0,p48r,99.0,99.0,99.0,ab
99.0,p48r,99.0,99.0,99.0,ab
99.0,p48r,99.0,99.0,99.0,ab
99.0,p48r,99.0,99.0,99.0,ab
99.0,p48r,99.0,99.0,99.0,ab
99.0,p48r,99.0,99.0,99.0,ab
99.0,p48r,99.0,99.0,99.0,ab
99.0,p48r,99.0,99.0,99.0,ab
99.0,p48r,99.0,99.0,99.0,ab
99.0,p48r,99.0,99.0,99.0,ab
99.0,p48r,99.0,99.0,99.0,ab
99.0,p48r,99.0,99.0,99.0,ab
2458344.6823495,p48r,287.8995222261992,39.210841616896886,26.117539,ab
99.0,p48r,99.0,99.0,99.0,ab
99.0,p48r,99.0,99.0,99.0,ab
99.0,p48r,99.0,99.0,99.0,ab
99.0,p48r,99.0,99.0,99.0,ab
99.0,p48r,99.0,99.0,99.0,ab
99.0,p48r,99.0,99.0,99.0,ab
