time,band,flux,flux_err,zp,flags,zpsys
2458349.8592824,p48g,2723.4748332315667,21.092226606486243,26.055104,2050.0,ab
2458343.8943287,p48g,4546.4770952666995,23.12018915832037,26.044197999999998,2050.0,ab
2458325.9201505,p48g,6895.040677039688,68.60320438153093,26.03959601,2050.0,ab
2458321.9190046,p48g,4703.569658321506,23.30092061507448,26.163289,2050.0,ab
2458312.9624537,p48g,73.94290383698845,23.305094865808933,26.017841,2050.0,ab
2458334.828669,p48g,7512.583599779362,31.55360905590742,26.0472185,2050.0,ab
2458364.769919,p48g,908.7093689385669,21.87612642533739,26.134541499999997,2050.0,ab
2458337.8949537,p48g,6816.041852198158,22.8573239020545,26.08101901,2050.0,ab
2458352.8811458,p48g,2081.0626895663954,41.31706175183499,26.088614,2050.0,ab
2458340.8391088,p48g,3436.004241222963,21.541862354089698,25.53079499,2050.0,ab
2458370.7323958,p48g,742.1514384964071,22.224255793617807,26.14991501,2050.0,ab
2458367.7722222,p48g,817.7431346891726,22.602362197749134,26.156664499999998,2050.0,ab
2458361.8794213,p48g,1063.5934135699479,44.55721732142321,26.06308199,2050.0,ab
2458361.7750116,p48r,3093.262146732869,39.669106478611404,26.214652,2050.0,ab
2458318.8583102,p48r,2227.751661193084,28.199665431693735,26.152995,2050.0,ab
2458325.9675926,p48r,7027.071990848565,59.58647482537337,26.131235,2050.0,ab
2458321.9623264,p48r,4313.895174139547,27.46487933910354,26.05479099,2050.0,ab
2458367.8173495,p48r,2072.24213133835,26.331763316462368,26.14677,2050.0,ab
2458358.7540856,p48r,3559.2027700320823,61.879871777155984,26.156640009999997,2050.0,ab
2458303.8803009,p48i,31.393896473975467,38.93885119162235,25.604959,2.0,ab
2458312.8857176,p48i,18.955444198140697,28.870235694066167,25.4679955,2050.0,ab
2458316.9846528,p48i,145.5326278654618,32.959613253618,24.558832,2050.0,ab
2458320.7311343,p48i,1732.3397752229976,43.89440682968351,25.5214455,2050.0,ab
2458325.8790046,p48i,3145.3333808362863,51.77401428805316,25.561442,2050.0,ab
2458329.8793171,p48i,3253.4625881901047,64.46008280083944,25.591314,2050.0,ab
2458333.8610069,p48i,2653.979460261871,33.93196696908282,25.603088500000002,2050.0,ab
2458337.9662731,p48i,2292.5459538571695,27.160970517965,25.624064,2050.0,ab
2458342.8595023,p48i,1383.5773674550173,32.412863117672764,25.550822,2050.0,ab
2458347.8770718,p48i,1301.2789544629377,27.900311647132263,25.536353,2050.0,ab
2458351.8178935,p48i,1542.2012218824834,32.729278349916626,25.6113255,2050.0,ab
2458362.8114352,p48i,1659.7528009713335,29.75428919831619,25.635790999999998,2050.0,ab
2458366.8071296,p48i,1340.4351337587937,32.6363035386992,25.629209,2050.0,ab
2458366.8117593,p48i,1243.2795916773675,31.937985985994327,25.633257,2050.0,ab
2458371.7762731,p48i,1041.147961610091,29.260620206562955,25.671742499999997,2050.0,ab
2458375.8191319,p48i,799.1480653614525,32.81086235544808,25.635351500000002,2050.0,ab
2458375.8250579,p48i,822.5541883785343,32.54106798424346,25.635268,2050.0,ab
2458379.6285069,p48i,749.3843865548708,34.53238204493247,25.632904,2050.0,ab
2458387.7967477,p48i,542.0361114473084,48.89542433093011,25.628178010000003,2050.0,ab
2458397.8052894,p48i,361.2106590813052,34.40739921174802,25.5818105,2050.0,ab
