time,band,flux,flux_err,zp,flags,zpsys
2458321.6718866,p48g,-68.66545501635136,63.243175084415334,25.76950901,0.0,ab
2458324.753669,p48g,-9.795637370877614,72.47197267787496,25.89019501,0.0,ab
2458327.6700347,p48g,263.7697268341029,69.24604137684922,25.993685000000003,2050.0,ab
2458330.704537,p48g,921.8377943431894,32.13740946290431,25.917894,2050.0,ab
2458336.6875579,p48g,3946.041418631032,24.945420545263197,25.95767899,2050.0,ab
2458343.6726852,p48g,6249.328513982915,25.35103747414252,25.938895,2050.0,ab
2458346.6500694,p48g,6521.566742414254,48.96025002512663,25.999218990000003,2050.0,ab
2458350.7369097,p48g,5550.426335701912,52.655229813212934,25.983882,2050.0,ab
2458362.6920833,p48g,2412.7537040977586,28.6329779937887,26.026075000000002,2050.0,ab
2458365.7170023,p48g,1531.1141171393294,27.775520822580376,25.887202990000002,2050.0,ab
2458314.8180324,p48g,-9.858470680755913,26.63648436345103,25.883581,2.0,ab
2458314.8388542,p48g,36.58478418590885,27.7442102268477,25.79680599,2.0,ab
2458320.6676157,p48g,61.653608665124025,58.99064094254889,26.162346,2.0,ab
2458320.668912,p48g,21.329103279320215,56.17578217516878,26.099926,2.0,ab
2458320.6922569,p48g,-45.6596732818865,46.73716970124918,26.161949500000002,2.0,ab
2458321.6728472,p48g,121.70084548843361,63.37017306750631,25.859892,2.0,ab
2458321.7049421,p48g,45.9836290546701,51.13654745871615,26.121510999999998,2.0,ab
2458324.7541204,p48g,-147.71202608289104,74.46466897907175,26.03656751,0.0,ab
2458324.7746875,p48g,-9.343150012593284,69.86278506711379,26.0678205,0.0,ab
2458324.8081366,p48g,36.448789484711796,75.76913433943693,25.906178,0.0,ab
2458326.6706829,p48g,21.151917279313494,69.54616604711339,26.06816,0.0,ab
2458326.6915856,p48g,85.12989971249769,69.606223497337,26.04457549,2.0,ab
2458327.6639931,p48g,235.05039531079524,72.65518251890146,26.108077,2050.0,ab
2458327.6709838,p48g,321.3218052658525,67.59670022144877,26.065948000000002,2050.0,ab
2458327.6719213,p48g,242.0636891186586,67.86918093763718,26.0416825,2.0,ab
2458327.6916782,p48g,354.17685499063117,72.74358639108813,26.0561675,2050.0,ab
2458329.6776389,p48g,159.0719736384736,30.219411136268242,24.454711,2050.0,ab
2458330.6702083,p48g,989.3374451155274,27.923961796251834,25.999864000000002,2050.0,ab
2458330.6716435,p48g,980.2819741648029,27.089579743956467,26.039825009999998,2050.0,ab
2458330.7040856,p48g,965.1874887442261,31.54401328501906,26.0220785,2050.0,ab
2458331.7353472,p48g,1485.1413548880912,36.97697710125046,26.04558,2050.0,ab
2458331.7648843,p48g,1312.9839601996098,48.23316138679267,26.0061905,2050.0,ab
2458331.7844213,p48g,1358.6085361659239,53.10045094822342,25.9565935,2050.0,ab
2458332.6813194,p48g,2037.5547467257081,24.830153567330676,26.0990185,2050.0,ab
2458332.6928356,p48g,2005.5994578619116,24.469446622535447,26.101686,2050.0,ab
2458332.713287,p48g,1952.5184559156,24.809758811406645,26.063295,2050.0,ab
2458333.6861574,p48g,2576.0960092018568,23.96165987497016,26.0538535,2050.0,ab
2458336.6866088,p48g,5033.0177736880905,25.46460962668675,26.187934,2050.0,ab
2458344.6629861,p48g,7112.452126148084,27.966708653459385,26.068724000000003,2050.0,ab
2458347.6997569,p48g,6603.636458272532,37.51799168830574,26.033762,2050.0,ab
2458350.7364583,p48g,5899.44860088442,51.69659275158201,26.063981000000002,2050.0,ab
2458350.7373727,p48g,5904.180974427689,51.873413185547165,26.054669999999998,2050.0,ab
2458350.7560069,p48g,5653.453644238613,53.577884313344015,26.001603,2050.0,ab
2458350.7771991,p48g,5033.876664922263,56.715683512458526,25.909398,2050.0,ab
2458351.7453588,p48g,5319.455088269601,55.671210088519814,26.023229,2050.0,ab
2458351.7559028,p48g,5340.8350812177905,57.818845161686696,26.0113595,2050.0,ab
2458351.7833102,p48g,4573.550735263871,62.94057459821456,25.871457,2050.0,ab
2458359.6362153,p48g,2892.105281190899,52.272005045230706,25.989871,2050.0,ab
2458360.66125,p48g,3206.3629990627087,28.36953148547232,26.196269,2050.0,ab
2458362.6925347,p48g,2521.0420280956396,28.512362049394994,26.094516,2050.0,ab
2458365.7353241,p48g,1629.0787814516898,30.2162429704027,25.930699,2050.0,ab
2458370.67375,p48g,1286.4808470839039,28.826771520819438,26.081440509999997,2050.0,ab
2458370.6951736,p48g,1193.0760630276627,31.290850563158315,26.0679205,2050.0,ab
2458370.7158333,p48g,1135.8556368528389,33.144400768365784,25.963646,2050.0,ab
2458371.7017593,p48g,1051.1706452087262,30.595458814947374,26.042503500000002,2050.0,ab
