time,band,flux,flux_err,zp,zpsys
2458324.7798032,p48g,12.054753710155428,66.32978869197483,25.9218625,ab
2458325.6858912,p48g,44.265082289175126,65.46573396632112,25.989325,ab
2458325.706331,p48g,59.984238800740556,66.98880970965855,25.972239000000002,ab
2458331.7534606,p48g,167.7845985176596,45.91265212005937,25.917347,ab
2458334.6821065,p48g,533.3116199358526,25.80111483944932,25.993123999999998,ab
2458337.6767361,p48g,964.1191038106267,25.251457837445194,26.0941835,ab
2458345.6814931,p48g,1422.654878184894,28.731268107354495,25.975145,ab
2458348.6605903,p48g,1339.308923199936,38.18660450784721,25.959367,ab
2458349.6510995,p48g,1409.3900905816538,47.90519456729127,26.046315999999997,ab
2458349.6753819,p48g,1342.6746174257946,40.91566998648617,25.968644500000003,ab
2458349.6976505,p48g,1299.320862841837,42.13731870265774,25.939731010000003,ab
2458352.6556134,p48g,1156.5261301783303,54.29531132665532,25.967154,ab
99.0,p48g,99.0,99.0,99.0,ab
99.0,p48g,99.0,99.0,99.0,ab
2458361.656794,p48g,547.5848999437978,29.039464045149096,26.0409015,ab
2458319.71625,p48r,13.089688863311318,38.438933684460004,25.87225599,ab
2458319.7340162,p48r,10.321396916752956,38.96065296600638,25.901026,ab
2458319.7604977,p48r,7.6603111121804,40.44209696704575,26.00951,ab
2458321.7177431,p48r,-25.33434434839955,44.43330819538052,26.0041175,ab
2458324.6804745,p48r,26.595959045946266,66.28759320783,25.816344,ab
2458325.7135764,p48r,-41.83721635473522,60.15353743844233,25.992746,ab
2458325.7353588,p48r,-14.302644599912199,62.78632331848451,25.945525,ab
2458325.7666551,p48r,-84.14472916682047,67.53970780106721,25.92181549,ab
2458334.6607407,p48r,664.7862195385935,49.38543825681927,26.034646,ab
2458337.6973611,p48r,1159.259865597473,32.90710808319656,26.0495015,ab
2458348.6946991,p48r,1656.605790908331,42.29470115001864,25.943457499999997,ab
2458351.6424884,p48r,1738.274679778025,62.54557505079971,26.073401,ab
2458351.6491667,p48r,1724.1151922921063,47.66159153398603,26.076166,ab
2458351.6510648,p48r,1729.276542490171,46.237722262382384,26.063274999999997,ab
2458351.6803009,p48r,1591.6096476510315,45.01766820884047,26.041888999999998,ab
2458353.6443634,p48r,1518.8375887093794,60.56072203231789,26.035715,ab
2458353.6517477,p48r,1505.2963284062675,51.68694188277231,26.046498,ab
2458353.6745139,p48r,1423.0844197720949,51.22793639145075,26.049957,ab
2458354.7031597,p48r,1305.82829799815,62.100384799907104,25.965754999999998,ab
2458361.6442477,p48r,1048.69954757606,38.268691823168645,26.065806000000002,ab
2458362.6445486,p48r,829.9061099106481,47.238650745273716,25.753133000000002,ab
2458365.640706,p48r,836.5424567659516,34.4150438466073,25.984194,ab
2458368.6409028,p48r,991.4357080600463,36.4236334746829,26.026733,ab
2458369.6244792,p48r,894.0620060543545,83.68357089366577,26.017874,ab
2458369.632662,p48r,952.6535127045858,43.95440810650685,26.020868999999998,ab
2458369.66,p48r,900.6652024973341,38.09029162604521,26.0007,ab
2458375.6191204,p48r,903.5797630978677,80.40243425586685,26.06734251,ab
99.0,p48r,99.0,99.0,99.0,ab
2458332.6644097,p48i,73.76265603329682,41.120393337591494,25.296421,ab
2458363.6387616,p48i,209.65744362829912,36.766904123483755,25.244808,ab
2458367.6327083,p48i,289.40400755191513,43.401505167385075,25.322560499999998,ab
