time,band,flux,flux_err,zp,zpsys
2458321.6756597,p48g,71.73191247735531,60.97675915765765,25.759743,ab
2458324.7565625,p48g,-29.44823632604441,72.69125885163643,25.994179499999998,ab
2458324.7684259,p48g,-7.465435218879833,69.6279703070903,26.05062251,ab
2458324.776088,p48g,-27.231066974581537,69.77548375507729,25.991149,ab
2458325.6848843,p48g,25.197790117178673,68.90165482685725,26.056641,ab
2458325.7053241,p48g,11.046756612634104,69.61922985459887,26.076031,ab
2458326.673669,p48g,7.819802193578624,72.1012718890332,26.09487999,ab
2458326.6925347,p48g,-71.12494392497292,73.8565269424163,26.096772,ab
2458327.6741551,p48g,-32.474799370587476,72.08280630610749,26.039731,ab
2458327.6751273,p48g,17.507175518477027,72.5309176515185,26.0421045,ab
2458327.6930787,p48g,-8.943872343901276,77.6584879935834,26.081168,ab
2458328.6764931,p48g,13.968959006755883,52.633081096015545,26.008893,ab
2458329.678125,p48g,40.38571399735079,31.739177299310295,24.827803489999997,ab
2458330.6732407,p48g,-43.280955737639395,28.129430997660503,25.957364000000002,ab
2458330.6741782,p48g,-17.040067018288248,27.76625456207908,25.950668,ab
2458330.7011343,p48g,100.15917291052742,31.22743776233844,26.0580435,ab
2458331.7401157,p48g,-20.852333326487397,40.848126124488246,26.00245449,ab
2458331.7644213,p48g,-19.89565575045818,52.74600841756152,25.68678399,ab
2458331.7839583,p48g,-20.69282697081573,55.081863029428746,26.00556,ab
2458332.6832639,p48g,65.91130045477618,25.69845570509622,25.9990635,ab
2458332.6942245,p48g,83.14026152415254,25.773188913922834,26.06189099,ab
2458332.7142245,p48g,27.203723216854033,26.154154751401464,26.06251701,ab
2458333.6785185,p48g,27.93096871185753,25.5596989034478,26.049692999999998,ab
2458336.6861574,p48g,485.73376754516494,25.950796048968297,26.057101000000003,ab
2458343.6807755,p48g,2170.041581913458,26.28519577593135,26.032912,ab
2458346.6573958,p48g,2678.8708877959725,36.704312557755934,26.07910901,ab
2458350.7378241,p48g,2669.6641850576007,50.82612564578287,26.0326895,ab
2458350.7387616,p48g,2568.6112196652643,50.8427508830408,26.0074005,ab
2458350.7564699,p48g,2536.271040028799,53.73852775552299,25.980311500000003,ab
2458350.7767361,p48g,2384.5452323478057,54.72169619301647,25.9379695,ab
2458351.7458218,p48g,2775.392468653181,55.92395012829807,26.04493901,ab
2458351.7563542,p48g,2598.3677713343527,57.73008147323347,26.029722,ab
2458351.7828588,p48g,2318.0909107675184,60.7042527376441,25.941734,ab
2458352.6532639,p48g,2458.59860344336,57.502740125307724,26.026053989999998,ab
2458352.6737037,p48g,2598.862039100718,57.24113157081648,26.015508009999998,ab
2458352.6925694,p48g,2548.9268180823933,59.12464823612447,26.033679489999997,ab
2458359.6366667,p48g,1772.365919518335,54.396867129656854,25.977118500000003,ab
2458360.6413773,p48g,2048.6985236007013,37.675809062926675,26.220115,ab
2458362.6940741,p48g,1553.7862537630726,30.24792895434951,26.078824009999998,ab
2458365.7179282,p48g,1034.1146532830023,29.329222101591256,25.972297010000002,ab
2458369.7425116,p48g,733.5001743063857,38.697778823809394,25.917877,ab
99.0,p48g,99.0,99.0,99.0,ab
99.0,p48g,99.0,99.0,99.0,ab
99.0,p48g,99.0,99.0,99.0,ab
99.0,p48g,99.0,99.0,99.0,ab
99.0,p48g,99.0,99.0,99.0,ab
99.0,p48g,99.0,99.0,99.0,ab
99.0,p48g,99.0,99.0,99.0,ab
99.0,p48g,99.0,99.0,99.0,ab
99.0,p48g,99.0,99.0,99.0,ab
99.0,p48g,99.0,99.0,99.0,ab
99.0,p48g,99.0,99.0,99.0,ab
99.0,p48g,99.0,99.0,99.0,ab
99.0,p48g,99.0,99.0,99.0,ab
99.0,p48g,99.0,99.0,99.0,ab
99.0,p48g,99.0,99.0,99.0,ab
99.0,p48g,99.0,99.0,99.0,ab
99.0,p48g,99.0,99.0,99.0,ab
99.0,p48g,99.0,99.0,99.0,ab
99.0,p48g,99.0,99.0,99.0,ab
99.0,p48g,99.0,99.0,99.0,ab
99.0,p48g,99.0,99.0,99.0,ab
99.0,p48g,99.0,99.0,99.0,ab
99.0,p48g,99.0,99.0,99.0,ab
99.0,p48g,99.0,99.0,99.0,ab
99.0,p48g,99.0,99.0,99.0,ab
99.0,p48g,99.0,99.0,99.0,ab
99.0,p48g,99.0,99.0,99.0,ab
99.0,p48g,99.0,99.0,99.0,ab
99.0,p48g,99.0,99.0,99.0,ab
99.0,p48g,99.0,99.0,99.0,ab
99.0,p48g,99.0,99.0,99.0,ab
99.0,p48g,99.0,99.0,99.0,ab
99.0,p48g,99.0,99.0,99.0,ab
99.0,p48g,99.0,99.0,99.0,ab
99.0,p48g,99.0,99.0,99.0,ab
99.0,p48g,99.0,99.0,99.0,ab
99.0,p48g,99.0,99.0,99.0,ab
99.0,p48g,99.0,99.0,99.0,ab
99.0,p48g,99.0,99.0,99.0,ab
99.0,p48g,99.0,99.0,99.0,ab
99.0,p48g,99.0,99.0,99.0,ab
99.0,p48g,99.0,99.0,99.0,ab
99.0,p48g,99.0,99.0,99.0,ab
99.0,p48g,99.0,99.0,99.0,ab
99.0,p48g,99.0,99.0,99.0,ab
2458320.8534259,p48r,-30.595278467470933,43.682893273030025,26.155005,ab
2458321.7231134,p48r,-122.82887712410349,51.78097277333013,26.212728000000002,ab
2458321.7353588,p48r,-165.46458899714602,51.43073473722458,26.233437000000002,ab
2458321.7631713,p48r,178.32716922687226,71.10413344173526,25.878397000000003,ab
2458324.6765856,p48r,-193.144067428599,70.45408991124276,26.094795,ab
2458324.6775579,p48r,-36.394339211193326,91.36154671193441,25.803513,ab
2458324.7045255,p48r,9.112170462785919,107.68199526217406,25.472101000000002,ab
2458324.7138889,p48r,-114.78758067923663,109.69756883696991,25.417528,ab
2458325.7183796,p48r,27.116724140494078,66.28114444079938,26.185482999999998,ab
2458325.7324306,p48r,-238.36457455468258,67.19257894083958,26.217975,ab
2458325.7651968,p48r,121.50538244200443,72.2075631359423,26.179039,ab
2458327.7768171,p48r,27.386263561950834,82.33523166782525,26.138825,ab
2458327.8009028,p48r,-34.02472950158721,84.4938626613885,25.996515,ab
2458327.8201736,p48r,68.13906046673767,86.93687926216111,25.858467,ab
2458328.7819792,p48r,23.24158631028341,73.3162366245597,26.0110065,ab
2458328.8309838,p48r,555.6826808280985,328.7135838874028,25.578425499999998,ab
2458329.8016898,p48r,-144.92737312128656,67.2694887225047,26.12531351,ab
2458329.8203819,p48r,44.598981368765706,72.21392068286613,26.054579,ab
2458330.8003472,p48r,-82.54221349470913,65.40195026668214,26.110444,ab
2458330.8012616,p48r,156.17340840758493,64.83985965589262,26.104054,ab
2458330.8191204,p48r,187.18699637431968,69.48405472983,26.082908,ab
2458330.8419329,p48r,2.881331556702662,75.323818592671,26.040122,ab
2458331.6933912,p48r,138.46570805035483,34.676013012841686,26.187244500000002,ab
2458331.7134722,p48r,30.55899533388419,35.29399091336499,26.183243,ab
2458332.7559954,p48r,-5.440856295855422,42.86554056304258,26.1598895,ab
2458332.8039699,p48r,17.00211985090981,55.8320974841715,26.118855000000003,ab
2458336.7141898,p48r,646.4487764065824,33.827383784248454,26.230225,ab
2458343.6609722,p48r,2514.0037816584895,35.700993900847514,26.198193,ab
2458346.6759606,p48r,2880.7719213879886,38.69543967873175,26.1628045,ab
2458350.6536111,p48r,3249.255156020502,49.61951460876688,26.218005,ab
2458350.6554977,p48r,3286.160919515166,48.21532915895767,26.21835751,ab
2458350.6747222,p48r,3170.258119010631,48.05933943423911,26.228719,ab
2458350.6946065,p48r,3231.627079780228,48.82984489542687,26.208426,ab
2458351.6449537,p48r,3358.0294539303836,56.147160908869296,26.230185000000002,ab
2458351.662963,p48r,3531.843589740898,47.54423027865473,26.254093,ab
2458351.6822106,p48r,3220.7352763498943,48.441462573983486,26.224502,ab
2458352.7260532,p48r,2886.148056237019,60.88896640321494,26.140865,ab
2458352.7321991,p48r,3101.867223271045,60.623715739698696,26.1641935,ab
2458352.7598727,p48r,2992.947119502748,63.49918144670845,26.15576851,ab
2458353.6414352,p48r,3246.5141417456343,70.71082112962957,26.225302,ab
2458353.6493634,p48r,3058.2466038255216,55.44434813857551,26.217386,ab
2458353.6621528,p48r,3269.344328214978,54.00016759516386,26.24393199,ab
2458353.7785069,p48r,2998.758908504644,69.79303978895369,26.1704225,ab
2458354.7059954,p48r,2599.95464935786,85.5456774946552,26.0667455,ab
2458354.7130903,p48r,2749.942322281785,68.61619781281402,26.148381999999998,ab
2458354.7454282,p48r,3040.1761004802884,69.01855814162609,26.195420000000002,ab
2458356.6873611,p48r,2846.672641156758,70.39724417410542,26.217889999999997,ab
2458356.7162731,p48r,2676.9435667960133,76.23430939951352,26.2022465,ab
2458356.7171875,p48r,2890.716289062387,76.88391684588595,26.205054,ab
2458356.7415162,p48r,2852.4729474210408,82.61648372308322,26.204054,ab
2458356.7577662,p48r,2703.3478815812723,87.68911440497293,26.194208,ab
2458357.6787847,p48r,2597.697735811196,62.442467658052415,26.1727555,ab
2458357.7341088,p48r,2539.7357913072583,74.09476794409623,26.15539801,ab
2458357.7626042,p48r,2364.204867681919,82.01633039608332,26.09799799,ab
2458357.7827431,p48r,2348.9599845183784,89.95800361250154,26.059238999999998,ab
2458358.7025926,p48r,2515.315915317509,62.125487981600635,26.177044509999998,ab
2458358.7235764,p48r,2325.124647091935,66.04455254390629,26.150674990000002,ab
2458358.7448843,p48r,2392.411822031757,72.33735457296707,26.126765,ab
2458359.7061343,p48r,2457.941933982339,60.46928368837594,26.251066,ab
2458359.7231597,p48r,2179.315118746056,72.96073232907642,26.129889000000002,ab
2458359.7400579,p48r,2287.4172568178838,74.1963455675106,26.11571501,ab
2458359.7409722,p48r,1905.8603546952243,78.94738341490502,26.082069,ab
2458359.7651505,p48r,2009.8976514156616,87.93873179092827,26.02416449,ab
2458360.7219213,p48r,2204.8953028713895,57.77203619091158,26.157696010000002,ab
2458360.7436111,p48r,2057.244696507771,63.925055673359125,26.192531,ab
2458360.7624769,p48r,1965.6414378932766,69.1181271441247,26.119029010000002,ab
2458362.6591551,p48r,2024.5630396420484,36.79472085715639,26.25026,ab
2458365.655081,p48r,1593.1696163327206,33.65696547614636,26.1453135,ab
2458369.6303472,p48r,1845.0747670604799,49.50034436521214,26.22927949,ab
99.0,p48r,99.0,99.0,99.0,ab
99.0,p48r,99.0,99.0,99.0,ab
99.0,p48r,99.0,99.0,99.0,ab
99.0,p48r,99.0,99.0,99.0,ab
99.0,p48r,99.0,99.0,99.0,ab
99.0,p48r,99.0,99.0,99.0,ab
99.0,p48r,99.0,99.0,99.0,ab
99.0,p48r,99.0,99.0,99.0,ab
99.0,p48r,99.0,99.0,99.0,ab
99.0,p48r,99.0,99.0,99.0,ab
99.0,p48r,99.0,99.0,99.0,ab
99.0,p48r,99.0,99.0,99.0,ab
99.0,p48r,99.0,99.0,99.0,ab
99.0,p48r,99.0,99.0,99.0,ab
99.0,p48r,99.0,99.0,99.0,ab
99.0,p48r,99.0,99.0,99.0,ab
99.0,p48r,99.0,99.0,99.0,ab
99.0,p48r,99.0,99.0,99.0,ab
99.0,p48r,99.0,99.0,99.0,ab
99.0,p48r,99.0,99.0,99.0,ab
99.0,p48r,99.0,99.0,99.0,ab
99.0,p48r,99.0,99.0,99.0,ab
99.0,p48r,99.0,99.0,99.0,ab
99.0,p48r,99.0,99.0,99.0,ab
99.0,p48r,99.0,99.0,99.0,ab
99.0,p48r,99.0,99.0,99.0,ab
99.0,p48r,99.0,99.0,99.0,ab
99.0,p48r,99.0,99.0,99.0,ab
99.0,p48r,99.0,99.0,99.0,ab
99.0,p48r,99.0,99.0,99.0,ab
99.0,p48r,99.0,99.0,99.0,ab
99.0,p48r,99.0,99.0,99.0,ab
99.0,p48r,99.0,99.0,99.0,ab
99.0,p48r,99.0,99.0,99.0,ab
99.0,p48r,99.0,99.0,99.0,ab
99.0,p48r,99.0,99.0,99.0,ab
99.0,p48r,99.0,99.0,99.0,ab
99.0,p48r,99.0,99.0,99.0,ab
99.0,p48r,99.0,99.0,99.0,ab
99.0,p48r,99.0,99.0,99.0,ab
99.0,p48r,99.0,99.0,99.0,ab
99.0,p48r,99.0,99.0,99.0,ab
99.0,p48r,99.0,99.0,99.0,ab
99.0,p48r,99.0,99.0,99.0,ab
99.0,p48r,99.0,99.0,99.0,ab
99.0,p48r,99.0,99.0,99.0,ab
99.0,p48r,99.0,99.0,99.0,ab
99.0,p48r,99.0,99.0,99.0,ab
99.0,p48r,99.0,99.0,99.0,ab
99.0,p48r,99.0,99.0,99.0,ab
99.0,p48r,99.0,99.0,99.0,ab
99.0,p48r,99.0,99.0,99.0,ab
99.0,p48r,99.0,99.0,99.0,ab
99.0,p48r,99.0,99.0,99.0,ab
99.0,p48r,99.0,99.0,99.0,ab
99.0,p48r,99.0,99.0,99.0,ab
99.0,p48r,99.0,99.0,99.0,ab
99.0,p48r,99.0,99.0,99.0,ab
99.0,p48r,99.0,99.0,99.0,ab
99.0,p48r,99.0,99.0,99.0,ab
99.0,p48r,99.0,99.0,99.0,ab
99.0,p48r,99.0,99.0,99.0,ab
99.0,p48r,99.0,99.0,99.0,ab
99.0,p48r,99.0,99.0,99.0,ab
99.0,p48r,99.0,99.0,99.0,ab
99.0,p48r,99.0,99.0,99.0,ab
99.0,p48r,99.0,99.0,99.0,ab
99.0,p48r,99.0,99.0,99.0,ab
99.0,p48r,99.0,99.0,99.0,ab
99.0,p48r,99.0,99.0,99.0,ab
99.0,p48r,99.0,99.0,99.0,ab
