time,band,flux,flux_err,zp,zpsys
2458369.0074653,p48g,3457.68370073044,32.36753675962789,26.043995,ab
2458372.0152315,p48g,4316.310573450057,38.947188752944776,26.13201299,ab
2458374.9661343,p48g,3867.245951255284,29.72011082002797,26.023589989999998,ab
2458378.0147106,p48g,3822.839468588011,34.08055133760499,26.135161,ab
2458383.9958102,p48g,2745.894823476498,28.125598342712408,26.099316990000002,ab
2458384.9269907,p48g,2153.6985125909423,79.44338719911482,25.9862025,ab
2458387.030463,p48g,2166.9998509938805,94.17164919834038,26.18501899,ab
2458389.9634722,p48g,1648.0094719443532,63.434421626936384,26.113218,ab
2458397.9772106,p48g,804.1238379448158,29.124801114617718,26.183154000000002,ab
2458429.0235764,p48g,203.3567354066472,24.24044108717605,26.163476000000003,ab
2458430.8527778,p48g,82.67283597376512,25.90042531453435,26.15043,ab
2458437.9710532,p48g,124.98148376916716,27.439012997681377,26.110416,ab
2458437.9758102,p48g,129.5662933417094,27.46297051426241,26.162261,ab
2458438.9161111,p48g,107.67992154499493,29.279670172625817,25.993394000000002,ab
2458439.9251042,p48g,100.93709678995204,30.014613686971526,26.1181285,ab
2458440.9200347,p48g,25.15859530502407,27.85216537109327,25.080129000000003,ab
2458443.7809259,p48g,144.52027714620522,79.87385645036284,26.122533,ab
2458444.0258333,p48g,33.02402448230974,34.16510127297259,26.191976,ab
2458450.9598264,p48g,161.02415178992123,51.94375090787628,26.19780351,ab
99.0,p48g,99.0,99.0,99.0,ab
99.0,p48g,99.0,99.0,99.0,ab
99.0,p48g,99.0,99.0,99.0,ab
99.0,p48g,99.0,99.0,99.0,ab
99.0,p48g,99.0,99.0,99.0,ab
99.0,p48g,99.0,99.0,99.0,ab
99.0,p48g,99.0,99.0,99.0,ab
99.0,p48g,99.0,99.0,99.0,ab
99.0,p48g,99.0,99.0,99.0,ab
99.0,p48g,99.0,99.0,99.0,ab
99.0,p48g,99.0,99.0,99.0,ab
99.0,p48g,99.0,99.0,99.0,ab
99.0,p48g,99.0,99.0,99.0,ab
99.0,p48g,99.0,99.0,99.0,ab
99.0,p48g,99.0,99.0,99.0,ab
99.0,p48g,99.0,99.0,99.0,ab
99.0,p48g,99.0,99.0,99.0,ab
99.0,p48g,99.0,99.0,99.0,ab
99.0,p48g,99.0,99.0,99.0,ab
99.0,p48g,99.0,99.0,99.0,ab
2458398.0166782,p48r,1633.9428091158104,40.66153470269357,26.052739,ab
2458439.8299653,p48r,433.94293380906026,50.35854798700882,26.130026,ab
2458371.9725926,p48r,3782.5525745206605,35.777498337203,26.105221009999998,ab
2458375.0158912,p48r,4178.531416748841,44.14390516117413,26.169643,ab
2458428.9628935,p48r,5021.695603013819,115.39367623669091,28.61185601,ab
2458450.8922569,p48r,256.3265632492366,57.79742459778023,26.228358999999998,ab
2458443.865463,p48r,268.72808901269616,62.02491930401263,26.246412,ab
2458386.9313773,p48r,2237.3892739050007,79.13720473722742,26.136625000000002,ab
2458359.9672222,p48r,696.7987988599609,70.05435307833557,26.1195275,ab
2458377.9741782,p48r,3975.382407715462,40.79962960900173,26.159678489999997,ab
2458425.9480556,p48r,605.497231623081,39.022758407360215,26.243676,ab
2458432.8452431,p48r,339.38926438222563,42.92280349515372,26.0885685,ab
2458429.8721991,p48r,610.1889093860224,35.46504432387806,26.22183,ab
2458368.9705324,p48r,3362.064826250835,39.51817964486266,26.132068999999998,ab
2458437.8803819,p48r,313.69150566233947,38.76767179376562,26.1726415,ab
99.0,p48r,99.0,99.0,99.0,ab
99.0,p48r,99.0,99.0,99.0,ab
99.0,p48r,99.0,99.0,99.0,ab
99.0,p48r,99.0,99.0,99.0,ab
99.0,p48r,99.0,99.0,99.0,ab
99.0,p48r,99.0,99.0,99.0,ab
99.0,p48r,99.0,99.0,99.0,ab
99.0,p48r,99.0,99.0,99.0,ab
99.0,p48r,99.0,99.0,99.0,ab
99.0,p48r,99.0,99.0,99.0,ab
99.0,p48r,99.0,99.0,99.0,ab
99.0,p48r,99.0,99.0,99.0,ab
99.0,p48r,99.0,99.0,99.0,ab
99.0,p48r,99.0,99.0,99.0,ab
99.0,p48r,99.0,99.0,99.0,ab
99.0,p48r,99.0,99.0,99.0,ab
