time,band,flux,flux_err,zp,flags,zpsys
2458388.9754167,p48g,262.94569323040906,64.4824765295371,26.091928,2050.0,ab
2458397.9824421,p48g,233.6620643113735,24.054663921093777,26.163748000000002,2050.0,ab
2458438.9441319,p48g,10.772158383979754,26.146006092851152,26.169800000000002,2050.0,ab
2458429.0240509,p48g,48.389623138326925,21.260519628215054,26.119115490000002,2050.0,ab
2458426.9560417,p48g,75.17702426230636,24.438251770007803,26.180934,2050.0,ab
2458429.9425579,p48g,56.040445276791345,23.520878348315065,26.141730000000003,2050.0,ab
2458429.9530093,p48g,23.141778563038763,22.157000120963342,26.16485,2050.0,ab
2458389.9719329,p48g,157.60588679424512,59.596024615848656,26.098295999999998,2050.0,ab
2458606.6658102,p48g,-145.29957576679226,31.37037990926857,26.024575,0.0,ab
2458424.9987616,p48g,94.29409886945199,31.1363784515254,26.195096500000002,2050.0,ab
2458372.0124884,p48g,255.13893307658628,34.099513505383555,25.989620000000002,2050.0,ab
2458397.9815162,p48g,205.94411262966673,24.885662846496025,26.152732,2050.0,ab
2458381.0081713,p48g,315.88080523727785,26.762384233771602,26.1845065,2050.0,ab
2458369.0097801,p48g,346.5175013499113,33.99229795927934,26.0773875,2050.0,ab
2458602.6841667,p48g,-175.1386921990288,24.214940392455837,26.022851499999998,2.0,ab
2458587.6731019,p48g,-87.7510661928859,71.08597464298543,26.087434000000002,0.0,ab
2458423.9447454,p48g,46.10661458557895,36.98408636533465,26.04798449,2050.0,ab
2458388.0164583,p48g,157.5325904500394,64.81429669156068,26.132711,2050.0,ab
2458432.9474306,p48g,83.37414707193518,26.24503633566782,26.160238500000002,2050.0,ab
2458378.0137963,p48g,277.58447842842656,31.227893829330764,26.107817999999998,2050.0,ab
2458594.6943634,p48g,-226.2893127564945,54.69013846379347,26.069429500000002,0.0,ab
2458430.932338,p48g,39.16157464509527,22.077897798119697,26.19381,2050.0,ab
2458584.7122454,p48g,-144.82290446845283,40.61911031057192,26.02267399,0.0,ab
2458383.9679745,p48g,321.70401223136446,33.35852311687508,26.043203000000002,2050.0,ab
2458364.0045949,p48g,291.6519053934413,52.37839136333782,25.90386,2050.0,ab
2458426.9464699,p48g,105.57070224288674,25.416644821951373,26.1784305,2050.0,ab
2458425.9001389,p48g,81.97339674046354,25.933425715163704,26.15698151,2050.0,ab
2458581.6909954,p48g,-135.27751123457128,30.279725595871028,26.009812999999998,0.0,ab
2458432.9465162,p48g,52.38439704813899,25.373352255653337,26.17136601,2050.0,ab
2458431.9740856,p48g,33.976181674364696,24.332644058855855,26.021040000000003,2050.0,ab
2458427.9279398,p48g,49.590661823353116,25.110242340376466,25.82144,2050.0,ab
2458389.9728472,p48g,250.05311749171298,59.20068089417674,26.091796000000002,2050.0,ab
2458423.9403009,p48g,39.939821348504516,37.35815137651016,26.04235801,2.0,ab
2458598.7068519,p48g,-165.28765674808264,31.44356494230515,26.015777,2.0,ab
2458390.9848727,p48g,184.78493805689502,54.366321409661055,26.1260645,2050.0,ab
2458426.9298727,p48r,155.8041635485241,34.39903923872076,26.17211751,2050.0,ab
2458389.0201968,p48r,499.27835299492756,54.375701327904615,26.1995655,2050.0,ab
2458371.9716782,p48r,709.6260982577523,34.36220167793072,26.044143,2050.0,ab
2458430.0201505,p48r,117.57009167470781,31.316446756763398,26.184054,2050.0,ab
2458386.9456481,p48r,427.27299659476347,77.99401004104278,26.083434,2050.0,ab
2458424.0062384,p48r,133.43908136588527,41.41669836612047,26.142035,2.0,ab
2458432.0210995,p48r,71.80832828648813,35.38547463725357,26.05866301,2050.0,ab
2458425.040162,p48r,42.03580419356092,38.956026779554826,26.187227,2050.0,ab
