time,band,flux,flux_err,zp,zpsys
2458342.9336921,p48g,78.21880955191398,23.650284622139836,25.65106,ab
2458343.9353241,p48g,25.999341079471712,30.322188032189498,25.8487535,ab
2458347.9803472,p48g,52.46633370985238,25.683531590857644,25.923106,ab
2458348.9806366,p48g,27.06448503776913,25.455843852482886,25.941923,ab
2458348.9815509,p48g,100.707936445287,23.17112183918405,25.89062,ab
2458349.9212269,p48g,56.33997892115576,25.099924729504593,25.86600699,ab
2458350.959838,p48g,-3.5809459923127847,24.684633318340843,25.933541,ab
2458351.9590856,p48g,25.72755592826753,25.413875869969743,25.907263,ab
2458351.9599884,p48g,56.679009584384644,22.018016464948836,25.86930101,ab
2458352.9360995,p48g,49.3047015208966,27.412320907080986,25.936433,ab
2458362.9771991,p48g,575.6695571132527,55.33015194927916,26.01320601,ab
2458362.978125,p48g,525.2989635570385,54.404908116613434,25.970873989999998,ab
2458365.9395486,p48g,602.7139639600525,31.701477626848916,26.019887999999998,ab
2458365.9413889,p48g,642.1507897205438,30.67483669521343,25.974187490000002,ab
2458366.9306597,p48g,704.4890563484873,27.162324626661643,26.052163,ab
2458367.9332407,p48g,601.9206317145124,26.926712557469067,26.1048855,ab
2458368.9043634,p48g,569.0215694811637,24.81562357814554,26.06235,ab
2458368.9052894,p48g,603.8586359136647,23.23305426939172,26.0482205,ab
2458369.9565741,p48g,598.0880674320917,25.502045973702355,26.104765,ab
2458370.9571181,p48g,549.196917839375,26.284629120853445,26.0999365,ab
2458371.8951273,p48g,458.0357987336851,24.15701012098488,26.061991000000003,ab
2458371.8960417,p48g,499.9453867720646,24.520784054659945,26.100592990000003,ab
2458372.9451852,p48g,539.1130424912615,25.308653258082302,26.12772101,ab
2458373.913912,p48g,373.1547795696705,22.260881001229613,25.97639999,ab
2458374.9183912,p48g,360.2221794962208,26.213755303776825,25.995345,ab
2458374.9193056,p48g,405.03311035190575,27.346748204951247,26.10414099,ab
2458375.9419444,p48g,352.8330846553016,26.954252685896815,26.131071000000002,ab
2458377.876875,p48g,339.5607659769595,28.430327638757483,26.096573,ab
2458377.8777894,p48g,193.42084767263614,29.619923657453974,26.043435,ab
2458378.9414468,p48g,167.04138759435875,28.53989930103888,26.058930999999998,ab
2458379.9583333,p48g,142.9869070517454,26.58867872187741,26.15347101,ab
2458380.9130787,p48g,257.2985402888544,25.642230615924795,26.133169,ab
2458380.9139931,p48g,190.87254553451416,27.65347393124124,26.16226,ab
2458383.9379398,p48g,185.64439480846713,52.24667014593123,26.109522000000002,ab
2458383.9421181,p48g,135.08993721506405,52.08578735563166,26.112531999999998,ab
2458384.974838,p48g,154.89795676292124,64.04019100484707,26.066538,ab
2458385.8969907,p48g,191.74179439022822,96.67046468590922,26.085686,ab
2458386.9752431,p48g,133.0186518588576,111.51168303792032,26.071414,ab
2458386.9842593,p48g,285.0129120745075,112.1444474460072,26.060366000000002,ab
2458389.8775231,p48g,186.96275124337137,87.27988515187562,26.092495,ab
2458389.8784375,p48g,-67.12082184058157,88.00131766992672,26.113305,ab
2458390.8793981,p48g,-20.301955799834154,66.28417702287548,26.08707949,ab
2458397.8559838,p48g,41.02782114253368,28.377390934064824,26.058638,ab
2458425.8442014,p48g,77.00481047293528,30.905952034920343,26.11121,ab
2458441.7522685,p48g,14.172250222620253,77.82184537019876,25.971142,ab
2458342.9785532,p48r,40.42553117512159,29.001349308149674,25.9874535,ab
2458342.9794676,p48r,31.529637417017835,28.94907068817568,25.977525,ab
2458343.9805208,p48r,7.440795951214469,28.683906980930637,26.063833990000003,ab
2458344.9594444,p48r,-28.924806735891824,30.072107800023982,26.063954,ab
2458345.9804977,p48r,35.83164602824385,28.359121713697157,26.043098999999998,ab
2458345.9814468,p48r,130.25748216694737,28.246147129617842,26.043910999999998,ab
2458346.9214931,p48r,53.71352874166604,30.42428952733028,25.98031601,ab
2458347.9585301,p48r,91.86728773894464,28.69950791669282,26.004081,ab
2458348.9190972,p48r,17.48137515930781,29.208134908540526,26.013698,ab
2458348.92,p48r,3.729712123792183,28.96628939250323,26.005427,ab
2458349.9991898,p48r,45.271943833173026,30.314354282304546,26.1189185,ab
