time,band,flux,flux_err,zp,zpsys
2458346.8167477,p48g,15.564140772433465,24.096333869289012,26.05485101,ab
2458349.8634144,p48g,83.54302927492647,23.61357558130339,26.058873000000002,ab
2458352.8588773,p48g,54.02012976346886,52.169333631559404,26.08813801,ab
2458361.7268403,p48g,107.9996142117452,36.62638650827921,26.207804,ab
2458364.7524769,p48g,330.0382681279209,21.95868540791615,26.08548,ab
2458367.7740972,p48g,763.9949494692701,23.15924787391415,26.1775345,ab
2458370.7500347,p48g,1118.888058122151,23.686002098696935,26.168484,ab
2458373.7540741,p48g,1347.5407439832697,22.062763784157482,26.142464999999998,ab
2458376.7874884,p48g,1281.7372667494335,26.389274296357204,26.071452989999997,ab
2458379.8289699,p48g,1034.4754110332153,26.730476490485316,26.083420999999998,ab
2458382.7341551,p48g,861.7921813518485,62.17091241925796,26.173137,ab
2458385.8529398,p48g,526.9197544278388,108.0036251442674,26.039690489999998,ab
2458388.6275463,p48g,398.9449223480982,33.288184794073864,26.23761,ab
2458400.6436806,p48g,97.34198521399372,24.9692179494597,26.2248895,ab
2458426.6497454,p48g,69.87781535836054,33.61728535351074,25.804291,ab
2458429.6851968,p48g,66.28145168023369,27.292898297191392,26.1586275,ab
2458432.6690162,p48g,44.88897516166874,29.69029480133992,26.037563,ab
99.0,p48g,99.0,99.0,99.0,ab
99.0,p48g,99.0,99.0,99.0,ab
99.0,p48g,99.0,99.0,99.0,ab
99.0,p48g,99.0,99.0,99.0,ab
99.0,p48g,99.0,99.0,99.0,ab
99.0,p48g,99.0,99.0,99.0,ab
99.0,p48g,99.0,99.0,99.0,ab
99.0,p48g,99.0,99.0,99.0,ab
99.0,p48g,99.0,99.0,99.0,ab
99.0,p48g,99.0,99.0,99.0,ab
99.0,p48g,99.0,99.0,99.0,ab
99.0,p48g,99.0,99.0,99.0,ab
99.0,p48g,99.0,99.0,99.0,ab
99.0,p48g,99.0,99.0,99.0,ab
99.0,p48g,99.0,99.0,99.0,ab
99.0,p48g,99.0,99.0,99.0,ab
99.0,p48g,99.0,99.0,99.0,ab
2458346.809213,p48r,87.08458741030324,32.71181427519956,26.136528,ab
2458349.8168519,p48r,4.672622613640712,33.62892996857083,26.201844,ab
2458352.7717477,p48r,-59.80532833867467,56.736857669989156,26.20586051,ab
2458355.7746875,p48r,56.40397449362561,74.00031273086569,26.2316705,ab
2458355.9232755,p48r,55.74847264628298,85.76026097532906,26.156367999999997,ab
2458358.7522222,p48r,-29.80670605953229,57.600906304550456,26.205415000000002,ab
2458361.7731713,p48r,91.50163484477642,41.561308571156125,26.225873,ab
2458364.7953009,p48r,432.7711088401077,29.131359634629266,26.163056,ab
2458367.8192477,p48r,830.2380443811796,29.163083525731267,26.069240500000003,ab
2458370.774537,p48r,1551.271812657797,31.837812140800676,26.215867,ab
2458373.7747569,p48r,1747.253120833978,28.12762384329535,26.163181989999998,ab
2458379.7722106,p48r,1796.9926725524383,42.33726052720188,26.241919,ab
2458382.8012384,p48r,1436.0563871023658,62.62573053760246,26.206118,ab
2458385.7337963,p48r,1415.6413639871407,73.37110048362747,26.22642549,ab
2458388.7278241,p48r,1241.308291433285,51.62949613613566,26.2107395,ab
2458400.6858565,p48r,512.7516648565282,33.40826796387755,26.196222,ab
2458423.6236458,p48r,89.81857826753287,43.49142213542377,25.985400000000002,ab
2458432.6102662,p48r,176.8423210806527,40.357448020396056,26.124321,ab
99.0,p48r,99.0,99.0,99.0,ab
99.0,p48r,99.0,99.0,99.0,ab
99.0,p48r,99.0,99.0,99.0,ab
99.0,p48r,99.0,99.0,99.0,ab
99.0,p48r,99.0,99.0,99.0,ab
99.0,p48r,99.0,99.0,99.0,ab
99.0,p48r,99.0,99.0,99.0,ab
99.0,p48r,99.0,99.0,99.0,ab
99.0,p48r,99.0,99.0,99.0,ab
99.0,p48r,99.0,99.0,99.0,ab
99.0,p48r,99.0,99.0,99.0,ab
99.0,p48r,99.0,99.0,99.0,ab
99.0,p48r,99.0,99.0,99.0,ab
99.0,p48r,99.0,99.0,99.0,ab
99.0,p48r,99.0,99.0,99.0,ab
99.0,p48r,99.0,99.0,99.0,ab
99.0,p48r,99.0,99.0,99.0,ab
99.0,p48r,99.0,99.0,99.0,ab
2458366.8076505,p48i,409.02790169374043,36.10417877703932,25.6308745,ab
2458378.8619329,p48i,808.1976718160911,36.26377421816241,25.643912,ab
2458362.8072685,p48i,27.460564679073688,31.799281027162568,25.607865009999998,ab
2458370.8313657,p48i,848.3829482871232,34.633691935176344,25.654889,ab
2458374.8098727,p48i,833.1769186843958,36.904456656180166,25.635396,ab
2458348.672037,p48i,110.49790079236968,38.97196622720389,25.5328525,ab
2458397.8029861,p48i,351.2020522456763,39.54584442534413,25.514511000000002,ab
2458387.8044444,p48i,510.16737600135616,51.34768891744066,25.622452,ab
