time,band,flux,flux_err,zp,zpsys
2458361.6540046,p48g,3.1637388760134684,26.646284264573165,26.151138,ab
2458361.6833449,p48g,29.26467609316625,26.869437735966635,26.114461000000002,ab
2458361.6980556,p48g,36.01678422386357,27.96191133829447,26.1605955,ab
2458362.7026389,p48g,34.64656430009186,26.764431602118627,26.1558045,ab
2458365.7198727,p48g,-15.948251984177805,25.528380674955205,25.9954735,ab
2458367.7178241,p48g,-38.94281475282046,28.068568949758465,26.0934485,ab
2458367.7434722,p48g,18.865434215951645,30.416334508143084,25.963120989999997,ab
2458367.7626505,p48g,-45.870190851946056,32.37522048069226,25.9348115,ab
2458368.6962963,p48g,-47.91780462695492,26.671291661859577,26.136374,ab
2458368.7259144,p48g,54.50839509124624,27.775149617011614,26.086753499999997,ab
2458368.7359606,p48g,25.020856250812237,28.706482086428398,26.034901,ab
2458368.736875,p48g,-16.71011303748257,28.71045945441632,25.987971990000002,ab
2458369.7260185,p48g,116.8501581604013,31.199998758067444,26.045631,ab
2458369.7429861,p48g,50.04463750207037,31.963062677538304,26.025257,ab
2458369.7560069,p48g,73.10126143653684,33.635830262667916,25.964443,ab
2458371.697338,p48g,463.8064934451113,27.029786603904892,26.1388705,ab
2458371.7236574,p48g,447.22886661720725,29.029258484344478,26.096224499999998,ab
2458371.7246065,p48g,415.0622577610368,28.829239297734937,26.107955,ab
2458371.7373032,p48g,421.8285206447292,29.789539300959465,26.060139500000002,ab
2458372.7231481,p48g,986.3894044941505,30.212658264980085,26.128123,ab
2458372.7389815,p48g,892.7213406577157,31.664703950727954,26.08764,ab
2458374.6946991,p48g,2469.288535431304,30.103803056007283,26.123009,ab
2458374.6956134,p48g,2477.601849541597,30.211115069859314,26.11739,ab
2458374.7152778,p48g,2427.656661872943,31.391875861721285,26.0712925,ab
2458374.7410764,p48g,2212.089041937361,34.572897587028145,26.002052990000003,ab
2458377.6940856,p48g,5230.676066397209,39.616635466323324,26.15192,ab
2458377.695,p48g,4886.370978972016,39.918634072932775,26.065133,ab
2458377.7170139,p48g,4916.017429004098,41.42540631111941,26.070726,ab
2458377.7431134,p48g,4351.812079770028,42.3736721734863,25.9533745,ab
2458378.6519792,p48g,6399.006023954781,38.290277851368224,26.23711951,ab
2458378.6736227,p48g,6158.5579823503485,40.09399028049762,26.185077,ab
2458378.7025231,p48g,5902.395010716353,42.71064604508103,26.1122565,ab
2458381.6730324,p48g,7555.231162909837,51.83871513402925,26.09384949,ab
2458381.6739468,p48g,7561.85858657385,52.392598333166184,26.101597499999997,ab
2458381.7048958,p48g,7027.558718925795,56.640201169119734,26.042872000000003,ab
2458381.7131713,p48g,7114.714910587093,58.09378791839322,26.032363,ab
2458382.6716782,p48g,8201.787070060194,56.614272936952155,26.123483,ab
2458382.7045023,p48g,7042.554915944589,62.41713929088327,25.966768,ab
2458382.7201042,p48g,6809.137455075888,65.11439582805323,25.959657,ab
2458383.6824884,p48g,7896.468956816176,66.69031031455984,26.058446,ab
2458383.7041088,p48g,7475.076627455281,71.94395296638845,25.992269,ab
2458383.7152662,p48g,6761.161227903745,73.91529576553668,25.918819,ab
2458385.6155903,p48g,9275.319848001916,70.00648936104393,26.222260000000002,ab
2458388.6159491,p48g,8817.56704373613,31.30644501956232,26.192071,ab
2458355.7561343,p48r,-47.22799601928006,66.26936888409617,26.193765,ab
2458356.7068519,p48r,-108.82255730907347,65.97471681199329,26.196921,ab
2458356.7148611,p48r,-43.097664654751064,66.35804954424417,26.198776,ab
2458356.7158102,p48r,-12.629113350811835,67.29328486217858,26.204621,ab
2458356.7396528,p48r,-23.329959150169486,70.50586509545072,26.176034,ab
2458356.7563889,p48r,66.10279384702686,74.57815527101778,26.198656999999997,ab
2458357.6783218,p48r,-33.463526384489946,54.88771805721129,26.153868,ab
2458357.7435417,p48r,-10.199396124777191,64.95517243267038,26.179839,ab
2458357.7639815,p48r,28.048264897133564,69.63631234830937,26.13787399,ab
2458357.783669,p48r,-118.54782195040035,75.51476462041629,26.095236500000002,ab
2458358.7021181,p48r,-39.65563657162123,54.27270872677208,26.191905000000002,ab
2458358.7240509,p48r,-113.47126549419613,56.99560483902133,26.14741901,ab
2458358.7453588,p48r,-43.61147301970834,61.520784410954825,26.14648001,ab
2458359.7189699,p48r,-68.47433443088399,60.56582344152324,26.124867000000002,ab
2458359.7198843,p48r,13.682786013905549,57.02566280169459,26.196839999999998,ab
2458359.7428125,p48r,19.08092004265751,63.91865523333325,26.144958,ab
2458359.7665278,p48r,-111.79652926194345,72.83638898641227,26.044133,ab
2458360.7252083,p48r,19.95136362019965,51.16721616811206,26.180232,ab
2458360.7638542,p48r,-82.9624879869985,58.80117669462212,26.129085999999997,ab
2458361.6414468,p48r,49.653571207853716,36.528753216425194,26.2600625,ab
2458361.7478588,p48r,-53.27224645077678,50.180112041131345,26.1850885,ab
