time,band,flux,flux_err,zp,zpsys
2458362.9735185,p48g,13.996560471569993,48.495508262340415,26.0842545,ab
2458365.906331,p48g,-3.963743346929318,26.48748353600846,26.07214901,ab
2458365.9072454,p48g,-34.450575139022064,26.673939921254398,26.069835,ab
2458366.9149769,p48g,-21.856762463095144,22.32827366429305,26.10330201,ab
2458366.9531713,p48g,-11.926178984127596,22.9646090126186,26.069677,ab
2458367.9048032,p48g,28.861807035985954,20.955826358599,26.08517599,ab
2458368.900706,p48g,-43.451070613745514,20.094713411028813,26.07978451,ab
2458368.9016204,p48g,-51.340242316056916,20.05351512374619,26.072198999999998,ab
2458369.9425347,p48g,10.548363472125775,21.02695134899817,26.111967,ab
2458370.8896528,p48g,58.09022963405405,21.278959160402323,26.0929315,ab
2458371.8815394,p48g,96.46550111463495,20.233871242472603,26.063730500000002,ab
2458371.8824421,p48g,116.27612513180168,19.991411002361023,26.09177701,ab
2458372.9133449,p48g,220.32822141832438,20.4875864665813,26.093954,ab
2458373.9098032,p48g,210.79843424716333,19.92137234771449,26.05770249,ab
2458374.9041782,p48g,343.38278888445495,22.27757215701824,26.094842009999997,ab
2458374.9050926,p48g,357.65563098676614,22.329032302529157,26.1085715,ab
2458375.9220139,p48g,450.9128866529809,22.2246718596017,26.149100999999998,ab
2458376.9435069,p48g,512.8376616890165,22.45932199099706,26.159772999999998,ab
2458377.8606597,p48g,612.4415205491975,23.114206106264287,26.122548000000002,ab
2458377.8620255,p48g,591.8386765896323,22.95246144941009,26.104715000000002,ab
2458378.9533218,p48g,583.3404353174415,22.356532489480742,26.0935105,ab
2458379.8709144,p48g,687.3203672480365,22.446582284763817,26.131628,ab
2458382.9327315,p48g,819.3581179243936,24.071114450941558,26.151988,ab
2458383.9221991,p48g,753.5432876509046,49.26623119552342,26.1450125,ab
2458383.9240741,p48g,697.8761071577587,50.006071244704295,26.115264,ab
2458384.9697917,p48g,764.6449089276701,61.325736273080594,26.126012,ab
2458385.8779167,p48g,641.7611843990469,85.54471728447785,26.10020501,ab
2458386.9658218,p48g,530.6325845869351,108.60535568585495,26.094677,ab
2458386.9734144,p48g,642.7398285840691,108.95091067024678,26.036693999999997,ab
2458389.8789468,p48g,746.4865584768374,75.3392516446025,26.19554,ab
2458397.8578241,p48g,399.12534429539477,22.973167139181083,26.13804,ab
2458422.7680556,p48g,-14.011242607767002,23.963132641391205,25.97784001,ab
2458425.6967245,p48g,19.98844512450446,30.21020343262302,25.7474675,ab
2458428.7170255,p48g,-20.62600403846819,23.640594944947196,26.0128955,ab
2458437.7322106,p48g,51.029714630286335,31.14074247044218,26.057208,ab
2458355.9953935,p48r,-76.27963191697387,43.499728629550034,26.064273,ab
2458356.9334954,p48r,80.70752194430426,62.462843251534615,26.075293,ab
2458356.9955093,p48r,-172.3122886727419,59.89033644012025,26.089162509999998,ab
2458357.9205903,p48r,152.38449497426063,60.51107387219379,26.051272,ab
2458357.9224884,p48r,-68.31368628800615,60.473875171104275,26.056624,ab
2458357.9683796,p48r,60.374153838681146,58.50811782627977,26.056914499999998,ab
2458357.9692824,p48r,23.603502039111643,59.08923118384133,26.063239,ab
2458358.930787,p48r,-104.32753230243772,76.82602207633771,25.91789699,ab
2458362.8994444,p48r,-38.81766422465428,46.66385813532603,25.989096,ab
2458362.9036343,p48r,102.78879558496914,46.75393800007481,25.989459,ab
2458363.9683102,p48r,12.28860116664351,39.891912975072195,26.00665299,ab
2458364.8850926,p48r,-36.40245281719608,33.793955225047974,25.95372199,ab
2458365.8865856,p48r,58.77318304714127,29.266161977594116,25.978938,ab
2458365.8875,p48r,25.102832620549993,29.785318363908786,25.989622500000003,ab
2458366.8779861,p48r,13.77864146125155,25.24578469341988,25.979523490000002,ab
2458367.8797801,p48r,18.644637417068523,24.428252376309853,26.0093085,ab
2458368.9345718,p48r,59.98626896395375,25.52605958869558,26.0317745,ab
2458368.9354977,p48r,-36.122592431373874,25.515112253057016,26.041408999999998,ab
2458369.9022569,p48r,32.138642486915444,25.718189324189286,26.00073,ab
2458370.9330787,p48r,150.33484568465542,24.93084871390059,26.067808,ab
2458371.9251157,p48r,191.58626996548583,23.918114992705593,26.032799999999998,ab
2458371.9260301,p48r,175.49543189551602,23.958390289460695,26.040829,ab
2458372.8935185,p48r,370.10870239797396,25.333060506859994,26.02679849,ab
2458373.9486574,p48r,274.18394993491245,24.473795486439514,25.981783999999998,ab
2458374.8927431,p48r,420.6194417230467,27.251986665647923,26.074163499999997,ab
2458374.8936574,p48r,378.57441808694693,27.167379092746113,26.062007,ab
2458375.8730556,p48r,459.49546387391285,27.787146901532,26.05960201,ab
2458377.9054745,p48r,622.6117223190149,28.91216513376884,25.996419,ab
