time,band,flux,flux_err,zp,zpsys
2458364.9009144,p48g,-5.6713007465326655,34.78339130963279,26.06077449,ab
2458367.9368981,p48g,10.4517302778502,24.757044695698276,26.08520099,ab
2458370.8955903,p48g,126.51653269495036,24.006641544689188,26.14021099,ab
2458373.8792014,p48g,443.02916343598923,22.81165140861276,26.149382,ab
2458376.8314352,p48g,1445.7243327287779,26.81552917896866,26.2414795,ab
2458379.8745718,p48g,2515.7608450181824,26.16584135858221,26.149389,ab
2458385.8746875,p48g,2332.5996766431945,121.91168563804007,26.1409125,ab
2458389.8378819,p48g,3482.908070848416,73.78272845296958,26.170384499999997,ab
2458397.8408218,p48g,1660.8174562494935,26.47740947158832,26.19686449,ab
2458425.6935069,p48g,242.89448740514487,32.29587290224696,26.0057785,ab
2458428.7119676,p48g,269.20649063758276,26.75356897692283,26.188766,ab
2458437.7335995,p48g,206.66199855362026,36.9279659717551,26.101711990000002,ab
2458443.798588,p48g,405.0415670020783,118.37148873968742,26.122668,ab
2458356.9746875,p48r,1.2057462302923536,83.44883361968546,26.2750815,ab
2458357.8980903,p48r,138.07768821460954,81.34548081181934,26.251684,ab
2458357.9674653,p48r,85.21307855032336,82.4828428972834,26.2438535,ab
2458361.8384606,p48r,109.90789425344468,62.0851674412125,26.228848,ab
2458361.839375,p48r,-53.94281963393648,62.76036932790259,26.228623000000002,ab
2458362.9082176,p48r,103.11860244030834,45.86570356522465,26.26098751,ab
2458363.9274306,p48r,82.37013948864191,43.319091157131446,26.191618000000002,ab
2458364.8789352,p48r,-34.826782900940344,36.65199370706742,26.18280101,ab
2458364.8860532,p48r,-22.846166924830392,36.221654743019826,26.20632349,ab
2458365.8811111,p48r,-24.689283252086664,33.753720144043314,26.21790049,ab
2458366.8770486,p48r,36.15077444968458,28.91428087392223,26.18204099,ab
2458367.8770139,p48r,97.30512723375841,28.849261655911107,26.144468500000002,ab
2458367.8779282,p48r,-81.22104744560329,29.279834325520614,26.172496499999998,ab
2458368.9227083,p48r,-5.600193364304474,31.160847195287154,26.22564599,ab
2458369.9004282,p48r,130.0038483632971,31.501921568409667,26.210628999999997,ab
2458370.9362731,p48r,70.75674500790153,30.907193529753442,26.2057425,ab
2458370.9371875,p48r,229.95340476323355,30.9912945991278,26.22709099,ab
2458371.9242014,p48r,233.91125769921433,29.039965102568967,26.234634,ab
2458372.858206,p48r,275.58492222983335,30.950424340411157,26.183289499999997,ab
2458373.941331,p48r,521.3356377925264,30.59808604528926,26.16892701,ab
2458373.9422454,p48r,432.67683976365777,30.695197529772333,26.155769,ab
2458374.8637963,p48r,707.0704253320121,32.91954942219319,26.25320699,ab
2458375.8744213,p48r,1107.238448526205,33.465836795646744,26.258572,ab
2458376.9134722,p48r,1485.4908822114362,33.89683397943011,26.23790301,ab
2458376.9143866,p48r,1489.035051899445,34.03660640837439,26.26970401,ab
2458377.9167245,p48r,1746.4338132990533,36.53616551886614,26.249019,ab
2458378.9104745,p48r,2233.6180743152754,34.74238320400254,26.265511,ab
2458379.8975926,p48r,2556.493512339719,34.46991540981762,26.232381999999998,ab
2458379.8985648,p48r,2547.618803562489,34.62149863413013,26.23003299,ab
99.0,p48r,99.0,99.0,99.0,ab
99.0,p48r,99.0,99.0,99.0,ab
2458385.8327894,p48r,3508.995229261407,125.24888838177765,26.204035,ab
2458385.83375,p48r,3383.962286547956,124.06066427134296,26.203084,ab
2458397.7911921,p48r,2303.7170244437793,35.455236427714865,26.187911999999997,ab
2458425.7310069,p48r,184.37905824465096,57.9449389153048,25.098737999999997,ab
2458428.7331481,p48r,549.0674487250699,33.66198411079032,26.164573999999998,ab
2458437.7790278,p48r,518.7523798267335,41.18233944825438,26.143064,ab
2458443.8379051,p48r,417.21209113398174,127.0025621151484,26.203685999999998,ab
2458456.6859144,p48r,289.04650617523043,38.401433178275845,26.16202201,ab
