time,band,flux,flux_err,zp,zpsys
2458379.9435532,p48g,17.42664800267128,24.08060253236882,26.124963,ab
2458386.9871065,p48g,455.71671486187876,100.22920748248232,26.127698,ab
2458390.8780324,p48g,2933.9406612979747,61.916560617984445,26.095886,ab
2458425.8414352,p48g,1872.366728824074,26.704055581787028,26.140617000000002,ab
2458375.9340741,p48g,-6.3118847029252745,23.24482746318584,26.147967,ab
2458385.9528241,p48g,328.72965174525547,80.38846784905469,26.17673899,ab
2458382.9445139,p48g,3.9247461218332687,23.309406804715255,26.148146999999998,ab
2458377.8823727,p48g,22.91534803874086,23.88839765765038,26.06492999,ab
2458372.9339815,p48g,-8.416152141357575,22.198897227698787,26.1187665,ab
2458378.9514931,p48g,-15.958770586012808,23.883554516529987,26.11964099,ab
2458466.7552083,p48g,127.33482720284044,39.09866220208871,24.828204500000002,ab
2458472.6954398,p48g,347.0241485755341,80.70046767262751,26.10885099,ab
2458378.9524074,p48g,28.699648756838144,23.775934070612067,26.102878500000003,ab
2458376.9425926,p48g,1.673816383741162,23.68808787128243,26.126549,ab
2458462.7624306,p48g,208.69009339847764,32.4945614207774,25.328947,ab
2458372.9202431,p48g,4.972757567565871,21.802017049013564,26.109337,ab
2458385.9421759,p48g,211.38304844037947,80.5286940466281,26.161298,ab
2458375.9359028,p48g,0.16612461573623705,23.86562205317157,26.117224,ab
2458374.9286458,p48g,27.19450149210656,23.688767681358698,26.128305010000002,ab
2458397.8744213,p48g,8085.701274672927,23.783811438962463,26.136901,ab
2458472.6983449,p48g,264.0706839199618,81.3484397783569,26.080484,ab
2458384.999213,p48g,116.57080502715354,38.99414845600395,26.123994,ab
2458383.9448611,p48g,42.02089814861809,42.70817488251494,26.099197,ab
2458382.9459375,p48g,-16.13795011719444,22.99509748816779,26.134307,ab
2458372.9193403,p48g,-12.005192760995838,21.690212068529597,26.02843899,ab
2458373.9079745,p48g,-64.26771903218928,21.074390742275696,26.10991401,ab
2458383.9031134,p48r,40.427866785221134,47.69752136621211,26.053878,ab
2458385.8203819,p48r,312.72482528170474,75.98733168343166,25.983651,ab
2458385.8212963,p48r,310.76240840993216,76.21205142397564,25.97049,ab
2458378.9009028,p48r,0.6684380043209508,30.016538551629115,26.0600115,ab
2458378.8999884,p48r,27.325423075444895,29.585329456038522,26.0467855,ab
2458386.7973958,p48r,491.265057589399,92.65354879252601,25.993395,ab
2458380.9354514,p48r,12.275418829776417,26.039877712113874,26.076226,ab
2458382.8593634,p48r,-16.392911343202318,41.635581721365035,25.96798899,ab
2458390.7584259,p48r,2561.0129631993022,64.82129500201573,25.973081999999998,ab
2458437.7981366,p48r,1969.8232280421398,31.821673684883724,26.00627801,ab
2458379.9227546,p48r,-15.121111048048608,28.592367225705374,26.047491,ab
2458382.8602778,p48r,30.043854459687797,42.2288475506943,26.033354000000003,ab
2458377.9073611,p48r,33.7779944956584,29.95050123247901,26.04799999,ab
2458397.9029051,p48r,7134.523382654721,28.46174005157598,26.050201,ab
