time,band,flux,flux_err,zp,zpsys
2458388.870162,p48g,-120.73613682539943,88.82597670655359,26.10847449,ab
2458389.837419,p48g,-94.93824107367045,69.15902937399301,26.1158255,ab
2458390.8381134,p48g,31.33796604382614,55.066505523667594,26.13551551,ab
2458397.8403588,p48g,8.567867124544573,25.62512271429071,26.1223855,ab
2458397.8412731,p48g,-70.53270398081372,25.782520279431704,26.118889,ab
2458422.7657755,p48g,848.4203757677424,26.440773644851273,25.91135847,ab
2458423.7421528,p48g,838.7592946307409,27.325044109481706,26.073769000000002,ab
2458424.6971644,p48g,169.09283868863662,38.98745777767149,24.496326,ab
2458425.6921296,p48g,676.2432025352758,31.28490657745781,25.933813,ab
2458425.693044,p48g,691.5364887090899,31.07587150257847,25.953837,ab
2458426.8160185,p48g,650.9915221271824,31.27204063834166,25.9934395,ab
2458428.7106019,p48g,675.9850401704653,26.14295351340499,26.143970999999997,ab
2458428.7115162,p48g,619.1109775448978,25.760269045392214,26.09102699,ab
2458429.7320833,p48g,558.6874157643828,24.49622386028859,26.1212315,ab
2458430.7527894,p48g,505.1246706255771,23.397050859011383,26.13734,ab
2458432.7420718,p48g,373.93593037499454,29.39713790955314,25.983595,ab
2458437.7122222,p48g,239.0670044004404,37.78354705017508,26.035356,ab
2458443.6957523,p48g,82.76442577708045,95.69036350155439,26.1060875,ab
2458443.6967245,p48g,101.61001658144026,95.32589117759812,26.158674,ab
2458472.685463,p48g,6.409858598571921,76.84891956524058,25.95828949,ab
2458474.5958333,p48g,73.16801695172055,80.13739247003572,26.091096,ab
2458474.5995486,p48g,-2.3715178587438466,80.90312553275425,26.074483,ab
2458487.6265509,p48g,73.11368613351655,32.46495711947599,26.125702999999998,ab
2458388.7899537,p48r,24.362919122706362,84.51629596711282,26.1567465,ab
2458389.8221412,p48r,-12.64961461015273,67.06428196871545,26.1527,ab
2458390.7635185,p48r,74.98167601311775,51.10052852729762,26.099162999999997,ab
2458397.7897801,p48r,-37.565171849177574,34.654298656775445,26.132103,ab
2458397.7907407,p48r,-28.474541376198054,34.87967235102277,26.129699000000002,ab
2458424.7497569,p48r,754.370932001834,58.46680874234795,25.376419000000002,ab
2458425.7428704,p48r,500.55202631917825,60.07122214852131,24.7212285,ab
2458426.7537153,p48r,1380.447659101794,41.96870204182882,26.107029,ab
2458427.7340162,p48r,393.4115091575565,50.900134770446115,25.03994,ab
2458428.7317708,p48r,1223.2026873403975,33.42640927584091,26.1009105,ab
2458428.7326968,p48r,1135.0257255817492,33.06889357970185,26.09041801,ab
2458429.7619213,p48r,1150.6919916212564,32.645660130730214,26.146172999999997,ab
2458430.7050694,p48r,1136.835648025614,33.57258102584047,26.1462275,ab
2458437.7696644,p48r,1022.5257927316848,42.83199728800482,25.99347249,ab
2458448.7702662,p48r,641.9477781785943,59.86772196027893,26.095899,ab
2458456.685463,p48r,424.8832164733567,37.94246415508627,26.07107701,ab
2458471.6472569,p48r,85.6631027195931,87.83530637297888,25.90482099,ab
2458472.607419,p48r,225.51395663795023,64.18858145109684,26.116685,ab
2458474.6314583,p48r,284.48478811988576,71.33131594467717,26.159546,ab
2458487.5969329,p48r,194.66202993177677,40.73679880691595,26.153069000000002,ab
2458491.6012153,p48r,133.1244609647895,39.42089072985448,25.963428,ab
