time,band,flux,flux_err,zp,flags,zpsys
2458397.8412731,p48g,104.18848825015854,23.82115343089155,26.001381000000002,2048.0,ab
2458382.8958912,p48g,-6.055020494729831,45.32514217916039,26.006061,0.0,ab
2458426.8160185,p48g,317.6953107815889,28.427777900318404,25.868659,2050.0,ab
2458425.6921296,p48g,289.5296834968111,31.46595142673941,25.548348999999998,2050.0,ab
2458383.9203356,p48g,-0.7794319278163684,61.16332961685218,25.907080999999998,0.0,ab
2458424.6971644,p48g,118.34896561562314,34.76952605716653,24.76394599,0.0,ab
2458390.8381134,p48g,-17.804496012659673,52.840472328384045,25.996014,0.0,ab
2458429.7320833,p48g,254.39574558010113,23.14262808264155,25.957548,2050.0,ab
2458397.8403588,p48g,105.77050145410442,23.851361583162348,25.994422,2048.0,ab
2458425.693044,p48g,328.4279919486735,30.44403409339674,25.663357,2050.0,ab
2458432.7420718,p48g,206.0093523640012,27.377826205772266,25.949114,2050.0,ab
2458474.5995486,p48g,-113.57184918111538,77.85743440952079,25.940486,0.0,ab
2458388.856875,p48g,76.1578046396474,88.6622848285741,26.023974,0.0,ab
2458437.7113079,p48g,143.26357675400226,34.84021897304632,25.87753901,0.0,ab
2458428.7106019,p48g,260.60744613274585,24.421763346188392,25.88549299,2050.0,ab
2458389.837419,p48g,-89.06424673739467,67.79005273676401,25.9741135,0.0,ab
2458384.8372338,p48g,95.26128447974773,93.51777137348147,25.9193385,0.0,ab
2458423.7421528,p48g,503.86396529583624,25.672998266290033,25.899391010000002,2050.0,ab
2458385.8765509,p48g,99.96176520114369,107.19113974200768,25.859979000000003,0.0,ab
2458385.8888657,p48g,-59.31372480202029,106.96940427701622,25.956058499999997,0.0,ab
2458487.6656481,p48g,46.14598824303173,29.716809770696123,25.90659551,0.0,ab
2458388.8968519,p48g,-21.330242908371417,90.65633017475734,25.925213,0.0,ab
2458384.9716088,p48g,-44.1370551260271,77.67997424018357,25.8552675,0.0,ab
2458382.8804398,p48g,26.81149293834403,47.41213760595667,26.010468,0.0,ab
2458437.7117708,p48g,118.47489715743855,33.850885563587134,25.93146801,0.0,ab
2458383.9231366,p48g,-33.61563643004556,59.125615483747346,25.871075,0.0,ab
2458385.8737847,p48g,-116.93670679148337,118.64375986216155,26.105092000000003,0.0,ab
2458380.8601968,p48g,30.815168870775825,23.94285496571546,26.138938489999997,0.0,ab
2458384.8551736,p48g,45.637237241983776,96.96895672939515,26.104046,0.0,ab
2458389.8378819,p48g,-110.41450184876288,73.91337190547999,26.208846,0.0,ab
2458385.8746875,p48g,-36.353247467416615,118.28718190081186,26.104925,0.0,ab
2458383.921713,p48g,-30.088452532758815,64.25143092779766,26.152954,0.0,ab
2458474.6273032,p48r,146.21825273587228,64.85748699024873,25.8812005,0.0,ab
2458471.6472569,p48r,-48.84924390517827,84.0199044794079,25.67362551,0.0,ab
2458429.7619213,p48r,917.3425877717266,29.66366412772308,25.890161,2050.0,ab
2458427.7340162,p48r,385.05474135724126,45.53075167532485,24.84461999,2050.0,ab
2458380.8141204,p48r,2.671628445736058,36.019210131970134,25.945048999999997,0.0,ab
2458397.7897801,p48r,147.41451908975256,31.153276135869035,25.883802,2050.0,ab
