time,band,flux,flux_err,zp,zpsys
2458426.7068866,p48g,426.8973193306757,34.59975238696738,25.711876,ab
2458429.7114815,p48g,399.9293251842264,26.440732641619984,26.099411,ab
2458389.8240741,p48r,-68.54285159522787,58.29008398981069,26.130153,ab
2458390.7653704,p48r,42.603997552547966,46.38760408777198,26.1281705,ab
2458426.7378935,p48r,640.3413755087668,44.60648991078142,25.97393349,ab
2458429.7591782,p48r,606.3265112437418,34.30412060668099,26.096331,ab
2458432.7563426,p48r,597.1430624614538,43.84257932183407,26.098284,ab
2458443.6108565,p48r,350.1793528185462,80.29259347423138,26.130533,ab
2458475.6646644,p48r,44.537282422478086,76.71660381110381,26.061696,ab
2458389.8240741,p48r,-68.54285159522787,58.29008398981069,26.130153,ab
2458390.7653704,p48r,42.603997552547966,46.38760408777198,26.1281705,ab
2458426.7378935,p48r,640.3413755087668,44.60648991078142,25.97393349,ab
2458429.7591782,p48r,606.3265112437418,34.30412060668099,26.096331,ab
2458432.7563426,p48r,597.1430624614538,43.84257932183407,26.098284,ab
2458443.6108565,p48r,350.1793528185462,80.29259347423138,26.130533,ab
2458475.6646644,p48r,44.537282422478086,76.71660381110381,26.061696,ab
