time,band,flux,flux_err,zp,zpsys
2458425.0009838,p48g,6620.776036379236,40.40496033571346,25.92204199,ab
2458438.9790278,p48g,1552.3195886189533,30.130601974663268,25.869296000000002,ab
2458440.0140509,p48g,1288.0553994808556,30.070154284247423,25.7450985,ab
2458440.9777662,p48g,876.5684955612139,30.16699777688408,25.424768,ab
2458440.9786806,p48g,892.2172376223332,29.80053051376134,25.240781000000002,ab
2458443.987963,p48g,1267.4082571245906,66.32133587442583,26.026136,ab
2458443.9888773,p48g,1335.6336923200306,66.72555672889641,26.0328895,ab
2458468.9402431,p48g,828.8990707794728,30.832071483267388,26.0253575,ab
2458470.0002199,p48g,926.5671909155994,27.097956344725638,26.054505,ab
2458472.9785301,p48g,704.2340431229726,59.070582572697575,26.053997,ab
2458472.9794444,p48g,853.6222499535065,58.73756316881768,26.040027000000002,ab
2458476.0254977,p48g,786.3446290896737,97.03195787279711,26.075582,ab
2458487.9405324,p48g,649.9314428465051,29.968259637245076,25.99291101,ab
2458425.0424884,p48r,9039.029203876311,56.006853821166175,26.057753,ab
2458439.0523958,p48r,5718.1673356870215,49.225145868823915,26.1088105,ab
2458441.0427431,p48r,4710.778261957209,41.96668996952777,26.062185500000002,ab
2458442.9414468,p48r,2450.649647946985,87.53748546731454,25.448758010000002,ab
2458443.9582986,p48r,3941.0273693274607,72.68694578591666,26.113498,ab
2458448.9816204,p48r,3241.630671169642,67.30224918071859,26.019477,ab
2458449.9953935,p48r,2785.8871649344555,76.89405696438679,25.959027,ab
2458450.0121296,p48r,2963.041128901541,70.87543456443865,26.041659,ab
2458468.9934838,p48r,1714.649837408842,42.32312255683019,26.1140365,ab
2458469.976169,p48r,1673.732471611917,37.98862562357867,26.121895000000002,ab
2458469.9770833,p48r,1637.4623183521142,37.07311585483725,26.089729000000002,ab
2458472.9189005,p48r,1603.5434768343596,66.11478367772764,26.134916,ab
2458472.9198148,p48r,1491.4577047221123,65.50911310210608,26.126844000000002,ab
2458474.9727778,p48r,1392.5457298109682,81.7846183798865,26.1118185,ab
