time,band,flux,flux_err,zp,zpsys
2458397.8385069,p48g,64.12876783729116,24.706072728885914,26.022407,ab
2458425.69625,p48g,-9.548452963143589,30.322224606673807,25.826752,ab
2458472.6682407,p48g,-39.6462022849795,74.49335744475412,26.057377,ab
2458487.6456597,p48g,21.03695310799927,29.44892204109253,26.077206,ab
2458491.6606713,p48g,-8.18418076134028,29.888577357673224,25.964531,ab
2458493.6668634,p48g,-18.079999946948313,29.94760744161703,25.907939,ab
2458494.6507407,p48g,-37.825355368688726,31.649878025155065,26.037093,ab
2458494.6604167,p48g,-38.84933375272465,31.669117863177753,25.99242,ab
2458495.6588773,p48g,-60.25898767491381,50.9914528342699,25.1773965,ab
2458503.671412,p48g,37.64308521960315,83.51815218852843,25.9426505,ab
2458503.6869444,p48g,-351.4158786548258,87.14853945313635,25.90776,ab
2458397.9019907,p48r,11.342091953043187,30.040533512502005,25.97868,ab
2458456.6873148,p48r,-23.35924167235558,33.69887491437477,25.964016,ab
2458456.7609144,p48r,-12.761119868495282,35.92952694382577,25.972759,ab
2458472.6226968,p48r,44.89381733564231,63.500013050546734,25.9927365,ab
2458475.6670139,p48r,-13.988953974664483,64.47826919001297,25.9759835,ab
2458487.6241088,p48r,94.25470532718259,35.7374598340749,26.022057,ab
2458487.6250231,p48r,22.32295739244128,35.770302759110656,26.023054000000002,ab
2458490.6611458,p48r,61.080817963654574,35.35036834230574,25.97125201,ab
2458491.6133912,p48r,-28.76321810248254,34.124318800946426,25.899005,ab
2458491.6143056,p48r,-48.32374209680868,34.244434664384364,25.88971901,ab
