time,band,flux,flux_err,zp,flags,zpsys
2458466.7552083,p48g,93.21758835320703,38.776589777818835,24.942363,2.0,ab
2458507.6649537,p48g,94.89721768341289,29.21664893856991,26.04416749,2.0,ab
2458483.6178472,p48g,57.26409863505559,23.35478295693351,26.03128299,2.0,ab
2458503.6667245,p48g,113.5022829606691,74.84923112597339,26.075834,2.0,ab
2458462.7624306,p48g,217.37053589651967,31.992241892688007,25.304071,2050.0,ab
2458472.6983449,p48g,293.33255419433306,77.30701569619129,26.113008490000002,2.0,ab
2458425.8414352,p48g,-0.7561399890661296,24.176546811633752,26.208387000000002,2.0,ab
2458472.6954398,p48g,175.71585909369435,76.30696335191598,26.141998010000002,2.0,ab
2458493.6846528,p48g,100.22466280728445,25.739759524266805,26.13166,2.0,ab
2458428.7179398,p48g,38.90593501334677,22.344616406966104,26.1178475,2.0,ab
2458472.6189931,p48r,479.34262240410317,70.01869598544546,26.0705505,2050.0,ab
2458428.7538194,p48r,-32.14280793129984,27.003678071962526,26.061153,2.0,ab
2458490.6639005,p48r,156.4417241268079,30.84837277412834,26.053372999999997,2.0,ab
2458437.7981366,p48r,594.65628528198,30.128765452740463,26.012616010000002,2050.0,ab
2458486.6218519,p48r,193.00922486049961,31.09971202246763,25.995312000000002,2050.0,ab
2458456.7618287,p48r,738.8532781719778,31.164569240997114,26.035087,2050.0,ab
2458475.649456,p48r,342.93964986575634,60.34750376277251,26.0920895,2050.0,ab
2458503.608831,p48r,221.81142151215576,66.33335891764922,25.91273,2.0,ab
2458447.8332523,p48r,923.6068581518418,56.6598701040486,25.864594989999997,2050.0,ab
2458493.6094444,p48r,161.69517610594923,31.08305369815683,25.996962,2.0,ab
2458462.7891088,p48r,165.51788141733954,50.841914372766304,24.857274,2.0,ab
2458510.6142014,p48r,65.02113130278877,34.13805048504237,26.0035295,2.0,ab
