time,band,flux,flux_err,zp,zpsys
2458438.9836574,p48g,901.631066056282,30.519252203860034,25.86257449,ab
2458440.0163773,p48g,948.5572210249121,27.82789539980059,25.91356299,ab
2458442.0028356,p48g,929.0093111895949,28.086845281066836,25.820421009999997,ab
2458451.0028472,p48g,987.7201494860687,52.40004207959186,26.0269395,ab
2458467.9975347,p48g,44.21257447067508,26.638152924947974,24.2151145,ab
2458477.0479861,p48g,195.76896967623765,65.9894307687547,26.161376999999998,ab
2458483.0204051,p48g,109.16848366796201,42.25163885362036,25.797094010000002,ab
2458494.998206,p48g,66.42263562439183,21.79588749195071,26.1617085,ab
2458505.9574653,p48g,170.4426155246099,86.03682907859759,26.051253,ab
2458511.9718171,p48g,40.512833142895964,33.62554210374749,26.0907985,ab
2458439.0233912,p48r,939.9691039819047,40.33516234403919,26.0495035,ab
2458442.0559375,p48r,639.8565218925323,62.78516622409842,25.445008,ab
2458447.9978704,p48r,971.6134403798762,60.1295574857492,26.000019,ab
2458449.9749884,p48r,625.3135894342354,88.76929577170031,25.731487,ab
2458462.0443981,p48r,518.4923354014963,35.873873371336295,25.95675099,ab
2458468.0437616,p48r,552.8560939973785,34.381529516393854,26.031478,ab
2458472.0426505,p48r,443.0676903876737,35.53150399220321,26.070877,ab
2458476.9607755,p48r,279.3484538439701,61.66958299663864,26.117343,ab
2458477.0027315,p48r,353.70155342923226,57.98861484649697,26.145323989999998,ab
2458482.0026157,p48r,266.06709259486814,49.23339152256692,26.08362051,ab
2458482.0078241,p48r,209.46487233987193,48.998609302575275,26.064404,ab
2458487.0006134,p48r,231.33838790590596,31.92617165932971,26.10734449,ab
2458492.0265278,p48r,188.38422371898332,36.634258773687336,25.941723999999997,ab
2458493.9677662,p48r,154.71693910710985,30.77193179908696,26.140585,ab
2458494.9540741,p48r,199.73186754210982,27.634265133064915,26.063962009999997,ab
2458503.0209028,p48r,227.25116697854088,48.626066737726696,26.075923500000002,ab
2458512.9567477,p48r,83.35690808624607,51.39318016381168,24.390443,ab
2458513.9285185,p48r,87.88320201956881,27.135747239157002,25.026424000000002,ab
