time,band,flux,flux_err,zp,zpsys
99.0,p48g,99.0,99.0,99.0,ab
99.0,p48g,99.0,99.0,99.0,ab
99.0,p48g,99.0,99.0,99.0,ab
99.0,p48g,99.0,99.0,99.0,ab
99.0,p48g,99.0,99.0,99.0,ab
99.0,p48g,99.0,99.0,99.0,ab
99.0,p48g,99.0,99.0,99.0,ab
99.0,p48g,99.0,99.0,99.0,ab
99.0,p48g,99.0,99.0,99.0,ab
2458487.647037,p48g,-3.949695441043655,29.681051249383767,26.13852401,ab
99.0,p48g,99.0,99.0,99.0,ab
99.0,p48g,99.0,99.0,99.0,ab
99.0,p48g,99.0,99.0,99.0,ab
2458426.826956,p48g,-43.28408844485524,27.930821120438093,25.799007999999997,ab
2458429.7353009,p48g,5.838433316144221,22.115811120727354,25.961301000000002,ab
2458432.7402083,p48g,15.380680841267981,26.31976579618613,26.0254765,ab
2458441.7573148,p48g,515.6430442829452,75.38231817640907,26.023039,ab
2458462.7615162,p48g,293.87087630876607,36.480185910927766,24.850362,ab
2458468.7960648,p48g,483.74502996203825,48.0499498413384,25.97716551,ab
2458472.6701157,p48g,418.55893916835856,76.506287451932,26.05862599,ab
2458472.6710301,p48g,398.3711091619042,76.85618962259274,26.060308,ab
2458474.6018866,p48g,347.48516356558116,85.11045791221186,26.066046,ab
2458475.6238889,p48g,405.0805943110124,82.59188387884517,26.0385015,ab
2458475.6248032,p48g,346.6686586221186,80.8030744062401,26.0784195,ab
2458487.6506829,p48g,153.8308380151351,27.11836273128208,26.088438999999997,ab
2458494.6608796,p48g,85.07364772872977,28.56535133034945,26.00493099,ab
2458503.6709606,p48g,168.07481898322266,79.94956847843777,25.984811490000002,ab
99.0,p48r,99.0,99.0,99.0,ab
99.0,p48r,99.0,99.0,99.0,ab
99.0,p48r,99.0,99.0,99.0,ab
99.0,p48r,99.0,99.0,99.0,ab
99.0,p48r,99.0,99.0,99.0,ab
2458456.6896296,p48r,2.849832627973325e-30,11.050990501750428,25.919354,ab
2458456.7558912,p48r,1.1175753377934012e-29,22.8295701431553,26.041433,ab
2458456.7568056,p48r,1.1712539857469664e-29,23.40048148369518,26.030316000000003,ab
99.0,p48r,99.0,99.0,99.0,ab
99.0,p48r,99.0,99.0,99.0,ab
99.0,p48r,99.0,99.0,99.0,ab
99.0,p48r,99.0,99.0,99.0,ab
99.0,p48r,99.0,99.0,99.0,ab
99.0,p48r,99.0,99.0,99.0,ab
99.0,p48r,99.0,99.0,99.0,ab
99.0,p48r,99.0,99.0,99.0,ab
99.0,p48r,99.0,99.0,99.0,ab
99.0,p48r,99.0,99.0,99.0,ab
2458426.7660648,p48r,39.907884933812916,36.49595007556226,25.80153301,ab
2458432.7746296,p48r,-33.27126048000198,34.87095466356704,25.91974299,ab
2458441.7733565,p48r,271.64404863943844,76.35968645074796,25.90025,ab
2458456.7586343,p48r,1221.8431666784913,33.6269706967259,26.027098,ab
2458462.7749653,p48r,452.1856735709948,55.20464799153777,25.068789000000002,ab
2458466.7473148,p48r,285.562562177152,64.4577570053335,24.91876349,ab
2458468.7529861,p48r,735.5072486154986,46.96012927464745,25.953239,ab
2458472.7589699,p48r,619.7119878422803,76.99489018214592,26.003698999999997,ab
2458472.7676157,p48r,593.0981178347199,77.64776009226433,25.935780010000002,ab
2458474.6660417,p48r,583.4014267089661,69.8351167628366,26.019907999999997,ab
2458475.6475231,p48r,714.4444655002375,64.65253283774915,26.020823999999998,ab
2458475.6484375,p48r,528.4833780657627,64.56486360808573,26.026390000000003,ab
2458487.6231944,p48r,442.0871344932564,33.61396866778908,26.021117,ab
2458491.6101968,p48r,301.60016477341424,31.839304395251204,25.83509199,ab
