time,band,flux,flux_err,zp,zpsys
2458437.9973611,p48g,53.156389189735975,22.865212947637833,26.06416849,ab
2458440.9548727,p48g,6.46484564152096,22.449564959758998,25.542918,ab
2458444.013588,p48g,306.85178367602464,36.17230028117421,26.109439,ab
2458450.9755208,p48g,445.41453156909677,45.03511318954842,26.164867,ab
2458461.9582176,p48g,186.69859655227236,28.820788782353965,25.172295,ab
2458464.9753935,p48g,346.80622018475225,20.527885107217895,25.98089801,ab
2458467.9431597,p48g,112.02847830161406,25.358297038589214,25.010294000000002,ab
2458473.0091319,p48g,138.95289587393802,32.397859015998066,26.092947,ab
2458476.0096644,p48g,219.81393469617464,82.41965067733568,26.202749,ab
2458483.0503588,p48g,106.00296070448363,29.441379318325147,26.10939301,ab
2458487.9728472,p48g,79.65562504554211,22.904978974181297,26.098930000000003,ab
2458491.9447569,p48g,52.649046538713634,26.966397841637946,25.49792,ab
2458511.6748727,p48g,-22.865545732728318,27.574703446444783,25.890021,ab
2458429.0326736,p48g,45.42909424039031,20.412385008974635,26.172888,ab
2458437.996875,p48g,-41.09994243504732,23.767208010161323,26.089986,ab
2458440.964838,p48g,34.75220281144238,22.587702510955403,26.138039,ab
2458444.0159028,p48g,211.35879568150895,35.412519278653484,26.186708499999998,ab
2458450.9998611,p48g,381.0223890000088,45.89514335566388,26.159155990000002,ab
2458464.9869097,p48g,319.2306318233426,20.485603927839055,26.233253,ab
2458467.9436343,p48g,73.83708091926506,26.240366521146424,24.978333000000003,ab
2458473.0318056,p48g,127.64661519387813,24.80115015840785,26.11414799,ab
2458476.0357176,p48g,91.84235988773645,83.7113719823228,26.216709,ab
2458480.9897106,p48g,87.54059005203996,36.15867075719788,26.055837999999998,ab
2458491.949375,p48g,47.52603510242537,28.95221929508996,25.331947,ab
2458494.9739815,p48g,35.22962472059495,21.43029839569894,26.146356,ab
2458502.9440394,p48g,-6.802641349365025,69.11640766233015,26.1118445,ab
2458508.6960417,p48g,6.5087061191031665,29.302083454548804,25.980446,ab
2458511.9272454,p48g,30.741144082207185,30.742795882357928,26.07850399,ab
2458522.9024653,p48g,-21.18551346839172,24.352314679456597,25.99095899,ab
2458438.0264005,p48r,30.81341954431484,32.042972208965594,26.116684,ab
2458438.0273148,p48r,123.12563610744151,31.14000777379205,26.101934,ab
2458439.0310185,p48r,199.8621550589932,31.023442790459544,26.144059000000002,ab
2458441.0325579,p48r,203.00991460010275,31.850711136405295,26.13023451,ab
2458441.0334722,p48r,252.58490364481187,31.408377638043426,26.123611,ab
2458442.0307176,p48r,300.1516492627707,36.68494269555715,25.711461,ab
2458443.9232176,p48r,484.237048854767,53.69569819078797,26.131304500000002,ab
2458443.9242824,p48r,494.50494580658466,53.786082870517255,26.11853,ab
2458447.9231019,p48r,724.3182821913306,60.72105809876409,26.047926,ab
2458447.9311574,p48r,799.4995246472481,60.60858076872837,26.064697,ab
2458448.0095139,p48r,695.83822702404,55.41177199312143,26.03335899,ab
2458448.0114468,p48r,627.2012840115476,55.63822321744085,26.02577049,ab
2458449.0281019,p48r,826.3491729015795,55.589130932730164,26.11768,ab
2458450.0021644,p48r,674.384109116008,52.59704232981043,26.098155000000002,ab
2458451.0357986,p48r,860.4413181312432,44.28499958839572,26.146013,ab
2458451.0381134,p48r,951.824797733384,43.9961761586801,26.137276999999997,ab
2458455.9833102,p48r,888.9536552962082,33.420324889999854,25.9129455,ab
2458455.9842245,p48r,832.4493679227185,33.445256752516094,25.968453,ab
2458456.0328125,p48r,540.3183523777143,34.11599824494665,25.4151445,ab
2458462.0270949,p48r,764.5725867574872,33.693827693517704,25.95029449,ab
2458462.0298958,p48r,644.3940824682206,34.56080981728974,25.888574000000002,ab
2458465.0328125,p48r,800.006676078711,28.26519269346531,26.1009085,ab
2458465.0337847,p48r,790.2206382484233,29.046506106249538,26.082842,ab
2458468.9840278,p48r,562.2294996136061,30.396677038151523,26.130996,ab
