time,band,flux,flux_err,zp,zpsys
2458461.9810648,p48g,17734.248642991646,28.320523074423665,26.006124,ab
2458464.9977315,p48g,21911.473201733734,23.714720747223225,26.2388065,ab
2458467.975162,p48g,5376.289265549529,29.881506681798715,24.71812251,ab
2458483.0071412,p48g,6920.738768155044,32.325746816591,26.16025249,ab
2458487.0231481,p48g,5541.654256323576,26.80973755496525,26.254135,ab
2458491.9546296,p48g,2071.903584703521,29.876192949616044,25.578,ab
2458494.9818403,p48g,2820.673181371516,22.34028498058536,26.168144990000002,ab
2458448.9696759,p48r,2128.4456427160285,64.52209034811005,26.124819000000002,ab
2458449.9518056,p48r,2812.8677643459314,98.06602880549842,25.9745255,ab
2458462.0406829,p48r,17133.510772855494,38.457762608814946,26.10473,ab
2458465.042662,p48r,20209.42941314401,32.29877994325527,26.243624,ab
2458474.9768866,p48r,11517.87312121693,70.56029514686665,26.241754500000003,ab
2458476.9409491,p48r,10665.250204581256,74.8447881404406,26.284585500000002,ab
2458480.9524884,p48r,8009.521552401888,53.75426654620434,26.100258,ab
2458481.9730093,p48r,8674.786394122515,40.902375692271384,26.185301,ab
2458486.9992014,p48r,9125.248902690888,33.19138427005724,26.2412835,ab
2458492.0288542,p48r,6330.181539973946,40.310190774950044,25.969570009999998,ab
2458493.9405556,p48r,7927.166697457564,32.20393555852357,26.25098,ab
2458494.9559375,p48r,7025.685164246541,28.125864416526525,26.1968,ab
