time,band,flux,flux_err,zp,flags,zpsys
2458502.9755324,p48g,230.33059749570754,56.71013691764376,25.98778101,2.0,ab
2458511.9505208,p48g,214.1990804261592,27.2600118445467,26.144875,2050.0,ab
2458534.7896644,p48g,110.69331946895716,107.74045005051137,25.904652,2.0,ab
2458494.9944792,p48g,413.55249206189774,18.20335809019463,26.179148,2050.0,ab
2458491.9709606,p48g,414.3819317583469,22.020479299309415,25.926273990000002,2050.0,ab
2458526.9460301,p48g,117.64035964626726,23.178723129875134,25.8815205,2.0,ab
2458467.9887731,p48g,891.7094528623786,22.662607727943904,24.988766509999998,2050.0,ab
2458440.9883333,p48g,-30.66092675109039,23.176438438463563,25.426743,2.0,ab
2458487.0361574,p48g,648.5280298813132,20.996638894866933,26.050308,2050.0,ab
2458451.015081,p48g,402.06183182259275,44.4066974231687,26.104342,2050.0,ab
2458472.0086921,p48g,2045.0391153612566,20.975739854552945,26.025665,2050.0,ab
2458522.9841088,p48g,177.68433720328414,20.88664105413433,26.02745199,2.0,ab
2458538.8214583,p48g,59.08060510815474,47.74370728631146,25.548208499999998,2.0,ab
2458514.9723611,p48g,72.32140538740163,20.87491731948399,24.06776401,2.0,ab
2458509.0378704,p48g,148.83528129456553,47.987350372458074,26.004313,2.0,ab
2458441.0482407,p48r,-45.16512607074998,31.587608594334874,26.129342,2.0,ab
2458441.0533333,p48r,-55.00071627917951,34.68041207758035,26.126596,2.0,ab
2458443.973912,p48r,14.440244571275123,59.50503721440294,26.099916,2.0,ab
2458443.9748264,p48r,17.113403273156084,59.49638701177354,26.1045535,2.0,ab
2458447.9728356,p48r,110.48541023659831,56.10873238631843,25.979285,2.0,ab
2458447.97375,p48r,-0.3551706391049585,56.416254402517076,25.997216,2.0,ab
2458449.0044213,p48r,74.18688137041683,50.770873910291485,26.0930665,2.0,ab
2458449.0495486,p48r,79.28688219740351,47.35319221863802,26.117683,2.0,ab
2458450.0327662,p48r,230.8741088283548,47.27130388994234,26.139131000000003,2050.0,ab
2458451.0247801,p48r,398.6195555253433,42.28696862416904,26.139774499999998,2050.0,ab
2458451.0258796,p48r,265.8866458246184,42.53440272852019,26.1210445,2050.0,ab
2458455.9662384,p48r,1133.3715403665744,32.01320540760126,26.0124565,2050.0,ab
2458462.0494444,p48r,2107.101901808501,28.591512644796676,26.1210865,2050.0,ab
2458468.0515625,p48r,2264.420443834608,28.205521134949308,26.0831575,2050.0,ab
2458469.0146644,p48r,2404.4127720675824,28.79496938130959,26.153492,2050.0,ab
2458472.0509491,p48r,2193.956170648048,29.038001877777106,26.098625,2050.0,ab
2458473.0536574,p48r,2230.2044153011216,30.314149766368267,26.147673,2050.0,ab
2458474.9923727,p48r,2038.7433135046017,59.3357497142161,26.147021,2050.0,ab
2458474.9933102,p48r,1942.9787226980961,59.17476543938663,26.144061,2050.0,ab
2458486.9864236,p48r,1258.7156557445423,27.319113014762692,26.169403,2050.0,ab
2458486.987338,p48r,1205.6442776722824,27.49573667097488,26.156582999999998,2050.0,ab
2458488.0370718,p48r,1224.4120650615455,27.609775375103588,26.124351,2050.0,ab
2458492.0387847,p48r,974.5368004942256,28.776667220676764,26.048276989999998,2050.0,ab
2458492.0396991,p48r,1028.672507179086,28.28631810713306,26.048694,2050.0,ab
2458492.98625,p48r,726.765262411564,33.01604543572147,25.706263,2050.0,ab
2458494.010706,p48r,1093.8290340768854,26.463833454254512,26.16382,2050.0,ab
2458494.9414005,p48r,1071.1371337351864,23.270018510264897,26.093655990000002,2050.0,ab
2458494.9498727,p48r,1046.3741380464944,23.593697422083373,26.111967999999997,2050.0,ab
2458503.9878935,p48r,632.5619667455468,88.79728481377893,25.927426,2050.0,ab
2458508.9638079,p48r,546.9425064747393,44.54361089701062,26.098473000000002,2050.0,ab
2458508.9728819,p48r,570.4033450644991,45.71966651843186,26.0144405,2050.0,ab
2458509.9861574,p48r,475.4455277162539,43.94124786119792,25.99696099,2050.0,ab
2458511.9018981,p48r,507.83986667346494,29.713114411025416,26.028676,2050.0,ab
2458514.9255787,p48r,197.3036374155727,29.859411334562502,25.536504,2050.0,ab
2458514.9328009,p48r,175.01691089881888,36.60797998514008,24.902811500000002,2.0,ab
2458523.034838,p48r,343.98701651891383,29.24361204044595,26.096598,2050.0,ab
2458523.0376736,p48r,283.6468487414735,29.140856094548358,26.068993499999998,2050.0,ab
2458524.9690625,p48r,296.2614021980869,26.46052013489155,26.114044,2050.0,ab
2458538.8530787,p48r,171.74787346298822,58.3430048325617,25.625805009999997,2050.0,ab
2458538.8540046,p48r,109.41691145919228,62.85199142460983,25.5176525,2050.0,ab
2458539.8288889,p48r,85.8286572146884,42.09652862357834,25.17104,2.0,ab
2458540.8300926,p48r,155.93207016837133,28.404429521679685,25.9852795,2050.0,ab
2458543.8617824,p48r,167.20144389417965,22.752785860978413,25.8208075,2.0,ab
2458543.8627431,p48r,83.62374570736591,22.671652796605095,25.843967999999997,2050.0,ab
