time,band,flux,flux_err,zp,flags,zpsys
2458466.7746991,p48g,35.42946318562872,40.24643055069082,24.37551201,0.0,ab
2458472.7109606,p48g,306.06215416842565,89.28836996301101,26.11659301,0.0,ab
2458475.6091551,p48g,164.34289942775206,116.19759595410659,25.880052499999998,0.0,ab
2458487.6736574,p48g,32.11814327833774,28.077720920696812,26.101966,0.0,ab
2458469.6706366,p48g,325.1730223434659,56.876585368995215,26.01488,2050.0,ab
2458503.7054514,p48g,142.75233327226485,92.34818576526699,26.063412,0.0,ab
2458441.7705324,p48g,53.2760354257871,67.33788256574569,26.017505,0.0,ab
2458491.6801157,p48g,35.950164611408056,27.750383596365175,26.07288,0.0,ab
2458462.7577894,p48g,152.9275382220889,34.44280656499844,24.778043999999998,2048.0,ab
2458450.9158565,p48g,170.48863421582763,64.66867671401442,25.335549,0.0,ab
2458437.8138657,p48r,9.223920093120666,34.61974100714462,26.02155401,0.0,ab
2458441.8134491,p48r,-70.31101057911351,66.92223572905301,25.977138,0.0,ab
2458447.878588,p48r,-6.449671945163322,71.28176084199292,25.957705,0.0,ab
2458456.7513194,p48r,375.2946174894365,34.10453900647288,26.01987799,2050.0,ab
2458466.735162,p48r,245.4695130304105,57.28720638537621,25.352984,2048.0,ab
2458472.7566898,p48r,268.8106578319132,84.86492213695335,26.1019805,2050.0,ab
2458475.7925694,p48r,165.04453772887393,79.62908931363607,26.088592,0.0,ab
2458491.7128356,p48r,126.02759552391856,33.278202835156,26.001915500000003,0.0,ab
2458503.6457639,p48r,59.02989604375618,69.21978989869861,26.00280349,0.0,ab
