time,band,flux,flux_err,zp,zpsys
2458493.7399306,p48g,3024.9926249904,22.805772932851784,25.85665699,ab
2458480.9906597,p48g,7704.631603110277,35.47311464831193,25.913542009999997,ab
2458483.0517477,p48g,7126.700344201001,31.098139850461056,25.947297000000002,ab
2458493.7404282,p48g,3120.3137694534585,22.992559903563997,25.896377010000002,ab
2458447.9250463,p48r,35.180035415944204,57.63338836219606,25.855975,ab
2458447.9292245,p48r,-30.441021513812466,57.61370189543754,25.8666225,ab
2458448.9458449,p48r,2.365284277351911,53.87182445163191,25.859382,ab
2458449.8208449,p48r,52.793406170961454,83.3587934811762,25.4779675,ab
2458450.883044,p48r,-9.213769462288244,39.24962334416462,25.889043,ab
2458450.8840162,p48r,-37.10550372884556,38.72396241967223,25.792325509999998,ab
2458455.8647569,p48r,35.37840225853043,27.977641198429996,25.841509,ab
2458455.8674306,p48r,-24.241469455587104,27.9361796110666,25.890389000000003,ab
2458456.0042477,p48r,-4.655515594435934,32.21644255680288,25.561040010000003,ab
2458456.7405208,p48r,5.308147899051285,33.7665968575306,25.728386,ab
2458456.7832176,p48r,43.91529535080326,32.164794899436714,25.881835,ab
2458462.0255556,p48r,1301.834590665696,33.02937044676476,25.715089990000003,ab
2458462.0265625,p48r,1314.7211348742605,33.895458133527335,25.7184525,ab
2458462.8276157,p48r,1362.7211485497776,36.666965666342044,25.5048805,ab
2458465.9893634,p48r,4338.544223824687,29.074394301506093,25.865118510000002,ab
2458466.8243287,p48r,1691.589565919891,46.5187704515327,24.715015989999998,ab
2458468.9887384,p48r,6629.161185550489,29.939871160655144,25.900892000000002,ab
2458471.785787,p48r,6624.396469228427,59.341574871916094,25.674568,ab
2458474.8391667,p48r,8978.804208845815,72.35142615160949,25.948971999999998,ab
2458474.840081,p48r,8757.288736590195,72.36090414940982,25.9401985,ab
2458480.9433218,p48r,7338.026832756685,34.65779078925704,25.81111501,ab
2458490.7203588,p48r,4212.087609157881,27.3402356365467,25.8467865,ab
2458522.7179977,p48r,1447.113588446185,28.654752311757292,25.8906955,ab
2458523.7147106,p48r,1433.4244273526524,27.04116413437681,25.9095325,ab
2458523.7156829,p48r,1355.5841558224888,26.776108331365265,25.893954,ab
2458526.6916319,p48r,1105.737534148648,36.08277386528626,25.77547399,ab
2458526.6925463,p48r,1169.5942293883134,34.65001767821416,25.846093999999997,ab
2458534.8180671,p48r,806.5198631558662,69.66699357280109,25.825223,ab
2458534.8201505,p48r,878.1706473190956,69.69125384151214,25.861985,ab
2458539.7072454,p48r,820.3369714621692,27.556960497929026,25.899937,ab
2458540.7001852,p48r,812.8530950590475,28.20460942153676,25.89323701,ab
2458541.7809375,p48r,381.13750479514727,37.328009479868854,24.997069,ab
2458541.7819213,p48r,234.0829246403045,40.93885719901151,24.644212009999997,ab
