time,band,flux,flux_err,zp,zpsys
2458488.0204514,p48g,2266.2878243454306,23.712765934038316,26.02826801,ab
2458491.9983796,p48g,1725.4865113334713,23.292473498770345,26.00948301,ab
2458495.0037269,p48g,1354.6561087602397,20.753269422695414,26.05146201,ab
2458502.961956,p48g,565.062576435766,62.94789618690519,25.808257,ab
2458511.9434028,p48g,405.1189747449089,33.41261594671562,26.0430225,ab
2458511.9966667,p48g,429.0391194188576,34.50720421951624,25.989860500000002,ab
2458539.8798958,p48g,139.86018976127372,44.73320106913255,25.684324,ab
2458547.836875,p48g,159.46504638133015,21.954341493548775,25.957306000000003,ab
2458466.0454398,p48g,865.9516047223351,24.79068135972821,25.911973990000003,ab
2458472.0040972,p48g,2185.506576759227,24.298469637648576,25.8723465,ab
2458483.0236458,p48g,2117.6035251470976,48.07032158545262,25.636147,ab
2458494.0582523,p48g,1519.8776973122392,22.032232423472696,26.031053,ab
2458495.0023611,p48g,1322.521113199723,20.516692839094556,26.016331,ab
2458502.9610185,p48g,753.6737314877979,57.31561614048672,25.886583,ab
2458511.9438657,p48g,378.3019852637888,33.1514147499803,25.936551,ab
2458514.961956,p48g,46.05428666783385,22.19765106281161,23.755893,ab
2458522.9470718,p48g,196.420333054756,22.359514155806224,25.886426999999998,ab
2458547.8364236,p48g,144.33707213674717,21.60572837068638,25.821425,ab
2458491.9974306,p48g,1576.2327449445045,23.524936856451852,25.890525999999998,ab
2458495.0055903,p48g,1335.4298710384253,21.213940527206493,26.0032255,ab
2458502.9995139,p48g,589.6356065518587,59.38830839290504,25.8143005,ab
2458504.0413889,p48g,420.00444889221944,77.98249054449472,25.74185551,ab
2458507.9883796,p48g,573.2150577946851,72.07877525845633,25.90129949,ab
2458522.9602778,p48g,259.3654081500021,23.380422872454602,26.009145,ab
2458522.9690972,p48g,272.31004611760426,23.345038446751133,26.011804,ab
2458526.956331,p48g,144.2215416796366,25.783396519413273,25.5425585,ab
2458538.8994907,p48g,58.16587074397751,75.33860398434788,25.230474,ab
2458541.9185301,p48g,59.42625071134174,27.6888815535053,25.41164451,ab
2458469.0240856,p48r,1453.7640976782936,32.96594295441603,25.980121,ab
2458474.9821296,p48r,2382.2592028558647,67.455473982624,25.9571855,ab
2458476.9883102,p48r,2598.0202630822714,56.72947698540015,25.973145,ab
2458488.0441551,p48r,2242.8450224076028,29.75160894787001,26.001126,ab
2458492.0465741,p48r,1549.026980350261,30.022782326060224,25.844286,ab
2458493.9931944,p48r,1628.0559730023053,28.347126159383926,25.999762,ab
2458503.0227894,p48r,1262.4163175114702,42.69426060909663,25.9428865,ab
2458512.0416551,p48r,935.4313148027309,43.73536224742055,25.78738299,ab
2458524.961088,p48r,494.5606522843415,27.23070600086747,25.8943505,ab
2458539.8557292,p48r,201.1060427650531,45.286529559538074,25.676737,ab
2458543.8580903,p48r,111.29962492628664,25.952600649834604,24.819256,ab
2458547.8121296,p48r,325.38556911361536,27.49911233726856,25.92104999,ab
2458449.0449421,p48r,53.798204303330174,52.11526413595468,25.778496999999998,ab
2458468.0460648,p48r,1015.0513268175464,31.858857134813118,25.818424,ab
2458469.025,p48r,1237.9742492858047,32.94857726883887,25.88269,ab
2458469.0259144,p48r,1363.0574595094722,32.68018882637252,25.885584,ab
2458472.0444792,p48r,1582.2979724061001,35.355705014660266,25.69062149,ab
2458472.0453819,p48r,1730.085400766931,32.79136029474806,25.791593,ab
2458474.9825926,p48r,2292.443378469238,65.46398089319594,25.868858,ab
2458474.9983796,p48r,2281.3626824284197,63.34408241212093,25.854092,ab
2458476.9727778,p48r,2349.246350778096,56.81151431817361,25.895041000000003,ab
2458487.0015278,p48r,1884.4812912748673,29.539928779906166,25.811914,ab
2458492.0442593,p48r,1447.7100545828819,29.943629214457697,25.786907,ab
2458503.0446412,p48r,1056.718438839147,44.183182269550734,25.755740000000003,ab
2458523.0260417,p48r,518.0134893490613,29.984675206100174,25.85709751,ab
2458543.8576273,p48r,197.6091883902513,24.975138286929415,25.333536,ab
2458547.8116782,p48r,257.566861541579,27.737234633639147,25.808881,ab
2458449.0598727,p48r,-93.36601666331411,61.68726616427255,25.8656295,ab
2458449.060787,p48r,-91.1322840853019,62.983125854765966,25.819326510000003,ab
2458450.0257292,p48r,-74.82752242634109,53.07429019470529,25.8114525,ab
2458469.0263773,p48r,1281.2187516094798,33.684922584472076,25.912751,ab
2458469.0272917,p48r,1340.6857693156678,33.64034306670961,25.893421,ab
2458474.983044,p48r,2218.8478700963587,68.19757641999718,25.885376,ab
2458474.9979282,p48r,2125.5177242255972,65.23517598396845,25.841666,ab
2458476.9869444,p48r,2425.5828027820708,57.47799030977838,25.891949999999998,ab
2458487.0033565,p48r,1974.3539800996596,30.184770681614413,25.811706,ab
2458492.0475116,p48r,1445.5387212159767,30.50709135176831,25.7583955,ab
2458493.9778241,p48r,1605.6520204405824,29.592839578300854,25.909897,ab
2458495.0485069,p48r,1436.3157344932658,26.91836253144495,25.9184315,ab
2458503.0423264,p48r,944.97099629338,47.774594141366585,25.692863999999997,ab
2458512.0411921,p48r,868.6263756203487,42.57527570259426,25.761270999999997,ab
2458523.0242014,p48r,507.8241658861802,30.004410994892538,25.819158,ab
2458524.9539699,p48r,466.66363915525517,27.94214151562241,25.858779000000002,ab
2458557.895544,p48r,244.4721093551825,31.71185091821139,25.795677,ab
