time,band,flux,flux_err,zp,flags,zpsys
2458461.9511343,p48g,51.22775856313381,29.741477326580906,25.485671,2050.0,ab
2458538.753125,p48g,46.24462932408748,35.240299486713575,24.530439,2.0,ab
2458468.9354051,p48g,456.51801820978426,25.24694987784417,26.218795,2050.0,ab
2458541.7357176,p48g,44.58524493187877,25.98743002854258,25.890829,2.0,ab
2458472.9683565,p48g,607.5940311529133,52.88227667373091,26.131687000000003,2.0,ab
2458491.9266088,p48g,145.34827537173416,32.10470723857204,25.3372615,2050.0,ab
2458466.0293866,p48g,205.62794966804523,25.663810461711215,26.192194,2050.0,ab
2458476.0161574,p48g,744.9366896571887,108.2021312089185,26.164052,2050.0,ab
2458468.9781019,p48r,328.7181366763408,34.33037428410964,26.192239,2050.0,ab
2458526.725081,p48r,97.41756930317278,38.45617449286072,26.110013,2050.0,ab
2458448.9651042,p48r,56.75818102042883,80.84556115224267,26.053973,2.0,ab
2458506.8303819,p48r,250.4874528087897,71.59147022091445,26.040781,2050.0,ab
2458508.787662,p48r,240.81941260275096,44.2865233211426,26.073767999999998,2050.0,ab
2458502.9230671,p48r,155.8927776146992,103.03761871633125,25.972546989999998,2050.0,ab
2458480.9216319,p48r,531.4193152562444,39.85612724028914,26.036017509999997,2050.0,ab
2458541.7894097,p48r,20.432865833014073,47.72758176091523,24.754880999999997,2.0,ab
2458447.9788889,p48r,41.45557014046828,65.92976263942313,26.13720551,2050.0,ab
2458472.9272569,p48r,603.9302117616314,52.82385525058317,26.215691,2050.0,ab
2458506.8982986,p48r,245.71492459126688,75.78218358088336,26.104979999999998,2050.0,ab
2458546.7983449,p48r,27.77001883350868,25.480645366827233,25.979596009999998,2050.0,ab
2458506.7970486,p48r,253.06460895499083,74.25222597647034,26.081293,2050.0,ab
2458506.8479861,p48r,260.20022696370967,71.82297763553599,26.0994325,2050.0,ab
2458472.9069444,p48r,517.397948798211,53.08325255747706,26.194415,2050.0,ab
2458506.8820833,p48r,191.489410098377,74.69640810517764,26.10001099,2050.0,ab
2458506.865625,p48r,244.6596031836903,73.00313122615871,26.05568401,2050.0,ab
2458462.0047917,p48r,-56.30863598520628,40.16259995867231,25.957871,2050.0,ab
2458481.9233449,p48r,662.1462519030532,35.09731895298121,26.11937801,2050.0,ab
2458448.0209838,p48r,43.935464718891126,65.55582681848517,26.09086199,2050.0,ab
2458506.8132407,p48r,198.7749415506588,72.4922661910252,26.04485699,2050.0,ab
2458455.9549074,p48r,-11.768949716181485,33.44359741330821,26.078831,2050.0,ab
2458506.7810764,p48r,217.01450940243964,76.0885948856669,26.066561,2050.0,ab
2458465.9848611,p48r,217.9374873356582,32.155879284501786,26.1682425,2050.0,ab
2458456.0000926,p48r,-14.639452394269071,36.03010069661853,26.027479,2050.0,ab
