time,band,flux,flux_err,zp,zpsys
99.0,p48g,99.0,99.0,99.0,ab
99.0,p48g,99.0,99.0,99.0,ab
99.0,p48g,99.0,99.0,99.0,ab
99.0,p48g,99.0,99.0,99.0,ab
99.0,p48g,99.0,99.0,99.0,ab
99.0,p48g,99.0,99.0,99.0,ab
99.0,p48g,99.0,99.0,99.0,ab
99.0,p48g,99.0,99.0,99.0,ab
99.0,p48g,99.0,99.0,99.0,ab
2458466.0431481,p48g,1037.93005303611,26.718646551887076,26.139342,ab
2458468.9443519,p48g,809.8652333352293,27.747473611285905,26.030115,ab
2458473.0220255,p48g,547.9383986902221,27.92910292275572,26.097184000000002,ab
2458487.9823032,p48g,113.99197131114646,25.93589309047472,26.1467885,ab
2458494.9991204,p48g,101.25573822208774,21.856093832905092,26.137905999999997,ab
2458538.8148264,p48g,-34.26486411707123,57.255100529553516,25.4802125,ab
99.0,p48r,99.0,99.0,99.0,ab
99.0,p48r,99.0,99.0,99.0,ab
99.0,p48r,99.0,99.0,99.0,ab
99.0,p48r,99.0,99.0,99.0,ab
99.0,p48r,99.0,99.0,99.0,ab
99.0,p48r,99.0,99.0,99.0,ab
99.0,p48r,99.0,99.0,99.0,ab
99.0,p48r,99.0,99.0,99.0,ab
99.0,p48r,99.0,99.0,99.0,ab
2458442.055463,p48r,152.36408007669615,64.89437307971167,25.216343,ab
2458447.9987847,p48r,102.17246655336314,64.39868624602525,25.9805205,ab
2458449.9916782,p48r,379.0866654272035,90.23449856547738,25.487992,ab
2458466.0028356,p48r,917.0828019279412,34.68412126435789,25.964005,ab
2458469.0226505,p48r,721.6184021237447,35.555872065462914,26.048187000000002,ab
2458473.0434259,p48r,662.2735317268605,36.560967399008014,26.010817999999997,ab
2458476.9855324,p48r,619.1555060434815,63.25315091299958,26.076655000000002,ab
2458482.0428704,p48r,474.1514388270002,51.44923307587577,25.931503,ab
2458482.0551736,p48r,436.19442937014855,51.68999209691665,25.9545825,ab
2458488.0242014,p48r,336.90854014036296,33.41481213547982,26.0798655,ab
2458493.9909144,p48r,299.8979520601647,30.802002042948757,26.09481399,ab
2458494.9549884,p48r,260.6471526937641,27.572726857615326,26.00428801,ab
2458503.9703356,p48r,57.23160736030703,82.78617912584576,25.9347645,ab
2458538.8562616,p48r,63.973594414498905,77.88184625826072,25.503155,ab
