time,band,flux,flux_err,zp,zpsys
2458461.9614352,p48g,-2.5745958938305193,31.931082199624964,25.635659999999998,ab
2458465.0190162,p48g,16.998804462134224,23.795791730570677,26.261206010000002,ab
2458473.022963,p48g,6.748481099560861,28.23179629597686,26.175293,ab
2458477.0470486,p48g,335.77839002615787,77.23942570442406,26.255627,ab
2458483.0048611,p48g,2261.5319794145494,34.48656967792163,26.171346,ab
2458491.9765625,p48g,2164.074297436776,27.623664225172742,25.906104,ab
2458494.0531481,p48g,2808.145492515183,25.73852596816849,26.1931245,ab
2458494.9813773,p48g,2687.2108484888613,24.02019031736235,26.229813,ab
2458511.9217477,p48g,769.607429365602,33.75383175197101,26.18518399,ab
2458511.9653472,p48g,726.6189643389989,34.4377498911987,26.127174,ab
2458522.9145949,p48g,201.39290079476763,26.324303140306565,26.07513049,ab
2458526.9397801,p48g,210.93863492584967,31.05838443238245,25.849484,ab
2458538.7957523,p48g,120.37111872222314,51.11224350565634,24.9882125,ab
2458559.8330671,p48g,115.55481393458675,64.92791401121438,26.201075,ab
2458567.7535648,p48g,115.69054756638893,26.244552054331333,26.107713,ab
2458462.0397685,p48r,-33.98054108472694,40.383870958502044,26.092758,ab
2458465.0435764,p48r,12.973224633950018,31.928616240243972,26.2438355,ab
2458468.0400694,p48r,29.142819334842784,37.647273206962105,25.9958645,ab
2458473.0447917,p48r,-55.51202340904531,38.465788688252935,26.258963,ab
2458476.9469444,p48r,360.0220643580443,74.9137823430052,26.233258,ab
2458477.0031829,p48r,496.52096572574305,65.85772174074788,26.282977000000002,ab
2458481.9725463,p48r,2296.4400920750627,43.52980031191342,26.1572525,ab
2458482.0021528,p48r,2340.0690054376983,43.602361779359335,26.187405010000003,ab
2458486.9817014,p48r,3744.6712445091443,35.1680605310522,26.270652000000002,ab
2458492.0279051,p48r,3211.1139412217017,40.94522391538897,26.06470249,ab
2458492.9481019,p48r,1082.8381135553534,51.16592328512671,24.883556,ab
2458493.9423843,p48r,3765.3103910107766,33.128633679348795,26.2752655,ab
2458503.0199653,p48r,1680.8332910836418,56.440505262050195,26.18136099,ab
2458513.9234375,p48r,1222.1914811784395,29.35247846468877,26.15110801,ab
2458514.9369444,p48r,1026.6512553858702,35.35128464508353,25.9243115,ab
2458559.7532523,p48r,142.423251628544,63.52534160205747,26.199716,ab
2458567.7338194,p48r,211.37488715870285,34.0658511442301,26.2118145,ab
