time,band,flux,flux_err,zp,zpsys
2458495.0382407,p48g,266.76618964505093,20.19197683870935,26.19277851,ab
2458488.006956,p48g,339.68252728090624,24.46469470532024,26.1265615,ab
2458522.998125,p48g,206.96601194618245,21.886782944357275,26.16310901,ab
2458523.0184722,p48g,206.31686699083912,21.660835830096133,26.14563501,ab
2458547.8935764,p48g,114.33603903230295,21.96494899380194,25.939157520000002,ab
2458508.0254745,p48g,276.99934330060756,54.85685891839168,26.07942301,ab
2458541.9382292,p48g,196.80737703678304,24.899113187968055,26.219561,ab
2458512.0160069,p48g,122.9657425705167,47.674314144247035,25.515203,ab
2458502.9854398,p48g,202.62399369009373,66.07675731643737,25.903769999999998,ab
2458482.0330787,p48r,1224.9650781879745,40.39302464709343,25.98659101,ab
2458488.0575579,p48r,1046.4927074321604,31.73981702063041,26.12577,ab
2458509.0048264,p48r,384.5905285132383,46.992390586667725,26.057932,ab
2458477.0357523,p48r,1626.5079559483934,59.03308306821342,26.078588000000003,ab
2458539.0008449,p48r,103.36768735398864,79.41035199366507,25.609436,ab
2458527.0091782,p48r,246.81259395203756,32.986436602623115,25.897996000000003,ab
2458523.04625,p48r,349.44717746461396,27.904544189986453,26.099417000000003,ab
2458541.9827315,p48r,209.48509366388342,28.860033140654853,26.132823000000002,ab
