time,band,flux,flux_err,zp,flags,zpsys
2458568.7122801,p48g,27.392967451975736,24.551500011137513,25.887597000000003,2050.0,ab
2458559.6496296,p48g,152.09567756924847,80.4964875374996,25.860172990000002,2050.0,ab
2458562.7317014,p48g,-33.30721396100938,120.16433069136195,25.83460999,2.0,ab
2458494.9669676,p48g,645.6733973851577,21.60789142560841,25.951604,2050.0,ab
2458556.7685301,p48g,44.040423831818615,33.54597223103859,25.898156999999998,2050.0,ab
2458483.0153704,p48g,583.9105042283975,31.123786801833454,25.95927999,2050.0,ab
2458461.977338,p48g,5.538536033408873,26.884835736445172,25.70007999,2050.0,ab
2458476.0170718,p48g,233.10284672590598,83.15101055005658,26.067432,2.0,ab
2458538.7745255,p48g,41.18992612027503,34.3187580554511,24.979324,2050.0,ab
2458473.0015972,p48g,48.75350977920384,38.21079316950666,25.942543,2050.0,ab
2458467.9779051,p48g,42.86909571135483,26.874914693274345,24.67226701,2050.0,ab
2458541.7375694,p48g,76.51474359430834,26.204913251601464,25.923493,2050.0,ab
2458522.8986806,p48g,128.7746331087437,26.426447891858373,26.11715001,2050.0,ab
2458476.0269213,p48g,62.99389091247927,86.9370974367252,26.252359,2050.0,ab
2458464.9676505,p48g,9.931923163785488,23.497904519937357,26.051366,2050.0,ab
2458522.9099769,p48g,94.82133443094759,27.01651749489374,26.1279705,2050.0,ab
2458483.01125,p48g,694.5958844928717,32.79369849794558,26.108378000000002,2050.0,ab
2458494.967419,p48g,789.7919107988525,22.70276357261513,26.119296,2050.0,ab
2458461.9768866,p48g,32.592605076548,28.029329735524033,25.932011000000003,2050.0,ab
2458491.9597685,p48g,660.771964109847,28.808799093584476,25.765241,2050.0,ab
2458567.7078935,p48g,7.399913146302761,25.445662026224916,26.03136799,2050.0,ab
2458513.8806134,p48g,64.57341365569158,23.813250896215887,24.007851000000002,2.0,ab
2458523.7968287,p48r,289.6804739947059,26.464625725708586,25.928871,2050.0,ab
2458523.8839468,p48r,224.23182775353794,27.078520994992378,25.872831509999997,2050.0,ab
2458523.8333565,p48r,235.74910194842505,26.103491095960102,25.849859000000002,2050.0,ab
2458523.7620718,p48r,275.6409422606008,28.515737111413287,25.8795605,2050.0,ab
2458523.7678356,p48r,240.85955046374562,28.22640787717095,25.876922,2050.0,ab
2458523.7123032,p48r,238.2952937368217,31.26700591537046,25.882531,2050.0,ab
2458523.8722106,p48r,311.70337831794984,26.786672466324628,25.912829509999998,2050.0,ab
2458524.9146991,p48r,281.33450725992077,30.794735848215055,25.87814701,2050.0,ab
2458524.8473611,p48r,257.41157673163815,28.914955400274255,25.8906025,2050.0,ab
2458486.9760532,p48r,748.6724382756518,30.158067788711914,25.93110049,2050.0,ab
2458524.785544,p48r,270.68656948175175,29.29648934725142,25.933784,2050.0,ab
2458524.826412,p48r,203.34673109123662,28.80928895460099,25.929234,2050.0,ab
2458524.7797454,p48r,283.0775540274799,29.284654458118847,25.93894,2050.0,ab
2458524.8533218,p48r,295.36189087909383,29.145713383458496,25.927101999999998,2050.0,ab
2458523.8692477,p48r,269.53836522210764,26.507788547141523,25.877112999999998,2050.0,ab
2458524.8292593,p48r,246.5919346181227,28.775497487835505,25.934676999999997,2050.0,ab
2458524.8681366,p48r,180.2557664184958,29.142493299645484,25.8660935,2050.0,ab
2458476.9395718,p48r,127.8441979012365,83.10774115379337,25.937566,2050.0,ab
2458523.7591898,p48r,222.3450813622564,28.29699861631966,25.919453,2050.0,ab
2458523.7793981,p48r,224.42218037133748,26.790073393599805,25.911036,2050.0,ab
2458523.901412,p48r,204.46839515380395,31.42860052185474,25.434774,2050.0,ab
2458511.9105903,p48r,378.1018633013147,32.46986922124002,25.9386805,2050.0,ab
2458503.8548148,p48r,450.78084477213037,106.3030499670981,25.754939,2050.0,ab
2458523.9100926,p48r,97.92570155826115,35.139750938661074,24.91740251,2050.0,ab
2458492.9790972,p48r,618.0313128459219,36.84689671552565,25.695763,2050.0,ab
2458510.7745718,p48r,243.59902058590822,38.08544966511208,25.560429,2050.0,ab
2458523.8897917,p48r,236.17602759135696,27.687840680550757,25.8248165,2050.0,ab
